variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,2.0105965125,0.19800287328538863,1.64712725,2.4318832500000003,1.003329803486486,967.8271889450345,1257.9896283628227
DBH_std,-0.2873483399405,0.12123768644357988,-0.5261920499999999,-0.04847126749999999,1.001541948280923,1239.0418160105125,1917.945244571167
IDBH_stdE2,-0.0333357539685,0.010883907052427713,-0.054229565,-0.011134144999999986,1.0011210990662895,6403.633486919202,3250.0109805893894
BAL_std,-0.52925221878,0.16935486867804067,-0.8696886749999998,-0.18703117499999994,1.0023672199414326,1331.3512573583587,1765.6439152028047
CR_std,0.610528166,0.0215820303876479,0.56745685,0.652930875,1.0000639240717986,5881.875430877322,3105.4694516656186
SI_std,-0.078316157395,0.02064193942462266,-0.11823405000000001,-0.03832737499999999,1.0007998880603646,6197.81850409407,3027.226184680005
BA_std,0.379952588,0.029005670664267135,0.3226553,0.43772255,1.000414523066895,5675.773022192294,2572.64915088572
DBH_BAL,-0.27697714,0.02112698767480714,-0.3185567,-0.23577447499999998,1.0015118909485685,5901.981427575616,3159.557159376253
ELEV_std,-0.28630149925,0.023968397635006744,-0.334716325,-0.238775625,1.0004985942953966,5465.909312491794,3433.953683340022
SLOPE_std,-0.139218433325,0.018028028779551748,-0.174268275,-0.10234122500000001,1.0009605429365152,6351.689268949305,2855.398369677852
