variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,62.7269953,7.962811951265439,46.928272500000006,78.47848000000002,NA,NA,NA,NA
b_b_Intercept,0.05511977638,0.019110771363700936,0.0198192475,0.09247355,NA,NA,NA,NA
b_c_Intercept,1.256189445,0.016586270855354943,1.22516925,1.2882522499999998,NA,NA,NA,NA
sd_SPCD__a_Intercept,44.75734065,7.6228102416417,31.645575,61.7606575,NA,NA,NA,NA
sd_SPCD__b_Intercept,2.45801338,0.4448479803088037,1.74119375,3.4948882500000003,NA,NA,NA,NA
sigma,11.020714525,0.04381554555214832,10.937997500000002,11.107305,NA,NA,NA,NA
"r_SPCD__a[17,Intercept]",84.213073975,11.336029804505074,62.2752325,107.20035,NA,NA,NA,NA
"r_SPCD__a[19,Intercept]",48.4968885,8.64870956738738,31.039365,65.16916000000002,NA,NA,NA,NA
"r_SPCD__a[65,Intercept]",-25.9305921499,33.73552347253927,-64.3017325,61.556405000000005,NA,NA,NA,NA
"r_SPCD__a[66,Intercept]",-47.11731535,8.380339534449218,-64.0796375,-30.1828625,NA,NA,NA,NA
"r_SPCD__a[72,Intercept]",-3.80731833625,10.532290363221174,-23.79755,18.3287225,NA,NA,NA,NA
"r_SPCD__a[73,Intercept]",69.3050652,8.195796623529498,53.473405,85.5832025,NA,NA,NA,NA
"r_SPCD__a[93,Intercept]",63.057991275,8.291045427535765,46.8363475,78.54500999999999,NA,NA,NA,NA
"r_SPCD__a[94,Intercept]",34.041351618475,25.411071112062764,-4.93119,94.6306275,NA,NA,NA,NA
"r_SPCD__a[101,Intercept]",-4.47275996207,8.259358781169908,-21.1796675,11.751677500000001,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",14.013904887575,8.032692292116563,-1.92209675,30.153807500000006,NA,NA,NA,NA
"r_SPCD__a[113,Intercept]",-5.85387611086925,12.104425021758765,-26.485542499999998,20.83266,NA,NA,NA,NA
