SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
17,0.26201747399,5.94526259399,381.9396431852233,5.2609338783275e-4,-1.6909770041121672,527.2529383414369,-1.7547004514091824,117,0.7,0.30000000000000004,466.9479208516083,-1.7355834172200777,NA,483.6589497945728,0.585,0.41500000000000004,qr_dominant
19,0.1867062592525,5.8699513792525,354.2317568362551,-0.00509895319993,-1.69660205069993,437.5844222326481,-1.9078352516325596,949,0.7,0.30000000000000004,412.5786226137302,-1.8444652913527708,NA,412.5786226137302,0.7,0.30000000000000004,qr_dominant
65,0.06684401302671,5.75008913302671,314.2186662983212,-2.8163838686e-4,-1.69178473588686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,-0.34665413755,5.33659098245,207.8030970295752,-0.02767992306703625,-1.7191830205670362,316.3156192600638,-1.7876293605758435,250,0.7,0.30000000000000004,283.7618625909172,-1.7670954585732015,NA,283.7618625909172,0.7,0.30000000000000004,qr_dominant
72,0.00540047099632625,5.688645590996326,295.4931309312151,-0.002843376286272,-1.694346473786272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,0.07183106434060375,5.755076184340603,315.7896048306119,0.01612855226985625,-1.6753745452301438,430.93287087381896,-1.6647786221130223,368,0.7,0.30000000000000004,396.3898910608568,-1.6679573990481589,NA,396.3898910608568,0.7,0.30000000000000004,qr_dominant
93,0.241378080528575,5.924623200528575,374.1374340099477,0.0136930438944925,-1.6778100536055076,472.65486597230966,-1.7905705838910384,685,0.7,0.30000000000000004,443.099636383601,-1.7567424248053791,NA,443.099636383601,0.7,0.30000000000000004,qr_dominant
94,-0.245459308129375,5.437785811870625,229.9325055830995,-0.00853164841255562,-1.7000347459125558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0.2445311485015,5.9277762685015,375.3189765336501,0.0115428782272325,-1.6799602192727676,504.1666992192685,-1.9034676823841103,334,0.7,0.30000000000000004,465.51238241358294,-1.8364154434507076,NA,465.51238241358294,0.7,0.30000000000000004,qr_dominant
108,0.232352034841875,5.915597154841874,370.7756470822292,-0.022779193002552,-1.714282290502552,441.74080159801287,-1.9311670984660785,1881,0.7,0.30000000000000004,420.4512552432778,-1.8661016560770205,NA,420.4512552432778,0.7,0.30000000000000004,qr_dominant
113,-0.04735681202192625,5.635888307978074,280.3078064096979,0.00589395937569075,-1.6856091381243092,326.7766394047476,-2.0837356481204927,64,0.64,0.36,294.2484563082128,-1.940410104521867,NA,310.0478595265297,0.3,0.7,bayes_dominant
119,-0.192208805760125,5.491036314239874,242.5083915818063,-0.007079695192125,-1.698582792692125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,-0.28477514020875,5.398469979791249,221.06791893291455,-0.02014619813967637,-1.7116492956396765,324.01737301188814,-1.796132814067956,859,0.7,0.30000000000000004,293.13253678819603,-1.7707877585394722,NA,293.13253678819603,0.7,0.30000000000000004,qr_dominant
202,0.06137561798521088,5.74462073798521,312.5050840440912,0.0064894314902025,-1.6850136660097976,422.138431008383,-1.843837781014453,2961,0.7,0.30000000000000004,389.24842691909544,-1.7961905465130563,NA,389.24842691909544,0.7,0.30000000000000004,qr_dominant
242,0.490800038625,6.174045158625,480.12436237470513,0.02991399790550275,-1.6615890995944973,674.7058081146563,-1.5179837849470044,113,0.7,0.30000000000000004,590.0628792177775,-1.561065379341252,NA,616.331374392671,0.565,0.43500000000000005,qr_dominant
263,0.49059931695,6.17384443695,480.0280006797448,0.02545777165271175,-1.6660453258472885,565.3452981602424,-1.5607836633754713,38,0.38,0.62,496.2382872010394,-1.6260458941079978,NA,512.4485737223339,0.19,0.81,bayes_dominant
264,0.485543658625,6.168788778624999,477.6072674779523,0.0223473199510775,-1.6691557775489223,750.9725703761812,-1.3107716350006224,46,0.46,0.54,540.4812871445449,-1.5042990719767046,NA,603.3553068111377,0.23,0.77,bayes_dominant
375,0.286277732343,5.969522852342999,391.3189092963258,0.01382334015242375,-1.6776797573475764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,-0.349225502435625,5.334019617564374,207.26944584274875,-0.0087696102367045,-1.7002727077367046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,-0.4017622809875,5.2814828390125,196.66127626077315,-0.007650640156171,-1.699153737656171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,-0.1778102386775375,5.505434881322462,246.02542427968288,2.055477924715e-4,-1.6912975497075289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746,-0.2112092243695625,5.472035895630437,237.9441293850865,-0.01222539932185912,-1.7037284968218591,249.89596856958312,-2.161760823225861,84,0.7,0.30000000000000004,241.52968114043546,-2.02435112530466,NA,246.31041681423417,0.3,0.7,bayes_dominant
747,-0.173576279649075,5.509668840350924,247.06929413774543,-1.823164730775e-4,-1.6916854139730777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,-0.598345565975,5.084899554024999,161.5637099981572,-0.021324604636365,-1.7128277021363651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
