variable,estimate
lp__,-4563.86
mu_b0,0.730243
sigma_b0,1.03068
z_b0[1],-0.243405
z_b0[2],-0.183526
z_b0[3],0.0162202
z_b0[4],-0.424481
z_b0[5],0.0966789
z_b0[6],-0.217253
z_b0[7],-0.57246
z_b0[8],0.038019
z_b0[9],-0.177121
z_b0[10],0.0588422
z_b0[11],0.204046
z_b0[12],0.341136
z_b0[13],0.00403664
z_b0[14],-0.415705
z_b0[15],-0.127581
z_b0[16],0.0533493
z_b0[17],-0.0235179
z_b0[18],-0.0793513
z_b0[19],-0.0252227
z_b0[20],0.481196
z_b0[21],-0.179993
z_b0[22],-0.28903
z_b0[23],-0.625491
z_b0[24],-0.058028
z_b0[25],-0.146409
z_b0[26],-0.0962741
z_b0[27],-0.277988
z_b0[28],-0.580265
z_b0[29],0.188213
z_b0[30],-0.011149
z_b0[31],-0.091563
z_b0[32],0.45422
z_b0[33],-0.0459569
z_b0[34],-0.459266
z_b0[35],-0.268365
z_b0[36],0.166056
z_b0[37],-0.150476
z_b0[38],0.12615
z_b0[39],0.213505
z_b0[40],0.615122
z_b0[41],0.117545
z_b0[42],-0.230797
z_b0[43],0.0956888
z_b0[44],0.0381947
z_b0[45],0.0488528
z_b0[46],-0.410059
z_b0[47],0.124926
z_b0[48],-0.103724
z_b0[49],0.718118
z_b0[50],0.41887
z_b0[51],0.340945
z_b0[52],-0.353929
z_b0[53],0.162101
z_b0[54],-0.373124
z_b0[55],-0.0239244
z_b0[56],-0.20308
z_b0[57],-0.0438311
z_b0[58],0.202426
z_b0[59],-0.298097
z_b0[60],0.0354133
z_b0[61],0.333087
z_b0[62],0.0251505
z_b0[63],0.431305
z_b0[64],0.0169207
z_b0[65],-0.106003
z_b0[66],0.455368
z_b0[67],0.0227059
z_b0[68],0.30765
z_b0[69],0.0156451
z_b0[70],-0.0608948
z_b0[71],0.316249
z_b0[72],0.295625
z_b0[73],0.315427
z_b0[74],0.0371062
b1,0.906453
b2,-0.0958147
b3,0.092287
b4,-0.012385
b5,-9.20345e-4
b6,0.00829704
b7,-0.00271351
b8,-0.0101727
b9,-0.00292852
b10,0.0254713
b11,-8.85376e-5
b12,-0.200381
b13,0.0622116
sigma,0.706076
b0[1],0.47937
b0[2],0.541086
b0[3],0.74696
b0[4],0.292738
b0[5],0.829888
b0[6],0.506324
b0[7],0.14022
b0[8],0.769428
b0[9],0.547688
b0[10],0.79089
b0[11],0.940549
b0[12],1.08184
b0[13],0.734403
b0[14],0.301784
