variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-4843.43,-5250.931500000001,-4487.299,2.212792597662127,5.1055830522275025,763.6325000000006,FALSE
mu_b0,0.728252,0.6764614,0.7732983,1.8698633698186777,5.72412517325271,0.0968369,FALSE
sigma_b0,0.722241,0.5507569,2.7059805,2.533891537463939,4.80000792430276,2.1552236,FALSE
z_b0[1],-0.15376,-0.32039195000000004,-0.04779988000000001,2.3978624868968246,4.916407189869413,0.27259207,FALSE
z_b0[2],-0.007871465000000001,-0.080825805,0.084057125,3.548091821345419,4.388524777960171,0.16488292999999998,FALSE
z_b0[3],0.00776388,-0.08276002,0.06747747999999998,2.5867232152661446,4.8215729227171815,0.15023749999999997,FALSE
z_b0[4],-0.24119800000000002,-0.56008795,-0.11739225000000006,2.286104321186155,5.012084291888354,0.4426956999999999,FALSE
z_b0[5],1.83711e-4,-0.02303936,0.061599774999999975,2.1438839908480873,5.215489514605375,0.08463913499999998,FALSE
z_b0[6],-0.06778200000000001,-0.11021695000000001,-0.02987293000000002,1.9659375641903007,5.516349352218473,0.08034401999999999,FALSE
z_b0[7],-0.699205,-0.92717355,-0.24329055000000002,2.5667278206806974,4.77944044946909,0.683883,FALSE
z_b0[8],0.01128265,-0.049680745,0.09654457499999995,2.6210756573062657,4.770278635000754,0.14622531999999994,FALSE
z_b0[9],-0.051797499999999996,-0.07591302,0.020825539999999993,1.6992810727737924,6.301103442538995,0.09673855999999999,FALSE
z_b0[10],0.1126415,0.03898947,0.2000248,2.2997693529996637,5.016003158357746,0.16103533,FALSE
z_b0[11],0.1173165,0.03678977,0.2081533,1.7774201703339423,5.9977690855115515,0.17136353000000001,FALSE
z_b0[12],0.01411225,-0.04080265,0.06179862499999998,1.9750495563167099,5.501096032915147,0.10260127499999999,FALSE
z_b0[13],0.0011527899999999999,-0.08269093999999999,0.03597395499999998,2.3835120853026535,4.935842045160007,0.11866489499999996,FALSE
z_b0[14],-0.1682195,-0.3910357,-0.07635648000000005,2.246470157368565,5.06940537537911,0.3146792199999999,FALSE
z_b0[15],-0.029766300000000002,-0.0707585,0.0017906244999999924,2.2040488454523786,5.149285434448983,0.07254912449999999,FALSE
z_b0[16],0.046153150000000004,0.014602205000000002,0.15550809999999998,2.151266392594356,5.1680347619303175,0.14090589499999998,FALSE
z_b0[17],-0.00875826,-0.072080955,0.03388636,2.457724879360015,4.855598219845676,0.105967315,FALSE
z_b0[18],-0.0017178,-0.06844169,0.050117344999999994,2.5998057544926705,4.798678011860377,0.118559035,FALSE
