variable,estimate
lp__,-1333.24
mu_b0,1.48747
sigma_b0,0.994754
z_b0[1],-0.234194
z_b0[2],1.26349
z_b0[3],0.0973993
z_b0[4],0.0319675
z_b0[5],0.701716
z_b0[6],-0.761262
z_b0[7],-0.0185274
z_b0[8],-0.0657319
z_b0[9],0.140576
z_b0[10],-0.0718608
z_b0[11],0.282132
z_b0[12],0.0645486
z_b0[13],-0.326274
z_b0[14],0.198476
z_b0[15],0.421029
z_b0[16],-0.200631
z_b0[17],0.227498
z_b0[18],0.262005
z_b0[19],-0.295134
z_b0[20],-0.207797
z_b0[21],-0.208427
z_b0[22],-0.377444
z_b0[23],0.603385
z_b0[24],-0.54823
z_b0[25],-0.135359
z_b0[26],-0.387333
z_b0[27],-0.434141
b1,1.12216
b2,-0.394698
b3,0.18995
b4,-0.0103039
b5,-0.00347365
b6,-6.02053e-4
b7,-0.0323234
b8,-0.114317
b9,0.0173691
b10,0.030048
b11,-1.04047e-4
b12,-0.41706
b13,0.149791
sigma,0.791117
b0[1],1.25451
b0[2],2.74434
b0[3],1.58436
b0[4],1.51927
b0[5],2.18551
b0[6],0.730204
b0[7],1.46904
b0[8],1.42208
b0[9],1.62731
b0[10],1.41599
b0[11],1.76812
b0[12],1.55168
b0[13],1.16291
b0[14],1.68491
b0[15],1.90629
b0[16],1.28789
b0[17],1.71378
b0[18],1.7481
b0[19],1.19389
b0[20],1.28076
b0[21],1.28014
b0[22],1.11201
b0[23],2.08769
b0[24],0.942118
b0[25],1.35282
b0[26],1.10217
b0[27],1.05561
ln_DDS_rep[1],4.24918
ln_DDS_rep[2],3.6341
ln_DDS_rep[3],0.316127
ln_DDS_rep[4],2.47878
ln_DDS_rep[5],1.64794
ln_DDS_rep[6],2.13366
ln_DDS_rep[7],-0.86324
ln_DDS_rep[8],2.81415
ln_DDS_rep[9],2.27286
ln_DDS_rep[10],-0.220801
ln_DDS_rep[11],4.18116
ln_DDS_rep[12],1.04306
ln_DDS_rep[13],3.38261
ln_DDS_rep[14],4.9339
ln_DDS_rep[15],2.12635
ln_DDS_rep[16],4.23665
ln_DDS_rep[17],-1.75536
ln_DDS_rep[18],3.5661
ln_DDS_rep[19],2.40946
ln_DDS_rep[20],1.61461
ln_DDS_rep[21],3.37073
ln_DDS_rep[22],3.1103
ln_DDS_rep[23],2.86442
ln_DDS_rep[24],5.92784
ln_DDS_rep[25],4.16036
ln_DDS_rep[26],1.06453
ln_DDS_rep[27],4.21419
ln_DDS_rep[28],2.33675
ln_DDS_rep[29],4.06305
ln_DDS_rep[30],4.30695
ln_DDS_rep[31],4.45877
ln_DDS_rep[32],5.1466
ln_DDS_rep[33],4.64341
ln_DDS_rep[34],1.42866
ln_DDS_rep[35],4.67753
ln_DDS_rep[36],3.09567
ln_DDS_rep[37],5.61988
ln_DDS_rep[38],5.5545
ln_DDS_rep[39],2.41066
ln_DDS_rep[40],7.01976
ln_DDS_rep[41],2.37068
ln_DDS_rep[42],0.141481
ln_DDS_rep[43],3.13238
ln_DDS_rep[44],1.89674
ln_DDS_rep[45],1.84391
ln_DDS_rep[46],1.64522
ln_DDS_rep[47],0.882188
ln_DDS_rep[48],1.34469
ln_DDS_rep[49],2.43641
ln_DDS_rep[50],4.72335
ln_DDS_rep[51],4.19126
ln_DDS_rep[52],2.54283
ln_DDS_rep[53],1.73302
ln_DDS_rep[54],0.503877
ln_DDS_rep[55],4.45656
ln_DDS_rep[56],1.72597
ln_DDS_rep[57],3.63949
ln_DDS_rep[58],4.25402
ln_DDS_rep[59],0.577759
ln_DDS_rep[60],1.57611
ln_DDS_rep[61],4.18899
ln_DDS_rep[62],3.07109
ln_DDS_rep[63],2.32733
ln_DDS_rep[64],3.09577
ln_DDS_rep[65],3.0157
ln_DDS_rep[66],3.92998
ln_DDS_rep[67],2.56938
ln_DDS_rep[68],3.18714
ln_DDS_rep[69],1.31091
ln_DDS_rep[70],1.23147
ln_DDS_rep[71],2.72006
ln_DDS_rep[72],2.23228
ln_DDS_rep[73],2.91518
ln_DDS_rep[74],3.88245
ln_DDS_rep[75],1.99007
ln_DDS_rep[76],2.28293
ln_DDS_rep[77],1.80891
ln_DDS_rep[78],3.22862
ln_DDS_rep[79],1.6059
ln_DDS_rep[80],3.643
ln_DDS_rep[81],-0.992679
ln_DDS_rep[82],1.70946
ln_DDS_rep[83],3.85214
ln_DDS_rep[84],2.34423
ln_DDS_rep[85],4.19844
ln_DDS_rep[86],0.0476869
ln_DDS_rep[87],3.67705
ln_DDS_rep[88],0.9861
ln_DDS_rep[89],1.54472
ln_DDS_rep[90],1.98675
ln_DDS_rep[91],3.8245
ln_DDS_rep[92],1.29084
ln_DDS_rep[93],4.97948
ln_DDS_rep[94],2.5112
ln_DDS_rep[95],5.05247
ln_DDS_rep[96],4.27735
ln_DDS_rep[97],1.33409
ln_DDS_rep[98],2.06381
ln_DDS_rep[99],-0.0712081
ln_DDS_rep[100],2.78704
ln_DDS_rep[101],1.81452
