variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,48.3635683775,10.838827446330722,27.589945,69.7159975,NA,NA,NA,NA
b_b_Intercept,0.058480765925,0.01917267075957761,0.02028243,0.09580035,NA,NA,NA,NA
b_c_Intercept,0.94643556825,0.008303555128695525,0.9299973,0.9623700499999999,NA,NA,NA,NA
sd_SPCD__a_Intercept,119.15958575,21.040076233507804,85.0232725,167.045575,NA,NA,NA,NA
sd_SPCD__b_Intercept,1.2482571755,0.21365736352665918,0.9045957749999999,1.7297307499999999,NA,NA,NA,NA
sigma,15.48881545,0.06175602709872337,15.367697499999998,15.608605,NA,NA,NA,NA
"r_SPCD__a[15,Intercept]",250.2213045,58.225374787991534,158.215775,382.57872499999996,NA,NA,NA,NA
"r_SPCD__a[17,Intercept]",164.74597442499999,25.034511788044416,121.69415,222.27779999999998,NA,NA,NA,NA
"r_SPCD__a[41,Intercept]",138.467061975,13.339526511828916,113.24182499999999,164.66497499999997,NA,NA,NA,NA
"r_SPCD__a[81,Intercept]",160.9482679,62.775009036481606,68.05607,309.91177500000015,NA,NA,NA,NA
"r_SPCD__a[98,Intercept]",114.652624375,15.08599921394616,86.7071475,144.129475,NA,NA,NA,NA
"r_SPCD__a[103,Intercept]",136.856635375,62.60060935079062,48.374272500000004,288.43945,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",12.9694007652575,13.293558957890617,-12.103430000000001,39.08846500000001,NA,NA,NA,NA
"r_SPCD__a[116,Intercept]",123.89632175125,68.33303700654452,29.6116675,291.1229000000001,NA,NA,NA,NA
"r_SPCD__a[117,Intercept]",209.43952375,36.99451578233493,150.577725,297.19035,NA,NA,NA,NA
"r_SPCD__a[119,Intercept]",76.478826055,34.303595185702555,28.090387500000002,160.72852500000008,NA,NA,NA,NA
"r_SPCD__a[202,Intercept]",178.493516,11.215913679596552,156.43967500000002,199.96565,NA,NA,NA,NA
