variable,estimate
b_Intercept,2.64866
b_DBH_std,0.17924649999999998
b_IDBH_stdE2,-0.07750745
b_BAL_std,0.07462284999999999
b_CR_std,0.8126975000000001
b_SI_std,-0.172197
b_BA_std,0.1026395
sd_SPCD__Intercept,0.8216515
Intercept,2.57228
"r_SPCD[15,Intercept]",-1.23668
"r_SPCD[17,Intercept]",0.801444
"r_SPCD[41,Intercept]",0.04227855
"r_SPCD[81,Intercept]",0.4650155
"r_SPCD[98,Intercept]",0.931141
"r_SPCD[103,Intercept]",-1.4230399999999999
"r_SPCD[108,Intercept]",-0.2690015
"r_SPCD[116,Intercept]",-0.23288999999999999
"r_SPCD[117,Intercept]",-0.6021669999999999
"r_SPCD[119,Intercept]",-1.232235
"r_SPCD[202,Intercept]",0.0275918
"r_SPCD[211,Intercept]",1.19809
"r_SPCD[231,Intercept]",0.1431875
"r_SPCD[242,Intercept]",0.29423449999999995
"r_SPCD[263,Intercept]",0.1692045
"r_SPCD[312,Intercept]",0.7191805
"r_SPCD[351,Intercept]",-0.287134
"r_SPCD[352,Intercept]",-0.38337
"r_SPCD[361,Intercept]",-0.547693
"r_SPCD[431,Intercept]",0.524564
"r_SPCD[492,Intercept]",0.227574
"r_SPCD[542,Intercept]",0.11151649999999999
"r_SPCD[631,Intercept]",-0.2734085
"r_SPCD[763,Intercept]",0.1509635
"r_SPCD[768,Intercept]",0.3343695
"r_SPCD[805,Intercept]",0.08316195
"r_SPCD[815,Intercept]",-0.14437250000000001
"r_SPCD[818,Intercept]",0.21264349999999999
"r_SPCD[981,Intercept]",0.504885
lprior,-3.817595
lp__,-3912.69
