variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,2.822445,2.361844,3.3232784999999994,1.0019695819467447,1030.2215774347217,0.9614344999999993,TRUE
b_DBH_std,-0.246046,-0.72055335,0.14924519999999933,1.0036957174591759,1646.9657832803737,0.8697985499999993,TRUE
b_IDBH_stdE2,-0.1223075,-0.17708929999999998,-0.07000297500000004,0.9999991136040308,5522.795179303814,0.10708632499999994,TRUE
b_BAL_std,-0.279489,-0.6589071,0.09327939999999961,1.0050008292399621,1617.5729102729158,0.7521864999999995,TRUE
b_CR_std,0.7881564999999999,0.7197994500000001,0.8523601,1.001350240016831,7115.822467420657,0.13256064999999984,TRUE
b_SI_std,-0.239232,-0.30681395000000006,-0.17758805000000003,1.0031246891951333,6388.038818718134,0.12922590000000003,TRUE
b_BA_std,0.1619375,0.07781220000000001,0.24902394999999994,1.0016794178593065,7151.396448246187,0.17121174999999994,TRUE
b_DBH_BAL,0.1784955,0.09545883000000001,0.2695452,1.0002769447287547,6089.708256233882,0.17408637,TRUE
b_ELEV_std,-0.148551,-0.2059426,-0.08969187000000003,1.0017025402191873,5827.508468034746,0.11625072999999997,TRUE
b_SLOPE_std,0.1148185,0.058605489999999996,0.17004229999999998,1.000850686346891,7251.358438706484,0.11143680999999998,TRUE
sd_SPCD_grouped__Intercept,1.14813,0.7694107,1.6910329999999993,1.0034497594980232,1542.2516135929877,0.9216222999999993,TRUE
sd_SPCD_grouped__DBH_std,0.835448,0.4122415,1.4027789999999996,1.001733329276155,1115.048447053966,0.9905374999999996,TRUE
sd_SPCD_grouped__BAL_std,0.8762345,0.6299988999999999,1.2595304999999994,1.0026386042151139,1897.690197256292,0.6295315999999995,TRUE
cor_SPCD_grouped__Intercept__DBH_std,0.28085099999999996,-0.26462319999999995,0.6891594999999999,1.0013540254493418,2455.9527795892964,0.9537826999999999,TRUE
cor_SPCD_grouped__Intercept__BAL_std,-0.07209505,-0.46399945,0.3227388499999998,0.9996884459425157,2032.1729655994436,0.7867382999999998,TRUE
cor_SPCD_grouped__DBH_std__BAL_std,0.233175,-0.22873705,0.6026823499999999,1.0004217523180863,1381.7163080734197,0.8314193999999999,TRUE
Intercept,2.643685,2.191286,3.1390540000000002,1.0023100954353155,1010.0122454980157,0.9477680000000004,TRUE
"r_SPCD_grouped[OTHER,Intercept]",-0.338716,-1.2561604999999998,0.5751634499999998,1.0003539242402517,2842.8543080852387,1.8313239499999996,TRUE
