variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,-0.4930115,-0.52394005,-0.46191825,1.0119214458644237,357.1292412605321
b_CR_t1_std,0.35837600000000003,0.35290885,0.36365315000000004,0.9997502924563565,8037.401581330541
b_DBH_std,0.0217826,0.0071182960000000005,0.03626045,1.0022272779735517,1609.348577732798
b_IDBH_stdE2,0.002078805,-7.7745665e-4,0.005130085999999999,1.000621248369224,4008.620434070204
b_BA_std,-0.0312143,-0.039082240000000004,-0.023530534999999998,1.0011068379254309,3912.0750634916435
b_BAL_std,-0.033875600000000006,-0.043317795,-0.024269635000000008,1.000557584046523,3668.846193944031
b_SI_std,-0.00795891,-0.01407941,-0.001774738000000001,1.0015278460930064,5897.549415111335
b_relDBH_std,-0.00546317,-0.015743845,0.0048470705,1.0025114264035122,4197.42668408744
sd_SPCD_grouped__Intercept,0.135397,0.1129029,0.16219219999999998,1.0074996790663402,449.5784492648908
sd_SPCD_grouped__DBH_std,0.032990950000000005,0.02048066,0.04818912999999999,1.0021909858405509,970.296972288061
cor_SPCD_grouped__Intercept__DBH_std,-0.5267505,-0.75873185,-0.18575215000000006,1.0015618634309773,1377.0686721426944
phi,16.6424,16.425395,16.8629,1.0002288201943124,6186.574214357676
Intercept,-0.4909375,-0.52162915,-0.45984185,1.0117256862462438,353.73631756633415
"r_SPCD_grouped[OTHER,Intercept]",-0.014616500000000001,-0.06779994,0.04185557499999998,1.002846400315784,1257.5808647924657
"r_SPCD_grouped[12,Intercept]",0.06543025,0.02644304,0.10363239999999999,1.0066476138995977,549.9678015894951
"r_SPCD_grouped[43,Intercept]",-0.119307,-0.24045275,-0.0029417855000000615,0.999763522471003,3276.994030565695
"r_SPCD_grouped[68,Intercept]",0.04047485,-0.064398145,0.1472559,1.0019979415793865,3107.8214456241144
"r_SPCD_grouped[71,Intercept]",0.0682257,-0.01808007,0.15653439999999993,1.0018710445872023,2194.4517673508944
"r_SPCD_grouped[91,Intercept]",0.1244685,0.042291100000000005,0.2077091,1.0007406620130077,2429.291615693105
"r_SPCD_grouped[94,Intercept]",0.0705146,0.010639555000000002,0.129653,1.0032202212341785,1048.2749525287225
"r_SPCD_grouped[95,Intercept]",-0.02176855,-0.08032942499999998,0.037465254999999996,1.004443609683882,1029.2117347607025
"r_SPCD_grouped[97,Intercept]",0.1053655,0.06835029000000001,0.14156195,1.0079357648415035,482.3478204973982
"r_SPCD_grouped[125,Intercept]",-0.1011225,-0.18486395,-0.01795796000000004,1.001009545470882,2180.666460816503
"r_SPCD_grouped[126,Intercept]",-0.0952813,-0.1571389,-0.03368499000000002,1.0031636917748992,1304.2338086206532
"r_SPCD_grouped[129,Intercept]",-0.018873050000000002,-0.0585671,0.019810539999999995,1.0077670777831806,518.1504925686183
"r_SPCD_grouped[130,Intercept]",-0.2271015,-0.3533779,-0.10179660000000001,1.0003625395587423,3431.270498065834
"r_SPCD_grouped[131,Intercept]",-0.26868400000000003,-0.35023195,-0.18825500000000003,1.0006327603274958,1820.154170576113
"r_SPCD_grouped[132,Intercept]",-0.176182,-0.27355434999999995,-0.07746781,1.0007575627033236,2602.612599936245
"r_SPCD_grouped[241,Intercept]",0.15764499999999998,0.11584035000000001,0.19725689999999999,1.0045767973216069,603.2274047476085
"r_SPCD_grouped[261,Intercept]",0.28749250000000004,0.24988065,0.32489565,1.0077090772755075,485.51130590843184
"r_SPCD_grouped[313,Intercept]",0.16623549999999998,0.046585934999999995,0.2921604,1.001116829004916,3482.194364929926
"r_SPCD_grouped[315,Intercept]",0.09126445,0.017580780000000004,0.15827719999999998,1.0030566092844269,1169.0662849768332
"r_SPCD_grouped[316,Intercept]",0.04501145,0.011538245000000003,0.07740750499999999,1.0106094915108368,401.2550316899383
"r_SPCD_grouped[317,Intercept]",0.0830639,-0.045579379999999996,0.21372459999999993,1.0003568382057053,3586.010945042477
"r_SPCD_grouped[318,Intercept]",0.1440265,0.10896410000000001,0.17935884999999996,1.0081705047232028,471.836610216664
"r_SPCD_grouped[319,Intercept]",0.03363115,-0.09737391,0.16331889999999996,1.0017628063133284,4079.3540273092663
"r_SPCD_grouped[341,Intercept]",-0.2591945,-0.4159053,-0.11113185000000003,1.0011209027036843,2829.4662270763897
"r_SPCD_grouped[356,Intercept]",0.009755675,-0.075786195,0.09226717999999988,1.0015716755926372,2181.7718437036015
"r_SPCD_grouped[371,Intercept]",0.120448,0.08211523999999999,0.15968384999999996,1.0072926789254253,524.3925884262237
"r_SPCD_grouped[372,Intercept]",0.00737136,-0.035574925,0.05011231499999999,1.0055493721999356,609.5000785314519
"r_SPCD_grouped[375,Intercept]",-0.0499941,-0.09147184500000001,-0.007090462000000001,1.0054380809858077,621.2494933912619
"r_SPCD_grouped[379,Intercept]",-0.1482,-0.23018955,-0.06315912500000005,1.0016401097752319,1898.9006437997841
"r_SPCD_grouped[391,Intercept]",0.2054315,0.10722195000000001,0.3029117499999999,1.0005296951034082,2485.4277160937354
"r_SPCD_grouped[402,Intercept]",0.021374999999999998,-0.0710136,0.1134394,1.0025069145286705,2770.4456078342355
"r_SPCD_grouped[403,Intercept]",0.11722550000000001,0.04624551,0.18813539999999998,1.0024305282449082,1573.3345142244439
"r_SPCD_grouped[407,Intercept]",0.08104715,0.0061784745,0.1588761999999999,1.0025579772302111,1898.0801949632996
"r_SPCD_grouped[409,Intercept]",0.15191749999999998,0.060189290000000006,0.24410429999999997,1.0024193420027874,2900.110482509463
"r_SPCD_grouped[500,Intercept]",0.00402185,-0.098396140000000007,0.10356484999999997,1.0003698569696435,2367.077207154908
"r_SPCD_grouped[531,Intercept]",0.185402,0.1490837,0.22113295,1.0062584246927913,474.98947680292207
"r_SPCD_grouped[541,Intercept]",-0.05050695,-0.09439958999999999,-0.009093396000000012,1.0069464635590972,600.559030836311
"r_SPCD_grouped[543,Intercept]",-0.04534805,-0.13063,0.034303724999999965,1.0012974688689271,1667.9738585644914
"r_SPCD_grouped[544,Intercept]",-0.06542615,-0.15652544999999998,0.024096149999999986,1.000656345916075,2788.5998300191736
"r_SPCD_grouped[591,Intercept]",0.271748,0.1737599,0.37236525,1.0012068554769489,2667.7091820429528
"r_SPCD_grouped[602,Intercept]",-0.0210634,-0.1288625,0.08756732499999995,1.0030854540353153,3055.9933763064887
"r_SPCD_grouped[611,Intercept]",-0.06906365,-0.16303750000000003,0.02215868999999986,1.0006321750945315,1947.0575444584285
"r_SPCD_grouped[621,Intercept]",-0.029842050000000002,-0.09133596000000001,0.030760654999999987,1.0023189404402153,1175.4888237433647
"r_SPCD_grouped[651,Intercept]",-0.050632949999999996,-0.16713285,0.07370603499999999,1.0021691214462027,3092.294333259261
"r_SPCD_grouped[660,Intercept]",0.0373088,-0.057737784999999986,0.13003585,1.0007380598684086,2132.6737238020014
"r_SPCD_grouped[693,Intercept]",0.0229881,-0.037918375,0.08401544499999998,1.0024364270330217,1222.1773939255982
"r_SPCD_grouped[701,Intercept]",0.143346,0.07860493500000001,0.2095153,1.002133277357595,1392.5781690902706
"r_SPCD_grouped[711,Intercept]",-0.0322652,-0.13686375,0.07345717999999993,1.0007547577333362,2970.8162314547712
"r_SPCD_grouped[731,Intercept]",0.03893015,-0.09724282999999999,0.17281834999999998,1.000845327631928,3691.417302632385
"r_SPCD_grouped[741,Intercept]",0.036666699999999997,-0.07865580999999999,0.15172655,1.0014078908527133,3406.1984820592397
"r_SPCD_grouped[743,Intercept]",-0.10914299999999999,-0.1748913,-0.048752039999999996,1.0012755312965955,1458.3744943553147
"r_SPCD_grouped[746,Intercept]",-0.147153,-0.2001902,-0.09655288000000001,1.0054790518917693,866.9478033221719
"r_SPCD_grouped[761,Intercept]",-0.234941,-0.3331973,-0.14155980000000004,1.0002650447736179,2412.589397448999
"r_SPCD_grouped[762,Intercept]",-0.1684515,-0.21310844999999998,-0.12614485,1.0066316932798927,676.5091162350182
"r_SPCD_grouped[802,Intercept]",0.03985295,-0.011415854999999997,0.09149051999999999,1.0028230639308222,903.4316204026316
"r_SPCD_grouped[806,Intercept]",-0.02463835,-0.09094615,0.040119089999999975,1.0014080434934505,1561.154659716522
"r_SPCD_grouped[832,Intercept]",-0.015249200000000001,-0.06459377499999999,0.033453314999999983,1.004588029150699,770.211486704989
"r_SPCD_grouped[833,Intercept]",0.00831719,-0.03506378,0.05146837,1.006813295372936,652.6757045795235
"r_SPCD_grouped[837,Intercept]",-0.017236050000000003,-0.085250305,0.05092089499999998,1.0020908159263697,1286.9053227515765
"r_SPCD_grouped[901,Intercept]",-0.24668,-0.3328029,-0.16081450000000005,1.0013804405242066,2005.6466553167045
"r_SPCD_grouped[931,Intercept]",-0.182084,-0.26252024999999996,-0.10743560000000003,1.0013650315701526,1886.9566837373204
"r_SPCD_grouped[951,Intercept]",0.0020638749999999997,-0.076369995,0.07900713499999995,1.0016323796730027,2035.7759024739428
"r_SPCD_grouped[972,Intercept]",0.07668554999999999,-0.003038127999999999,0.15282689999999996,1.001858394536755,2056.500380294412
