variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,84.068624075,3.2859710921556378,77.5227,90.2778175,NA,NA,NA,NA
b_b_Intercept,0.066757209985,0.02045405486140107,0.027259585000000003,0.10613225000000001,NA,NA,NA,NA
b_c_Intercept,0.97496291975,0.011880866051296183,0.952169825,0.9981000999999999,NA,NA,NA,NA
sd_SPCD__a_Intercept,25.960005025,2.2793718333415693,21.887885000000004,30.847795000000005,NA,NA,NA,NA
sd_SPCD__b_Intercept,2.3124452025,0.22443366751467464,1.92425725,2.8218615000000002,NA,NA,NA,NA
sigma,9.047914605,0.03792633607581953,8.9754390000000015,9.124760250000001,NA,NA,NA,NA
"r_SPCD__a[12,Intercept]",1.6716160476025,5.738896193899371,-9.001361,13.690002499999999,NA,NA,NA,NA
"r_SPCD__a[43,Intercept]",12.988283090635,12.118769936375015,-7.34274375,40.245485,NA,NA,NA,NA
"r_SPCD__a[68,Intercept]",-23.9992981407125,14.57531955900816,-44.7541875,15.163682500000023,NA,NA,NA,NA
"r_SPCD__a[70,Intercept]",10.6457989658,14.018235943386376,-12.813157499999999,42.9418625,NA,NA,NA,NA
"r_SPCD__a[71,Intercept]",-2.7738931164975,8.222576233269395,-16.7871925,16.056362500000002,NA,NA,NA,NA
"r_SPCD__a[91,Intercept]",47.234641275,14.698353996567302,21.0598875,78.201385,NA,NA,NA,NA
"r_SPCD__a[94,Intercept]",45.1994836625,15.536516473351954,18.229,77.30982750000001,NA,NA,NA,NA
"r_SPCD__a[95,Intercept]",24.33433420015,16.37597960033465,-3.55076125,59.6187575,NA,NA,NA,NA
"r_SPCD__a[96,Intercept]",-3.31979864650825,23.17261421562005,-41.829454999999996,47.161785,NA,NA,NA,NA
"r_SPCD__a[97,Intercept]",23.7597295775,6.983616533670662,11.1149375,38.37509,NA,NA,NA,NA
"r_SPCD__a[105,Intercept]",-2.5412782698625,21.2397484440309,-37.8259325,43.22688250000001,NA,NA,NA,NA
"r_SPCD__a[110,Intercept]",-1.52752621425,16.560603806966828,-25.8007325,38.24980500000001,NA,NA,NA,NA
"r_SPCD__a[123,Intercept]",-12.40407059145,20.11370017823459,-41.28397,35.41599,NA,NA,NA,NA
"r_SPCD__a[125,Intercept]",45.06131233,13.898396046283045,20.8405925,75.07036750000002,NA,NA,NA,NA
"r_SPCD__a[126,Intercept]",27.03699386775,14.068113341048186,3.38711625,59.18181,NA,NA,NA,NA
"r_SPCD__a[129,Intercept]",37.95474465,4.508450552398488,29.327877500000003,46.8373725,NA,NA,NA,NA
"r_SPCD__a[130,Intercept]",17.41144767006,17.589394673799674,-11.6535375,56.30929750000001,NA,NA,NA,NA
"r_SPCD__a[131,Intercept]",38.488387105,10.334909941920186,20.5638925,61.4068825,NA,NA,NA,NA
"r_SPCD__a[132,Intercept]",23.42893886105,13.666794610066503,0.781492925,55.02973000000003,NA,NA,NA,NA
"r_SPCD__a[136,Intercept]",-8.5447343179675,23.623098617351708,-50.6392975,38.40834750000002,NA,NA,NA,NA
"r_SPCD__a[202,Intercept]",-0.086814116275,21.847564813044826,-37.7939675,46.443825000000004,NA,NA,NA,NA
"r_SPCD__a[241,Intercept]",-19.895562735,4.778964838922372,-28.9760125,-10.5072375,NA,NA,NA,NA
