variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.56222750625,0.024298552677093462,5.51282675,5.6098004999999995
b_ln_qmd_centered,-1.63148948,0.012918491905355616,-1.65662025,-1.60572
sd_SPCD__Intercept,0.2401454555,0.019812531046961936,0.203992675,0.28179502500000003
sd_SPCD__ln_qmd_centered,0.0773295284125,0.011787305281858104,0.057761285,0.10325819999999995
cor_SPCD__Intercept__ln_qmd_centered,-0.194098770678625,0.18088936449348414,-0.526423525,0.1732085749999995
sigma,0.15297929925,6.379819110400303e-4,0.15174697499999998,0.154216025
Intercept,6.3873261,0.024588292799782807,6.33706,6.43502075
"r_SPCD[12,Intercept]",0.287913049,0.029218929872643552,0.230955675,0.3447653249999999
"r_SPCD[43,Intercept]",0.648557670875,0.042673930427306155,0.565387,0.7323036
"r_SPCD[68,Intercept]",-0.05715198621539625,0.044891973796216865,-0.14482955000000003,0.03264075249999992
"r_SPCD[70,Intercept]",0.08775562414843875,0.0491894367137764,-0.008227067499999997,0.18502444999999992
"r_SPCD[71,Intercept]",0.1752351901925,0.04663372551342161,0.08385627750000002,0.268391225
"r_SPCD[91,Intercept]",0.22371519195,0.031858118749627365,0.161432475,0.2868003
"r_SPCD[94,Intercept]",0.163343735475,0.039133527096504805,0.08672212,0.240242075
"r_SPCD[95,Intercept]",0.0109650339213125,0.04461675206028466,-0.0768119225,0.09708941749999991
"r_SPCD[96,Intercept]",-0.01388071473965,0.10055731925366009,-0.210705375,0.18236832499999994
"r_SPCD[97,Intercept]",0.30196737975,0.027682988187272377,0.249033625,0.357248175
"r_SPCD[105,Intercept]",-0.08056247387780112,0.10714554013806463,-0.29510342500000003,0.13086634999999994
"r_SPCD[110,Intercept]",-0.0062244830210457,0.07125118787430713,-0.14573917499999997,0.1336381249999999
"r_SPCD[123,Intercept]",0.1732360773488375,0.07521122044288617,0.0284821925,0.31982459999999996
"r_SPCD[125,Intercept]",0.3301027585,0.03163024385376216,0.269926475,0.39283172499999996
"r_SPCD[126,Intercept]",-0.04044781211815875,0.03016073478099694,-0.09866220749999999,0.01855465249999997
"r_SPCD[129,Intercept]",0.28281335325,0.024982798654324935,0.23457607500000002,0.333260325
"r_SPCD[130,Intercept]",0.03653746294055,0.04202827062136593,-0.0459438,0.1180386499999999
"r_SPCD[131,Intercept]",0.35313295425,0.032154951023681,0.29058825,0.41618520000000003
"r_SPCD[132,Intercept]",-0.03737056578943625,0.03380852568045838,-0.10407325,0.028871477499999992
"r_SPCD[136,Intercept]",-0.512860873525,0.133693833726328,-0.7740255500000001,-0.25200880000000003
"r_SPCD[202,Intercept]",-0.86663848775,0.13894348631084916,-1.13878425,-0.598545325
"r_SPCD[221,Intercept]",0.48007322275,0.10005492020993226,0.28620379999999995,0.6736912500000001
"r_SPCD[241,Intercept]",0.5079507995,0.029450901611771888,0.450795825,0.56708725
"r_SPCD[261,Intercept]",0.33030686725,0.024854847517003884,0.2817098,0.380185
"r_SPCD[313,Intercept]",-0.280188017375,0.043302046223382615,-0.3648298,-0.1958204500000001
"r_SPCD[314,Intercept]",-0.0508799809543625,0.0613238509130918,-0.17016277500000002,0.06872138749999993
"r_SPCD[315,Intercept]",0.104590868626725,0.07201222606933659,-0.038038745000000006,0.24422502499999998
"r_SPCD[316,Intercept]",0.140082878025,0.024722935227001253,0.091429565,0.19077759999999996
