variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.261828,-0.35161365000000006,-0.16652085000000003,1.0049309268312816,365.18447143134205,0.18509280000000003,TRUE
b_DBH_std,0.16851,0.1451444,0.19286715000000001,1.0014779265305922,3219.1363309881494,0.04772275000000001,TRUE
b_IDBH_stdE2,-0.01770655,-0.02484053,-0.010292615000000001,1.0012732129360011,6811.560534296134,0.014547914999999998,TRUE
b_BA_std,-0.16174300000000003,-0.188215,-0.13519890000000004,1.0009679531792526,3178.9898153347317,0.053016099999999955,TRUE
b_BAL_std,-0.0245173,-0.05067725,0.0012145934999999914,1.0015698519811198,3059.21697764982,0.05189184349999999,TRUE
b_CR_std,-0.671783,-0.6866419500000001,-0.6575785,1.0037503884531767,7114.803215644831,0.0290634500000001,TRUE
b_SI_std,-0.0782333,-0.09556607999999998,-0.06076376,0.9998402157504108,4466.2929343265705,0.034802319999999984,TRUE
sd_SPCD__Intercept,0.380939,0.31071665000000004,0.48341639999999997,1.0024609039023802,749.053281218876,0.17269974999999993,TRUE
sigma,1.376735,1.3672495,1.3860709999999998,1.001548490650185,6900.061028342662,0.018821499999999824,TRUE
Intercept,-0.27475150000000004,-0.3652642,-0.18142080000000005,1.0052289797192242,359.9106161509686,0.18384339999999993,TRUE
"r_SPCD[11,Intercept]",0.0297937,-0.5938696000000001,0.6445959499999996,1.001400460950501,7777.237251637888,1.2384655499999997,TRUE
"r_SPCD[15,Intercept]",0.12396950000000001,0.024908360000000004,0.2218320999999998,1.0049096829857032,395.90781172649497,0.1969237399999998,TRUE
"r_SPCD[17,Intercept]",-0.5194875000000001,-0.9434446999999999,-0.09613434500000001,0.9997792716337786,3430.694261626399,0.8473103549999998,TRUE
"r_SPCD[19,Intercept]",0.166767,-0.4316386,0.7951277499999997,1.0018030932360655,5465.017173292948,1.2267663499999997,TRUE
"r_SPCD[20,Intercept]",-0.0150294,-0.12654635,0.09725978,1.0012785711384773,553.6236704795374,0.22380613,TRUE
"r_SPCD[21,Intercept]",-0.0414445,-0.20333420000000002,0.12249204999999984,1.0018750266813505,1173.0788293999217,0.3258262499999999,TRUE
