variable,estimate
lp__,-2825.09
mu_b0,1.60531
sigma_b0,1.03172
z_b0[1],0.588483
z_b0[2],0.573973
z_b0[3],0.61571
z_b0[4],0.560834
z_b0[5],0.184403
z_b0[6],0.12433
z_b0[7],-0.120924
z_b0[8],-0.321599
z_b0[9],0.358028
z_b0[10],-0.219984
z_b0[11],0.427785
z_b0[12],0.0976464
z_b0[13],0.0731398
z_b0[14],0.796342
z_b0[15],-0.383899
z_b0[16],-0.00459263
z_b0[17],-0.470801
z_b0[18],-0.164464
z_b0[19],0.0409732
z_b0[20],0.0520931
z_b0[21],0.123908
z_b0[22],0.528362
z_b0[23],-0.0758054
z_b0[24],-0.253441
z_b0[25],0.212741
z_b0[26],-0.160277
z_b0[27],0.17584
z_b0[28],-0.130604
z_b0[29],-0.0444311
z_b0[30],-0.599018
z_b0[31],-0.34782
z_b0[32],0.441736
z_b0[33],0.381225
z_b0[34],0.0605938
z_b0[35],-0.445632
z_b0[36],-0.238999
z_b0[37],0.444431
z_b0[38],-0.0809127
z_b0[39],-0.0516402
z_b0[40],-0.0065446
z_b0[41],-0.531829
z_b0[42],0.343718
z_b0[43],0.398941
z_b0[44],-0.116123
z_b0[45],-0.21896
z_b0[46],-0.0668782
z_b0[47],-0.115165
z_b0[48],-0.101359
z_b0[49],0.0486002
z_b0[50],0.0583202
z_b0[51],-0.0391857
z_b0[52],0.0864593
z_b0[53],0.0609383
z_b0[54],-0.0779567
z_b0[55],-0.132214
z_b0[56],-0.312233
z_b0[57],-0.578094
z_b0[58],-0.595915
z_b0[59],-0.197078
z_b0[60],-0.346876
z_b0[61],-0.159229
z_b0[62],-0.18848
b1,1.03424
b2,-0.294672
b3,0.187792
b4,-0.0794947
b5,0.00583658
b6,-0.00980143
b7,-0.0231626
b8,-0.154092
b9,0.00696124
b10,0.0175791
b11,-1.82863e-5
b12,-0.229865
b13,0.0846704
sigma,0.803895
b0[1],2.21246
b0[2],2.19749
b0[3],2.24055
b0[4],2.18393
b0[5],1.79556
b0[6],1.73358
b0[7],1.48055
b0[8],1.27351
b0[9],1.97469
b0[10],1.37835
b0[11],2.04666
b0[12],1.70605
b0[13],1.68077
