variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-12756.849999999999,-13861.11,-12495.7,NA,NA,1365.4099999999999,NA
lp_approx__,-38.597750000000005,-49.581694999999996,-29.580740000000002,NA,NA,20.000954999999994,NA
mu_b0,1.63116,1.4455714999999998,1.815724,NA,NA,0.3701525000000001,NA
sigma_b0,0.2642945,0.22254245,0.31595064999999994,NA,NA,0.09340819999999994,NA
z_b0[1],1.49718,0.93571985,2.049702,NA,NA,1.11398215,NA
z_b0[2],0.8409530000000001,-0.52034745,2.2458665,NA,NA,2.76621395,NA
z_b0[3],1.541075,0.86976655,2.2030440000000002,NA,NA,1.3332774500000002,NA
z_b0[4],1.129905,0.2979769,2.0043829999999994,NA,NA,1.7064060999999993,NA
z_b0[5],0.277072,-1.4055345,1.9207439999999993,NA,NA,3.326278499999999,NA
z_b0[6],-0.04580445,-1.4251049999999998,1.308294,NA,NA,2.733399,NA
z_b0[7],-0.21981499999999998,-1.8325014999999998,1.4405734999999997,NA,NA,3.2730749999999995,NA
z_b0[8],-0.513986,-2.050639,1.0662705,NA,NA,3.1169094999999998,NA
z_b0[9],0.440604,-0.8232950999999998,1.7370614999999991,NA,NA,2.560356599999999,NA
z_b0[10],-0.9619255,-1.8042754999999997,-0.12808040000000007,NA,NA,1.6761950999999997,NA
z_b0[11],0.5484184999999999,-0.7701016999999998,1.8106404999999997,NA,NA,2.5807421999999995,NA
z_b0[12],-0.26114899999999996,-0.84864415,0.3227268499999999,NA,NA,1.171371,NA
z_b0[13],0.026088550000000002,-1.5705475000000002,1.6738989999999987,NA,NA,3.2444464999999987,NA
z_b0[14],1.198305,-0.15677824999999998,2.5868245,NA,NA,2.74360275,NA
z_b0[15],-0.8904485,-1.8886005000000001,0.07708364499999998,NA,NA,1.965684145,NA
z_b0[16],-0.1192465,-1.3033725,1.0895669999999995,NA,NA,2.3929394999999998,NA
z_b0[17],-0.7889,-2.0060695,0.41693929999999874,NA,NA,2.423008799999999,NA
z_b0[18],-0.9442715,-1.6760525,-0.2406180000000001,NA,NA,1.4354345,NA
z_b0[19],0.0742818,-1.5263930000000001,1.7136409999999995,NA,NA,3.2400339999999996,NA
z_b0[20],0.09938759999999999,-1.389381,1.4958989999999985,NA,NA,2.8852799999999985,NA
z_b0[21],-0.07602990000000001,-0.77580375,0.5851927499999998,NA,NA,1.3609964999999997,NA
z_b0[22],1.2098,0.5145439,1.9092029999999998,NA,NA,1.3946590999999997,NA
z_b0[23],-0.550221,-1.4757305,0.3584289999999997,NA,NA,1.8341594999999997,NA
z_b0[24],-0.407127,-1.9030325,1.0846749999999998,NA,NA,2.9877075,NA
z_b0[25],0.32148350000000003,-0.28946269999999996,0.9114603499999997,NA,NA,1.2009230499999997,NA
z_b0[26],-0.22337600000000002,-1.747636,1.3844439999999998,NA,NA,3.1320799999999998,NA
z_b0[27],0.3125305,-0.68096845,1.356766,NA,NA,2.03773445,NA
z_b0[28],-0.5718835,-1.5091355000000002,0.3464281499999999,NA,NA,1.8555636500000001,NA
z_b0[29],-0.12303249999999999,-1.737971,1.4178464999999987,NA,NA,3.1558174999999986,NA
z_b0[30],-0.9929515,-2.485632,0.5694960499999997,NA,NA,3.0551280499999995,NA
z_b0[31],-0.6412329999999999,-2.239581,0.9912181999999993,NA,NA,3.230799199999999,NA
z_b0[32],1.136755,0.57792025,1.6748834999999997,NA,NA,1.0969632499999997,NA
z_b0[33],1.035495,0.41327030000000003,1.649884,NA,NA,1.2366137,NA
z_b0[34],0.0292543,-1.585431,1.693712499999998,NA,NA,3.279143499999998,NA
z_b0[35],-0.84373,-2.3200605,0.6955992999999996,NA,NA,3.0156597999999994,NA
z_b0[36],-0.38404950000000004,-1.943371,1.1212579999999979,NA,NA,3.064628999999998,NA
z_b0[37],0.545975,-0.7351702999999999,1.841987,NA,NA,2.5771573,NA
z_b0[38],-0.5623309999999999,-1.5013634999999999,0.37853794999999996,NA,NA,1.8799014499999998,NA
z_b0[39],-0.4348475,-1.304892,0.4711997,NA,NA,1.7760916999999998,NA
z_b0[40],-0.01099035,-1.6986645,1.6494054999999994,NA,NA,3.3480699999999994,NA
z_b0[41],-0.9944915000000001,-2.0671025,0.08865618499999992,NA,NA,2.155758685,NA
z_b0[42],0.7693775,-0.22599695,1.7902384999999998,NA,NA,2.01623545,NA
z_b0[43],0.5430135,-0.7358664999999999,1.8074739999999998,NA,NA,2.5433405,NA
z_b0[44],-0.7129570000000001,-1.3924005000000002,-0.05610708500000009,NA,NA,1.336293415,NA
