variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,2.34801639,0.1711427953538164,2.0126465000000002,2.68602525,1.007338630524006,474.6938031386481,976.0065136132216
DBH_std,0.166900971152775,0.14868830876357683,-0.11451152499999996,0.46853142500000006,1.0047696316557246,683.9120119737822,1095.083543349572
IDBH_stdE2,-0.084740193925,0.015803438871631957,-0.11593405,-0.053878187499999994,1.0013709292803805,4927.116227580421,2951.968098212549
BAL_std,-0.4298280993,0.10396832081976598,-0.6393101999999999,-0.22257095,1.0058386400125932,896.2379564847961,1731.3578338211958
CR_std,0.4842452585,0.020065262316317556,0.445425625,0.523386775,1.0019598601947406,5442.333197436298,3015.0393086595745
SI_std,-0.0600395587755,0.024000017414111688,-0.1066327,-0.013147542499999986,0.9998693137980326,4614.111542788443,2896.8942054357904
BA_std,0.182228320075,0.03055028738362628,0.12533995,0.24226510000000004,1.001004383686642,5281.620970257897,2562.8460763260723
DBH_BAL,-0.43279239075,0.02153526130879247,-0.4753499,-0.39013092499999996,0.9996353120127262,4592.333562248606,3024.6358050996855
ELEV_std,-0.149593388525,0.03727843720143692,-0.22225067499999998,-0.077662425,1.0019226309248523,3295.2742071097828,2849.0877742032344
SLOPE_std,-0.0817734484625,0.019771809803812088,-0.1205506,-0.043590174999999995,1.0000819835394024,6545.000612529188,3331.4408653418236
