SPCD,n_stands,qr_intercept,qr_slope,qr_sdimax_10,reineke_sdimax
15,1133,10.10438234291109,-1.6121556584433023,597.2028011901938,764.0995646157517
20,337,10.329392220326287,-1.666271837650895,660.2770542308713,886.6242352873052
21,55,12.017648524258906,-2.2633195656217966,903.3974782129145,933.5749585360969
62,39,10.45170933912102,-2.0675683578324335,296.17700327199867,399.6884381823249
64,158,9.307435624517451,-1.5134071778613378,337.87865330911364,406.11453317212306
81,461,9.81358213697618,-1.4521492118726884,645.4095063584327,971.1090846202635
101,65,10.467205374511735,-2.083246822066069,290.1367306873678,439.29210675043004
108,341,11.112470763939951,-2.1007278909747473,531.3208296464002,710.8080883252284
116,444,10.555494737095438,-1.9491254681655499,431.58629965311417,604.2288634781613
117,100,10.94780556972044,-1.9857363326615536,587.2664831515558,695.7526165550212
119,55,9.589353187180263,-1.5860280683375054,378.9440617856382,370.98393647954583
122,887,9.80166488605095,-1.5658418619384433,490.87070185216703,636.0620878534385
127,59,8.845551430827223,-1.4367720366138543,253.98153240021156,249.42858169571426
133,208,9.371861098622864,-1.61011917319389,288.42200203076635,340.6740339064911
202,1733,10.20023756678346,-1.6539315044673422,597.0014485453283,768.4886309332992
211,505,9.672316832144123,-1.285241758796917,822.9852822315194,1169.4493617315736
264,66,8.872716880636437,-1.173032030987129,479.00489304353505,571.7524368865213
351,34,9.367468908743458,-1.4088470663017718,456.4497674650367,440.1908100996703
361,72,9.344909235531519,-1.38637865578901,469.96320737856104,482.20587023668344
475,49,10.246919725018458,-1.6986491008427675,564.3279912241698,574.8065888133597
631,476,9.763527148430615,-1.4084782356741021,678.8404752002555,739.6463505363477
801,211,9.859159071527849,-1.8078918038428813,297.7738644330784,430.4929435479529
805,570,10.039197141126913,-1.6901727645680544,467.51457693299574,643.2386134550325
807,350,9.693886179998666,-1.916395454426107,196.61009894128662,266.7623223195691
815,148,9.58386243901772,-1.699779866116594,290.02718440830233,392.15655919587255
818,328,10.034287068398465,-1.7075404606942588,446.9871548823952,740.1410539021207
821,30,8.36171420499101,-1.2506148150323537,240.3430252595791,249.83835922677093
839,197,9.999083498409018,-1.8907226243759119,283.02458553008455,469.2142638834711
981,94,10.107937775420726,-1.8957335924521501,311.95216699801165,392.47772957779074
