variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.68170618875,0.06084178415036165,5.560069,5.7999902500000005
b_ln_qmd_centered,-1.6487599875,0.017358142090585282,-1.683772,-1.614749
sd_SPCD__Intercept,0.44099891725,0.04693621007700719,0.359771675,0.544257525
sd_SPCD__ln_qmd_centered,0.0672992014125,0.016775543666504675,0.038584557500000005,0.10458582499999998
cor_SPCD__Intercept__ln_qmd_centered,0.262377627726025,0.2449104393242686,-0.239588375,0.6984417749999998
sigma,0.205579685125,0.002405469478377383,0.20088482500000002,0.210398025
Intercept,5.81708599375,0.06063090524308775,5.696514249999999,5.93468275
"r_SPCD[15,Intercept]",0.421440187625,0.061664355595834726,0.302515425,0.5436738749999999
"r_SPCD[17,Intercept]",0.2627553680543,0.1504839056264921,-0.03524928249999999,0.5519771249999998
"r_SPCD[20,Intercept]",0.519741227125,0.06377083728402057,0.39592625,0.6462552
"r_SPCD[21,Intercept]",0.55589991275,0.07479631541936191,0.40685192500000006,0.7033024499999999
"r_SPCD[41,Intercept]",0.6291269105,0.10857200374315466,0.416513775,0.83951405
"r_SPCD[52,Intercept]",-0.494259593964875,0.19469182094501603,-0.8814068,-0.11731632500000154
"r_SPCD[55,Intercept]",-0.8323762001375,0.19597633079081217,-1.2123304999999998,-0.45183862500000005
"r_SPCD[62,Intercept]",-0.44936672175,0.0795484585928124,-0.605095375,-0.2926935500000001
"r_SPCD[64,Intercept]",-0.370715074375,0.06596322281407152,-0.49872550000000004,-0.23853920000000003
"r_SPCD[65,Intercept]",-0.082274550683914,0.0912391805998371,-0.25820302500000003,0.09934111249999998
"r_SPCD[81,Intercept]",0.437872294375,0.06258932895057893,0.314587525,0.56162355
"r_SPCD[98,Intercept]",0.50565866890625,0.129164652430355,0.25510645,0.7601140499999999
"r_SPCD[101,Intercept]",-0.167186253193,0.07769854103103598,-0.3156395,-0.010587132000000228
"r_SPCD[103,Intercept]",-0.25258614703325,0.10723113311496671,-0.460083625,-0.038851095
"r_SPCD[104,Intercept]",0.05443637550335125,0.10530472193749109,-0.1478744,0.261581375
"r_SPCD[108,Intercept]",0.312432679075,0.06342460071591378,0.189776425,0.43833164999999996
"r_SPCD[109,Intercept]",-0.400939054524375,0.1288249525462316,-0.656522875,-0.14730630000000033
"r_SPCD[113,Intercept]",-0.09102662599041625,0.13350359224400318,-0.35311539999999997,0.17082462499999992
"r_SPCD[116,Intercept]",0.027703110682775,0.06235685255818335,-0.09205643999999999,0.15229194999999998
"r_SPCD[117,Intercept]",0.2532046165975,0.06818414641036669,0.12091655000000001,0.3885061
"r_SPCD[119,Intercept]",0.0737503213296125,0.07630468004494838,-0.07414093749999999,0.22412657499999988
"r_SPCD[120,Intercept]",0.2646495431037,0.13494139306272115,5.675614500000013e-4,0.534304875
"r_SPCD[122,Intercept]",0.09170129772018625,0.0615996705610811,-0.02873998,0.21476732499999993
"r_SPCD[124,Intercept]",0.210483088680425,0.19059486229163325,-0.16119184999999997,0.5977499999999999
"r_SPCD[127,Intercept]",-0.4985791595,0.07499444909816161,-0.6468744,-0.3505546
"r_SPCD[133,Intercept]",-0.31985230185,0.06464917134260094,-0.44613620000000004,-0.19045197500000002
"r_SPCD[142,Intercept]",0.21207978319075,0.13231207296237912,-0.04888288749999997,0.466813625
"r_SPCD[201,Intercept]",-0.23720730467715,0.12957236857121623,-0.49139395,0.014970084999999831
"r_SPCD[202,Intercept]",0.44473796775,0.06137305983956005,0.324844525,0.5668167249999999
"r_SPCD[211,Intercept]",0.75340778375,0.06281227357235329,0.6317626000000001,0.8792723250000001
"r_SPCD[212,Intercept]",0.520800630615,0.19413953776567422,0.14462782500000004,0.9035178749999999
"r_SPCD[263,Intercept]",0.178690936837125,0.1496752828478225,-0.11751702499999998,0.46608894999999995
"r_SPCD[264,Intercept]",0.3556907543875,0.07296891201992889,0.21353745,0.5036423
"r_SPCD[312,Intercept]",0.0193931179864,0.1095631282236879,-0.19326122499999998,0.23901255
"r_SPCD[333,Intercept]",-0.495848255375,0.0955079847013582,-0.68749925,-0.3108462500000005
"r_SPCD[351,Intercept]",0.0886150531684375,0.08223743392149191,-0.07022105749999998,0.25186029999999987
"r_SPCD[352,Intercept]",-0.5400710944375,0.11286167669655087,-0.76337855,-0.32206552500000013
"r_SPCD[361,Intercept]",0.24391520765375,0.07264699055127459,0.103744325,0.38668664999999997
"r_SPCD[431,Intercept]",0.563545234825,0.13092303056963595,0.31079720000000005,0.821878025
"r_SPCD[475,Intercept]",0.08171916703565,0.07710221361794871,-0.0682709025,0.23179312499999996
"r_SPCD[510,Intercept]",0.25415900627625,0.1899915738010248,-0.11514707499999999,0.6276025499999999
"r_SPCD[631,Intercept]",0.56180274925,0.06322459548278953,0.43969165,0.687840475
"r_SPCD[746,Intercept]",0.23466290737175,0.1384232867034682,-0.0363167975,0.5066800749999998
"r_SPCD[747,Intercept]",0.17525734588775,0.12718165733818396,-0.07286893499999998,0.425125125
"r_SPCD[748,Intercept]",-0.1904965592210525,0.12642545335190378,-0.436188775,0.05770746749999989
"r_SPCD[756,Intercept]",-1.01099923525,0.12760985999708238,-1.261193,-0.7574271500000002
"r_SPCD[801,Intercept]",-0.250606762025,0.06466203455304365,-0.377722575,-0.12146650000000019
"r_SPCD[805,Intercept]",0.17110102877,0.06354087307518928,0.04801582000000001,0.296845125
"r_SPCD[807,Intercept]",-0.737732022875,0.0636993331121427,-0.8612059249999999,-0.6105246
"r_SPCD[811,Intercept]",-1.019136327875,0.21196993900370525,-1.4410155,-0.6076894750000001
"r_SPCD[815,Intercept]",-0.219924510483125,0.0684568033182736,-0.35255165,-0.08252399000000006
"r_SPCD[818,Intercept]",0.00974603765239875,0.06401437385805447,-0.11430737500000002,0.13814857499999997
"r_SPCD[821,Intercept]",-0.433875417975,0.08221061054793193,-0.5955087250000001,-0.2672515
"r_SPCD[839,Intercept]",-0.224360289011125,0.07013189744612307,-0.36064887500000004,-0.08259066750000013
"r_SPCD[981,Intercept]",-0.081135244999975,0.07048358707546083,-0.22061555,0.05468066249999982
