variable,estimate
b_Intercept,-0.535821
b_DBH_std,-0.0124645
b_IDBH_stdE2,0.01895885
b_BA_std,-0.173754
b_BAL_std,-0.22967949999999998
b_CR_std,-1.48359
b_SI_std,-0.0062821349999999995
sd_SPCD__Intercept,0.6322885
sigma,2.216235
Intercept,-0.510114
"r_SPCD[12,Intercept]",1.14866
"r_SPCD[68,Intercept]",0.919273
"r_SPCD[71,Intercept]",0.45550999999999997
"r_SPCD[91,Intercept]",0.0988458
"r_SPCD[94,Intercept]",0.7185515
"r_SPCD[95,Intercept]",0.2307015
"r_SPCD[96,Intercept]",0.5653165
"r_SPCD[105,Intercept]",-0.6110835
"r_SPCD[125,Intercept]",-0.2237135
"r_SPCD[129,Intercept]",0.590188
"r_SPCD[130,Intercept]",-0.6182755
"r_SPCD[136,Intercept]",-0.22573300000000002
"r_SPCD[241,Intercept]",1.017175
"r_SPCD[261,Intercept]",1.2222
"r_SPCD[313,Intercept]",-0.07397245
"r_SPCD[314,Intercept]",0.0862197
"r_SPCD[315,Intercept]",-0.04032785
"r_SPCD[316,Intercept]",0.12981199999999998
"r_SPCD[317,Intercept]",-0.07798495
"r_SPCD[318,Intercept]",0.330119
"r_SPCD[319,Intercept]",-0.8257335
"r_SPCD[356,Intercept]",-0.202609
"r_SPCD[371,Intercept]",0.31211449999999996
"r_SPCD[373,Intercept]",0.1071195
"r_SPCD[375,Intercept]",-0.039102750000000006
"r_SPCD[391,Intercept]",0.613354
"r_SPCD[402,Intercept]",-0.198341
"r_SPCD[403,Intercept]",0.2191265
"r_SPCD[407,Intercept]",-0.107735
"r_SPCD[462,Intercept]",0.2285525
"r_SPCD[500,Intercept]",0.02941235
"r_SPCD[531,Intercept]",0.633964
"r_SPCD[541,Intercept]",-0.29051899999999997
"r_SPCD[543,Intercept]",-0.2127845
"r_SPCD[544,Intercept]",-0.1358405
"r_SPCD[601,Intercept]",-0.23105150000000002
"r_SPCD[602,Intercept]",0.191042
"r_SPCD[621,Intercept]",-0.2166635
"r_SPCD[660,Intercept]",0.25016700000000003
"r_SPCD[681,Intercept]",-0.021774599999999998
"r_SPCD[682,Intercept]",-0.265613
"r_SPCD[693,Intercept]",-0.006917845000000001
"r_SPCD[701,Intercept]",1.055815
"r_SPCD[740,Intercept]",-0.375404
"r_SPCD[741,Intercept]",-0.817083
"r_SPCD[742,Intercept]",-0.6043855
"r_SPCD[743,Intercept]",-0.81861950000000006
"r_SPCD[746,Intercept]",-0.831113
"r_SPCD[761,Intercept]",-0.6972855
"r_SPCD[762,Intercept]",-0.324785
"r_SPCD[763,Intercept]",-0.26793
"r_SPCD[766,Intercept]",-0.31337349999999997
"r_SPCD[802,Intercept]",0.04167335
"r_SPCD[804,Intercept]",-0.125039
"r_SPCD[809,Intercept]",0.409792
"r_SPCD[823,Intercept]",0.5648705
"r_SPCD[830,Intercept]",-0.09246895
"r_SPCD[833,Intercept]",0.2827145
"r_SPCD[837,Intercept]",-0.28161899999999995
"r_SPCD[901,Intercept]",-0.6175740000000001
"r_SPCD[920,Intercept]",-0.163055
"r_SPCD[921,Intercept]",-0.247011
"r_SPCD[922,Intercept]",0.2368815
"r_SPCD[923,Intercept]",-0.151073
"r_SPCD[931,Intercept]",-0.449465
"r_SPCD[935,Intercept]",0.379085
"r_SPCD[951,Intercept]",-0.033172599999999997
"r_SPCD[972,Intercept]",-0.1218455
"r_SPCD[974,Intercept]",0.10875950000000001
"r_SPCD[975,Intercept]",-0.9506570000000001
"r_SPCD[977,Intercept]",0.002215205
lprior,-4.88406
lp__,-33327.4
