variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,-0.4316045,-0.46815829999999997,-0.3932851,1.0159345580954275,252.79092433207623
b_CR_t1_std,0.3566405,0.35093979999999997,0.36245805000000003,0.9999301090205284,8110.149834371569
b_DBH_std,-0.00975009,-0.02541996,0.005140961999999996,1.0032154126166875,1547.4835289088555
b_IDBH_stdE2,0.0081849,0.005388594500000001,0.01107446,1.0009852552453402,4495.761182475941
b_BA_std,-0.038119650000000005,-0.046435699999999996,-0.029658475000000004,1.0001751747336536,4058.866358439096
b_BAL_std,-0.04268845,-0.051868755,-0.03312078000000001,1.0004675902194935,3677.4326768425144
b_SI_std,0.00292647,-0.0034231439999999995,0.0089199825,1.0011274139339457,5374.939577400744
b_relDBH_std,0.00928746,-7.435380999999995e-4,0.019284754999999994,0.9995302514162476,4216.069187523846
sd_SPCD_grouped__Intercept,0.144048,0.11876279999999999,0.17743989999999998,1.0037430435791783,600.2224384937026
sd_SPCD_grouped__DBH_std,0.0352213,0.026120595,0.04816719,1.0025675089900055,1275.2518482296534
cor_SPCD_grouped__Intercept__DBH_std,0.2850695,-0.056150055,0.5596309,1.001349928834484,1195.0766783053587
phi,15.11435,14.908395,15.318145,1.002102154726006,5162.630759297006
Intercept,-0.42446,-0.4611352,-0.38598055000000003,1.0159318772750476,250.959484842193
"r_SPCD_grouped[OTHER,Intercept]",-0.04988905,-0.12513275000000001,0.023343089999999938,1.0039504600489175,1005.1268072380284
"r_SPCD_grouped[12,Intercept]",0.272635,0.22687205,0.31826789999999994,1.0146333266224163,332.0136712765392
"r_SPCD_grouped[68,Intercept]",0.206739,0.08981681,0.3285852499999999,1.0028330986764173,3032.98951437171
"r_SPCD_grouped[71,Intercept]",0.10367,0.05409354499999999,0.1501050999999999,1.0079927209925983,422.83107101671976
"r_SPCD_grouped[94,Intercept]",0.174016,0.1232299,0.2249796,1.0074535650469154,484.6215946158824
"r_SPCD_grouped[95,Intercept]",0.09768194999999999,0.05355454000000001,0.14267474999999996,1.0138962389062152,354.631661832312
"r_SPCD_grouped[105,Intercept]",-0.114632,-0.16496605,-0.06601680000000001,1.0104688366114782,449.04683705533563
