variable,estimate
lp__,-1411.57
mu_b0,0.852072
sigma_b0,1.0568
z_b0[1],-0.230914
z_b0[2],-0.295593
z_b0[3],-0.582683
z_b0[4],0.141033
z_b0[5],-0.261461
z_b0[6],-0.662444
z_b0[7],0.0182771
z_b0[8],-0.191206
z_b0[9],-0.00676027
z_b0[10],0.153353
z_b0[11],0.345506
z_b0[12],0.206519
z_b0[13],-0.464089
z_b0[14],-0.0724627
z_b0[15],0.00446277
z_b0[16],0.107385
z_b0[17],-0.0427877
z_b0[18],0.166905
z_b0[19],-0.235076
z_b0[20],-0.115971
z_b0[21],-0.685933
z_b0[22],-0.218763
z_b0[23],0.133529
z_b0[24],-0.306005
z_b0[25],-0.0961005
z_b0[26],0.360061
z_b0[27],0.00558634
z_b0[28],-0.0542996
z_b0[29],0.663938
z_b0[30],-0.265707
z_b0[31],-0.264349
z_b0[32],0.183611
z_b0[33],-0.206538
z_b0[34],-0.0186697
z_b0[35],0.00409993
z_b0[36],0.535218
z_b0[37],0.0606704
z_b0[38],-0.32381
z_b0[39],0.312555
z_b0[40],0.125152
z_b0[41],0.0659972
z_b0[42],-0.436801
z_b0[43],0.26255
z_b0[44],-0.184509
z_b0[45],0.783528
z_b0[46],0.38772
z_b0[47],0.276081
z_b0[48],-0.146633
z_b0[49],-0.0587986
z_b0[50],-0.492111
z_b0[51],-0.248158
z_b0[52],-0.00245304
z_b0[53],0.116461
z_b0[54],-0.293041
z_b0[55],0.19259
z_b0[56],0.295012
z_b0[57],-0.109302
z_b0[58],0.0560395
z_b0[59],0.169197
z_b0[60],0.25865
z_b0[61],0.351243
z_b0[62],0.143541
z_b0[63],0.0817466
z_b0[64],0.0158841
z_b0[65],-0.151544
z_b0[66],0.264619
z_b0[67],0.131571
z_b0[68],0.379814
z_b0[69],-0.0127737
b1,0.921784
b2,-0.0913806
b3,0.0898122
b4,-0.0209818
b5,0.00156434
b6,-0.0075788
b7,-0.0112162
b8,-0.00450926
b9,-0.00682963
b10,0.0220681
b11,-4.83759e-5
b12,-0.193346
b13,0.0569928
sigma,0.697903
b0[1],0.608042
b0[2],0.539689
b0[3],0.236291
b0[4],1.00112
b0[5],0.575759
b0[6],0.152
b0[7],0.871388
b0[8],0.650006
b0[9],0.844928
b0[10],1.01414
b0[11],1.2172
b0[12],1.07032
b0[13],0.361622
b0[14],0.775494
b0[15],0.856789
b0[16],0.965557
b0[17],0.806854
b0[18],1.02846
b0[19],0.603643
b0[20],0.729514
b0[21],0.127176
b0[22],0.620883
b0[23],0.993186
b0[24],0.528685
b0[25],0.750513
b0[26],1.23259
b0[27],0.857976
b0[28],0.794688
b0[29],1.55372
b0[30],0.571272
b0[31],0.572707
b0[32],1.04611
b0[33],0.633802
b0[34],0.832342
b0[35],0.856405
b0[36],1.41769
b0[37],0.916189
b0[38],0.509869
b0[39],1.18238
b0[40],0.984334
b0[41],0.921819
b0[42],0.39046
b0[43],1.12954
b0[44],0.657082
b0[45],1.68011
b0[46],1.26182
b0[47],1.14384
b0[48],0.69711
b0[49],0.789934
b0[50],0.332008
b0[51],0.589818
b0[52],0.84948
b0[53],0.975149
b0[54],0.542386
b0[55],1.0556
b0[56],1.16384
b0[57],0.736562
b0[58],0.911295
b0[59],1.03088
b0[60],1.12541
b0[61],1.22327
b0[62],1.00377
b0[63],0.938463
b0[64],0.868859
b0[65],0.69192
b0[66],1.13172
b0[67],0.991117
b0[68],1.25346
b0[69],0.838573
ln_DDS_rep[1],3.21033
ln_DDS_rep[2],2.19765
ln_DDS_rep[3],2.84121
ln_DDS_rep[4],1.10901
ln_DDS_rep[5],1.7578
ln_DDS_rep[6],2.13271
ln_DDS_rep[7],1.34739
ln_DDS_rep[8],0.974922
ln_DDS_rep[9],2.87346
ln_DDS_rep[10],1.26405
ln_DDS_rep[11],2.20982
ln_DDS_rep[12],1.97409
ln_DDS_rep[13],2.54179
ln_DDS_rep[14],2.83312
ln_DDS_rep[15],1.04621
ln_DDS_rep[16],0.43274
ln_DDS_rep[17],2.00187
ln_DDS_rep[18],2.0591
ln_DDS_rep[19],0.412922
ln_DDS_rep[20],1.14714
ln_DDS_rep[21],-1.96083
ln_DDS_rep[22],1.9562
ln_DDS_rep[23],1.6492
ln_DDS_rep[24],1.47217
ln_DDS_rep[25],2.69258
ln_DDS_rep[26],-1.68334
ln_DDS_rep[27],1.87615
ln_DDS_rep[28],2.71985
ln_DDS_rep[29],3.29024
ln_DDS_rep[30],3.03309
ln_DDS_rep[31],2.38046
ln_DDS_rep[32],1.51557
ln_DDS_rep[33],1.61929
ln_DDS_rep[34],3.76038
ln_DDS_rep[35],2.15426
ln_DDS_rep[36],-0.0146892
ln_DDS_rep[37],0.126772
ln_DDS_rep[38],4.22661
ln_DDS_rep[39],1.28591
ln_DDS_rep[40],1.03532
ln_DDS_rep[41],1.73149
ln_DDS_rep[42],0.662002
ln_DDS_rep[43],2.69237
ln_DDS_rep[44],3.09834
ln_DDS_rep[45],3.66623
ln_DDS_rep[46],0.616947
ln_DDS_rep[47],2.89481
ln_DDS_rep[48],1.58474
ln_DDS_rep[49],0.979601
ln_DDS_rep[50],1.04122
ln_DDS_rep[51],1.2821
ln_DDS_rep[52],1.09702
ln_DDS_rep[53],2.3511
ln_DDS_rep[54],0.157089
ln_DDS_rep[55],1.93302
ln_DDS_rep[56],-0.19116
ln_DDS_rep[57],-0.473955
ln_DDS_rep[58],1.46411
ln_DDS_rep[59],1.47424
ln_DDS_rep[60],1.0519
ln_DDS_rep[61],2.76497
ln_DDS_rep[62],2.77738
ln_DDS_rep[63],1.1373
ln_DDS_rep[64],2.82056
ln_DDS_rep[65],2.89969
ln_DDS_rep[66],1.93406
ln_DDS_rep[67],0.304323
ln_DDS_rep[68],2.06777
ln_DDS_rep[69],0.228625
ln_DDS_rep[70],2.83726
ln_DDS_rep[71],1.03072
ln_DDS_rep[72],2.52512
ln_DDS_rep[73],-1.19827
ln_DDS_rep[74],3.41364
ln_DDS_rep[75],1.65948
ln_DDS_rep[76],2.22234
ln_DDS_rep[77],3.5078
ln_DDS_rep[78],3.27454
ln_DDS_rep[79],2.05278
ln_DDS_rep[80],1.13163
ln_DDS_rep[81],1.81268
ln_DDS_rep[82],1.69041
ln_DDS_rep[83],0.71313
ln_DDS_rep[84],1.20686
ln_DDS_rep[85],1.12215
ln_DDS_rep[86],0.806139
ln_DDS_rep[87],2.01339
ln_DDS_rep[88],3.05708
ln_DDS_rep[89],2.1279
ln_DDS_rep[90],1.81109
ln_DDS_rep[91],0.441554
ln_DDS_rep[92],2.91683
ln_DDS_rep[93],2.63749
ln_DDS_rep[94],-1.30474
ln_DDS_rep[95],2.09063
ln_DDS_rep[96],1.72
ln_DDS_rep[97],2.84092
ln_DDS_rep[98],1.04074
ln_DDS_rep[99],-0.505536
ln_DDS_rep[100],3.08526
ln_DDS_rep[101],1.83206
ln_DDS_rep[102],2.55462
ln_DDS_rep[103],1.34513
ln_DDS_rep[104],1.20291
ln_DDS_rep[105],2.09203
ln_DDS_rep[106],2.61131
ln_DDS_rep[107],1.66052
ln_DDS_rep[108],2.31297
ln_DDS_rep[109],1.77975
ln_DDS_rep[110],1.3562
ln_DDS_rep[111],2.73606
ln_DDS_rep[112],1.57811
ln_DDS_rep[113],1.171
ln_DDS_rep[114],1.91107
ln_DDS_rep[115],-0.40405
ln_DDS_rep[116],1.86948
ln_DDS_rep[117],3.73314
ln_DDS_rep[118],0.870164
ln_DDS_rep[119],2.82921
ln_DDS_rep[120],-1.36645
ln_DDS_rep[121],2.0782
ln_DDS_rep[122],-0.488771
ln_DDS_rep[123],2.2097
ln_DDS_rep[124],1.97879
ln_DDS_rep[125],1.42418
ln_DDS_rep[126],-1.00638
ln_DDS_rep[127],-1.11114
ln_DDS_rep[128],2.42228
ln_DDS_rep[129],0.71082
ln_DDS_rep[130],3.72804
ln_DDS_rep[131],0.916507
ln_DDS_rep[132],2.67019
ln_DDS_rep[133],1.13075
ln_DDS_rep[134],1.09784
ln_DDS_rep[135],0.542946
ln_DDS_rep[136],2.11934
ln_DDS_rep[137],3.24613
ln_DDS_rep[138],1.74975
ln_DDS_rep[139],1.73699
ln_DDS_rep[140],2.64556
ln_DDS_rep[141],0.825305
ln_DDS_rep[142],0.790136
ln_DDS_rep[143],1.84351
ln_DDS_rep[144],2.67551
ln_DDS_rep[145],1.13101
ln_DDS_rep[146],0.540575
ln_DDS_rep[147],1.96046
ln_DDS_rep[148],2.34918
ln_DDS_rep[149],1.61569
ln_DDS_rep[150],3.81551
ln_DDS_rep[151],1.13597
ln_DDS_rep[152],2.99249
ln_DDS_rep[153],1.01497
ln_DDS_rep[154],2.59084
ln_DDS_rep[155],2.30299
ln_DDS_rep[156],2.1089
ln_DDS_rep[157],2.95432
ln_DDS_rep[158],2.37948
ln_DDS_rep[159],0.746039
ln_DDS_rep[160],1.69004
ln_DDS_rep[161],0.249639
ln_DDS_rep[162],2.17495
ln_DDS_rep[163],2.39861
ln_DDS_rep[164],2.8342
ln_DDS_rep[165],1.90969
ln_DDS_rep[166],0.965943
ln_DDS_rep[167],2.14186
ln_DDS_rep[168],0.807967
ln_DDS_rep[169],2.41488
ln_DDS_rep[170],0.96985
ln_DDS_rep[171],1.77213
ln_DDS_rep[172],2.14345
ln_DDS_rep[173],1.37525
ln_DDS_rep[174],1.25461
ln_DDS_rep[175],-1.87669
ln_DDS_rep[176],1.68928
ln_DDS_rep[177],1.41241
ln_DDS_rep[178],-1.6543
ln_DDS_rep[179],2.7117
ln_DDS_rep[180],2.36056
ln_DDS_rep[181],1.95673
ln_DDS_rep[182],1.5656
ln_DDS_rep[183],1.25878
ln_DDS_rep[184],3.06399
ln_DDS_rep[185],1.51805
ln_DDS_rep[186],2.21386
ln_DDS_rep[187],0.0562395
ln_DDS_rep[188],0.520347
ln_DDS_rep[189],1.54398
ln_DDS_rep[190],2.98629
ln_DDS_rep[191],3.77533
ln_DDS_rep[192],3.44547
ln_DDS_rep[193],1.63365
ln_DDS_rep[194],0.0771947
ln_DDS_rep[195],1.72503
ln_DDS_rep[196],2.41833
ln_DDS_rep[197],2.9716
ln_DDS_rep[198],2.74302
ln_DDS_rep[199],-0.413168
ln_DDS_rep[200],-1.35449
ln_DDS_rep[201],0.582295
ln_DDS_rep[202],0.280974
ln_DDS_rep[203],1.13071
ln_DDS_rep[204],0.850357
ln_DDS_rep[205],0.503857
ln_DDS_rep[206],-0.842022
ln_DDS_rep[207],-0.648645
ln_DDS_rep[208],1.69433
ln_DDS_rep[209],0.79599
ln_DDS_rep[210],0.96306
ln_DDS_rep[211],2.03356
ln_DDS_rep[212],1.72251
ln_DDS_rep[213],1.6918
ln_DDS_rep[214],-0.773372
ln_DDS_rep[215],1.61117
ln_DDS_rep[216],-0.781341
ln_DDS_rep[217],1.84182
ln_DDS_rep[218],0.151771
ln_DDS_rep[219],2.7588
ln_DDS_rep[220],2.95293
ln_DDS_rep[221],0.965338
ln_DDS_rep[222],2.35326
ln_DDS_rep[223],-0.931399
ln_DDS_rep[224],1.4594
ln_DDS_rep[225],-0.11929
ln_DDS_rep[226],1.64427
ln_DDS_rep[227],2.50308
ln_DDS_rep[228],1.17519
ln_DDS_rep[229],2.0422
ln_DDS_rep[230],2.02317
ln_DDS_rep[231],1.18476
ln_DDS_rep[232],2.21825
ln_DDS_rep[233],-0.129867
ln_DDS_rep[234],0.346362
ln_DDS_rep[235],2.59571
ln_DDS_rep[236],1.73467
ln_DDS_rep[237],1.40013
ln_DDS_rep[238],1.36724
ln_DDS_rep[239],0.559467
ln_DDS_rep[240],1.65581
ln_DDS_rep[241],2.19681
ln_DDS_rep[242],1.35828
ln_DDS_rep[243],1.47393
ln_DDS_rep[244],1.12981
ln_DDS_rep[245],2.56698
ln_DDS_rep[246],2.66862
ln_DDS_rep[247],2.60965
ln_DDS_rep[248],3.04682
ln_DDS_rep[249],1.88611
ln_DDS_rep[250],3.07128
ln_DDS_rep[251],2.69226
ln_DDS_rep[252],1.22322
ln_DDS_rep[253],2.25244
ln_DDS_rep[254],2.77098
ln_DDS_rep[255],0.468356
ln_DDS_rep[256],1.84912
ln_DDS_rep[257],1.24812
ln_DDS_rep[258],0.878246
ln_DDS_rep[259],0.789882
ln_DDS_rep[260],3.68587
ln_DDS_rep[261],3.41607
ln_DDS_rep[262],1.51617
ln_DDS_rep[263],-0.263071
ln_DDS_rep[264],1.56558
ln_DDS_rep[265],1.72199
ln_DDS_rep[266],2.90159
ln_DDS_rep[267],2.21491
ln_DDS_rep[268],-0.385359
ln_DDS_rep[269],1.64566
ln_DDS_rep[270],-0.140283
ln_DDS_rep[271],3.04813
ln_DDS_rep[272],-0.341446
ln_DDS_rep[273],1.34839
ln_DDS_rep[274],2.88387
ln_DDS_rep[275],-2.07832
ln_DDS_rep[276],1.96412
ln_DDS_rep[277],0.414505
ln_DDS_rep[278],1.61908
ln_DDS_rep[279],0.737762
ln_DDS_rep[280],1.74009
ln_DDS_rep[281],3.4038
ln_DDS_rep[282],1.6003
ln_DDS_rep[283],1.90242
ln_DDS_rep[284],1.74664
ln_DDS_rep[285],1.76901
ln_DDS_rep[286],-0.972098
ln_DDS_rep[287],2.467
ln_DDS_rep[288],2.92082
ln_DDS_rep[289],2.78475
ln_DDS_rep[290],1.42368
ln_DDS_rep[291],2.07081
ln_DDS_rep[292],1.42236
ln_DDS_rep[293],-0.423777
ln_DDS_rep[294],1.13205
ln_DDS_rep[295],1.04274
ln_DDS_rep[296],1.36705
ln_DDS_rep[297],1.99525
ln_DDS_rep[298],0.395128
ln_DDS_rep[299],1.8805
ln_DDS_rep[300],0.863555
ln_DDS_rep[301],1.37723
ln_DDS_rep[302],3.11862
ln_DDS_rep[303],2.26454
ln_DDS_rep[304],0.718705
ln_DDS_rep[305],1.72212
ln_DDS_rep[306],2.02333
ln_DDS_rep[307],0.818084
ln_DDS_rep[308],1.32574
ln_DDS_rep[309],1.52996
ln_DDS_rep[310],2.16988
ln_DDS_rep[311],0.753162
ln_DDS_rep[312],-0.612158
ln_DDS_rep[313],1.0125
ln_DDS_rep[314],2.65989
ln_DDS_rep[315],-0.496797
ln_DDS_rep[316],1.41074
ln_DDS_rep[317],1.16992
ln_DDS_rep[318],2.47982
ln_DDS_rep[319],1.73682
ln_DDS_rep[320],0.267897
ln_DDS_rep[321],4.00071
