variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-11618.349999999999,-13680.84,-11062.59,NA,NA,2618.25,NA
lp_approx__,-42.244200000000006,-54.055525,-32.414300000000004,NA,NA,21.641225,NA
mu_b0,0.8385795,0.68820685,0.98531845,NA,NA,0.2971115999999999,NA
sigma_b0,0.21821649999999998,0.18719655,0.25333429999999996,NA,NA,0.06613774999999997,NA
z_b0[1],-0.343219,-1.0422465,0.3284525499999995,NA,NA,1.3706990499999996,NA
z_b0[2],-0.41597,-1.7795775,0.9448669999999995,NA,NA,2.7244444999999997,NA
z_b0[3],-1.664425,-2.4025339999999997,-0.9401777000000002,NA,NA,1.4623562999999995,NA
z_b0[4],0.26735549999999997,-1.3080055000000002,1.8389234999999984,NA,NA,3.1469289999999983,NA
z_b0[5],-0.4977905,-1.3480305000000001,0.3135504,NA,NA,1.6615809000000001,NA
z_b0[6],-2.08293,-2.760824,-1.4049350000000005,NA,NA,1.3558889999999995,NA
z_b0[7],0.0233938,-1.625239,1.6799985,NA,NA,3.3052375,NA
z_b0[8],-0.3978505,-1.0744455,0.29242795,NA,NA,1.36687345,NA
z_b0[9],0.3429635,-0.23425079999999998,0.9353214999999999,NA,NA,1.1695723,NA
z_b0[10],0.9707140000000001,0.26863355,1.7006594999999995,NA,NA,1.4320259499999994,NA
z_b0[11],0.770674,-0.48221634999999996,1.9495215,NA,NA,2.4317378499999998,NA
z_b0[12],0.4407,-1.1655354999999998,2.030582,NA,NA,3.1961174999999997,NA
z_b0[13],-1.1539899999999998,-1.7654925,-0.5258167500000004,NA,NA,1.2396757499999995,NA
z_b0[14],0.1637615,-0.7202328,1.0062274999999998,NA,NA,1.7264602999999998,NA
z_b0[15],0.3160465,-0.6173399,1.2736929999999993,NA,NA,1.8910328999999995,NA
z_b0[16],0.15618900000000002,-1.4943674999999998,1.8352289999999991,NA,NA,3.329596499999999,NA
z_b0[17],0.20201049999999998,-0.3081255,0.7212636499999999,NA,NA,1.0293891499999999,NA
z_b0[18],0.6715975000000001,-0.29056244999999997,1.6859449999999994,NA,NA,1.9765074499999993,NA
z_b0[19],-0.712812,-1.2326799999999998,-0.16315500000000002,NA,NA,1.0695249999999998,NA
z_b0[20],-0.08052390000000001,-1.3828905000000002,1.2492049999999997,NA,NA,2.6320955,NA
z_b0[21],-1.23096,-2.5268305000000004,0.09425083499999984,NA,NA,2.6210813350000004,NA
