variable,estimate
b_Intercept,4.736924999999999
b_DBH_std,-1.685405
b_IDBH_stdE2,0.2599315
b_BAL_std,-3.96569
b_CR_std,0.5740875
b_SI_std,0.1266435
b_BA_std,3.5278400000000003
sd_SPCD__Intercept,1.165105
Intercept,4.97047
"r_SPCD[12,Intercept]",-1.388935
"r_SPCD[68,Intercept]",0.5222145
"r_SPCD[71,Intercept]",-2.42902
"r_SPCD[91,Intercept]",0.2122725
"r_SPCD[94,Intercept]",0.1333755
"r_SPCD[95,Intercept]",-1.21292
"r_SPCD[96,Intercept]",0.0707847
"r_SPCD[105,Intercept]",-1.0005600000000001
"r_SPCD[125,Intercept]",2.03173
"r_SPCD[129,Intercept]",1.16806
"r_SPCD[130,Intercept]",0.20700649999999998
"r_SPCD[136,Intercept]",0.060231099999999996
"r_SPCD[241,Intercept]",1.5353050000000001
"r_SPCD[261,Intercept]",1.59397
"r_SPCD[313,Intercept]",0.6639165
"r_SPCD[314,Intercept]",-0.7585105000000001
"r_SPCD[315,Intercept]",0.153194
"r_SPCD[316,Intercept]",0.8106089999999999
"r_SPCD[317,Intercept]",0.8849165
"r_SPCD[318,Intercept]",1.2886199999999999
"r_SPCD[319,Intercept]",-0.15419300000000002
"r_SPCD[356,Intercept]",-0.10226750000000001
"r_SPCD[371,Intercept]",1.2480250000000002
"r_SPCD[373,Intercept]",0.0211743
"r_SPCD[375,Intercept]",-1.18397
"r_SPCD[391,Intercept]",-0.3276755
"r_SPCD[402,Intercept]",-0.07674425
"r_SPCD[403,Intercept]",0.234353
"r_SPCD[407,Intercept]",0.054786749999999995
"r_SPCD[462,Intercept]",0.633736
"r_SPCD[500,Intercept]",-1.25684
"r_SPCD[531,Intercept]",0.329294
"r_SPCD[541,Intercept]",-0.947481
"r_SPCD[543,Intercept]",-0.18739499999999998
"r_SPCD[544,Intercept]",-1.108365
"r_SPCD[601,Intercept]",-0.20573000000000002
"r_SPCD[602,Intercept]",0.346868
"r_SPCD[621,Intercept]",0.04300735
"r_SPCD[660,Intercept]",0.17265999999999998
"r_SPCD[681,Intercept]",0.35135
"r_SPCD[682,Intercept]",0.204915
"r_SPCD[693,Intercept]",0.30016
"r_SPCD[701,Intercept]",-0.158767
"r_SPCD[740,Intercept]",0.0390212
"r_SPCD[741,Intercept]",-1.788985
"r_SPCD[742,Intercept]",1.11638
"r_SPCD[743,Intercept]",-0.13567649999999998
"r_SPCD[746,Intercept]",-1.091895
"r_SPCD[761,Intercept]",-1.2666
"r_SPCD[762,Intercept]",-0.1559175
"r_SPCD[763,Intercept]",-0.673049
"r_SPCD[766,Intercept]",0.03110905
"r_SPCD[802,Intercept]",0.8112745
"r_SPCD[804,Intercept]",0.33806899999999995
"r_SPCD[809,Intercept]",-0.9007235
"r_SPCD[823,Intercept]",1.494265
"r_SPCD[830,Intercept]",0.0585356
"r_SPCD[833,Intercept]",0.419411
"r_SPCD[837,Intercept]",0.2673985
"r_SPCD[901,Intercept]",-0.5131114999999999
"r_SPCD[920,Intercept]",0.016990699999999997
"r_SPCD[921,Intercept]",0.01501475
"r_SPCD[922,Intercept]",0.866765
"r_SPCD[923,Intercept]",0.011149599999999999
"r_SPCD[931,Intercept]",-0.583026
"r_SPCD[935,Intercept]",-0.01416935
"r_SPCD[951,Intercept]",0.9265110000000001
"r_SPCD[972,Intercept]",-1.4444949999999999
"r_SPCD[974,Intercept]",0.15535100000000002
"r_SPCD[975,Intercept]",-0.629607
"r_SPCD[977,Intercept]",-0.5256375
lprior,-4.9625900000000005
lp__,-1906.2150000000001
