SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
12,2702,-2.1874808466554008,-1.8411584293249998,-2.0835841214562807,2.1874808466554008,1.8411584293249998,2.0835841214562807,0.4785841214562807
70,NA,NA,-1.6577737706899112,NA,NA,1.6577737706899112,NA,NA
71,72,-2.6191285331691994,-1.6485201202802662,-2.3279460093025195,2.6191285331691994,1.6485201202802662,2.3279460093025195,0.7229460093025195
91,NA,NA,-1.6505757126219498,NA,NA,1.6505757126219498,NA,NA
94,190,-1.7098818657377204,-1.55428236553555,-1.6632020156770693,1.7098818657377204,1.55428236553555,1.6632020156770693,0.058202015677069285
95,354,-2.1643976097024478,-1.7993996247239998,-2.0548982142089134,2.1643976097024478,1.7993996247239998,2.0548982142089134,0.4498982142089134
97,1524,-1.9768154090118049,-1.7488281313351624,-1.908419225708812,1.9768154090118049,1.7488281313351624,1.908419225708812,0.30341922570881197
125,70,-1.762293443589444,-1.6279942362391937,-1.7220036813843689,1.762293443589444,1.6279942362391937,1.7220036813843689,0.1170036813843689
126,NA,NA,-1.5815853432225624,NA,NA,1.5815853432225624,NA,NA
129,1138,-1.7740391391157215,-1.6865871464450684,-1.7478035413145254,1.7740391391157215,1.6865871464450684,1.7478035413145254,0.14280354131452544
241,1510,-1.6882357848476093,-1.5826439486242498,-1.6565582339806015,1.6882357848476093,1.5826439486242498,1.6565582339806015,0.05155823398060155
261,1303,-1.6341206882175914,-1.6026109942871374,-1.6246677800384552,1.6341206882175914,1.6026109942871374,1.6246677800384552,0.019667780038455263
315,NA,NA,-1.697511651273746,NA,NA,1.697511651273746,NA,NA
316,1963,-1.9757660276958915,-1.7541542689703749,-1.9092825000782365,1.9757660276958915,1.7541542689703749,1.9092825000782365,0.30428250007823654
317,NA,NA,-1.693498058242291,NA,NA,1.693498058242291,NA,NA
318,1147,-1.8339449749860142,-1.6828802861374375,-1.7886255683314412,1.8339449749860142,1.6828802861374375,1.7886255683314412,0.18362556833144117
319,NA,NA,-1.6761389578022075,NA,NA,1.6761389578022075,NA,NA
320,NA,NA,-1.69141956854525,NA,NA,1.69141956854525,NA,NA
371,664,-1.735266820947057,-1.7136701904040124,-1.7287878317841434,1.735266820947057,1.7136701904040124,1.7287878317841434,0.12378783178414343
375,405,-1.972031125946192,-1.7833401795857748,-1.915423842038067,1.972031125946192,1.7833401795857748,1.915423842038067,0.31042384203806694
379,52,-1.6231857558305582,-1.6737338375814124,-1.6474488350709682,1.6231857558305582,1.6737338375814124,1.6474488350709682,0.042448835070968194
531,716,-1.7651554605728879,-1.6846426487132875,-1.7410016170150078,1.7651554605728879,1.6846426487132875,1.7410016170150078,0.1360016170150078
541,137,-1.4464804635980268,-1.494167053861875,-1.4607864406771813,1.4464804635980268,1.494167053861875,1.4607864406771813,-0.14421355932281865
543,38,-1.153870449314074,-1.6890032546191325,-1.4856527886032103,1.153870449314074,1.6890032546191325,1.4856527886032103,-0.11934721139678972
544,NA,NA,-1.64476076281099,NA,NA,1.64476076281099,NA,NA
660,NA,NA,-1.7356398527483,NA,NA,1.7356398527483,NA,NA
701,NA,NA,-1.5936177794064998,NA,NA,1.5936177794064998,NA,NA
741,31,-1.1223720712855814,-1.6465599777785949,-1.4840617267657605,1.1223720712855814,1.6465599777785949,1.4840617267657605,-0.12093827323423945
743,182,-1.6554746018172206,-1.6283235697680436,-1.6473292922024676,1.6554746018172206,1.6283235697680436,1.6473292922024676,0.04232929220246762
746,279,-1.7139839378754163,-1.6414962159784123,-1.6922376213063153,1.7139839378754163,1.6414962159784123,1.6922376213063153,0.0872376213063153
761,NA,NA,-1.6898302383575499,NA,NA,1.6898302383575499,NA,NA
762,NA,NA,-1.6416241953019748,NA,NA,1.6416241953019748,NA,NA
802,NA,NA,-1.6734757507490314,NA,NA,1.6734757507490314,NA,NA
833,411,-1.6991113230979986,-1.6412911613920995,-1.681765274586229,1.6991113230979986,1.6412911613920995,1.681765274586229,0.07676527458622906
837,NA,NA,-1.69543008895175,NA,NA,1.69543008895175,NA,NA
951,NA,NA,-1.6705279386617249,NA,NA,1.6705279386617249,NA,NA
