SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
12,5033,161.32908480388554,170.48689773849281,188.76217162089804,228.777701643648,92.4587996831686,170.48689773849281,NA,0.8,0.19999999999999996,170.48689773849281
68,109,119.19338909766256,124.43365139389056,131.33807803832622,140.9380242426,70.4223393296421,124.43365139389056,NA,0.8,0.19999999999999996,124.43365139389056
71,2349,125.09566290763837,134.33831933183507,155.26977293910542,226.31479306073783,69.91337523030805,134.33831933183507,NA,0.8,0.19999999999999996,134.33831933183507
91,45,171.380985686141,182.74037408485373,190.45496192949167,192.41521592133597,92.51792489065612,182.74037408485373,NA,0.45,0.55,182.74037408485373
94,1009,156.02137806109678,165.834654010632,184.6291342487595,221.983895352222,83.07786013434091,165.834654010632,NA,0.8,0.19999999999999996,165.834654010632
95,3986,142.558879044446,153.2562992169984,174.28958637572498,233.876999782836,80.27782491681751,153.2562992169984,NA,0.8,0.19999999999999996,153.2562992169984
105,3096,128.757605848983,138.4822474337484,152.8981625117965,239.7670267176,76.08652593926872,138.4822474337484,150,0.8,0.19999999999999996,140.7857979469987
125,5576,186.11961769263021,199.91921992956037,224.1334374337526,359.8650175356,103.26463395781079,199.91921992956037,240,0.8,0.19999999999999996,207.9353759436483
129,3026,180.09422755112251,193.58147399642834,219.76004720177775,289.706499441792,99.1672406755701,193.58147399642834,240,0.8,0.19999999999999996,202.86517919714265
130,292,141.32865320926754,147.04765742681548,156.34916715416372,171.70159146017542,77.27119700392281,147.04765742681548,150,0.8,0.19999999999999996,147.6381259414524
136,23,186.11708124688192,192.1352028479892,193.50720568198437,194.193207098982,115.37920654999405,192.1352028479892,NA,0.23,0.77,192.1352028479892
241,8178,228.45623765292376,242.87836582743853,275.89069337354294,356.4305967887859,130.21816010134697,242.87836582743853,200,0.8,0.19999999999999996,234.30269266195083
261,1495,215.69595147453185,226.97790199987398,241.43239528389088,347.69774641530597,131.88454068615047,226.97790199987398,240,0.8,0.19999999999999996,229.58232159989916
313,624,131.94696049344,138.8326513754661,152.600273510615,176.07200994719997,69.72887689853223,138.8326513754661,150,0.8,0.19999999999999996,141.06612110037287
316,9568,166.45184721474988,176.76912718328484,199.19527556184016,258.02345963997965,97.25256219399273,176.76912718328484,150,0.8,0.19999999999999996,171.41530174662788
317,873,195.6527673162686,209.98380567359553,229.78667104519457,313.7114663376105,104.43922159421614,209.98380567359553,150,0.8,0.19999999999999996,197.98704453887643
318,12295,162.2259283247605,169.65086274068398,186.7506266629613,268.8084224869255,105.17976784121082,169.65086274068398,150,0.8,0.19999999999999996,165.72069019254718
371,596,169.01612056502233,180.36792535873718,202.67834020728768,222.8222603418476,102.50046290028659,180.36792535873718,150,0.8,0.19999999999999996,174.29434028698975
375,3716,148.94107099425,157.70721277085653,178.56686715862776,212.560543167138,87.00169610966243,157.70721277085653,150,0.8,0.19999999999999996,156.16577021668522
391,21,131.18246930158668,131.66232461656523,132.1421799315438,132.38210758903307,74.94896687642306,131.66232461656523,150,0.21,0.79,146.1490881694787
402,181,129.683126155878,134.4140403618708,143.74224601055994,183.8622052134,82.32321702289079,134.4140403618708,160,0.8,0.19999999999999996,139.53123228949664
403,22,129.1674764303021,135.8753716416673,143.42602101502607,147.2013457017055,91.4959940797819,135.8753716416673,160,0.22,0.78,154.69258176116682
407,284,118.54037688798155,121.65673572034873,134.3201157051668,216.0620441802,75.9879869614316,121.65673572034873,160,0.8,0.19999999999999996,129.32538857627898
462,39,141.6852279897416,158.54564569835767,176.04931288321984,184.8737714165175,74.74734383175813,158.54564569835767,150,0.39,0.61,153.3328018223595
500,42,99.00773701302231,103.1028624452419,133.43001774110115,153.66256075259997,57.153132469943735,103.1028624452419,170,0.42,0.5800000000000001,141.9032022270016
531,473,167.53039055856357,176.4775157468961,195.98926376713752,213.2002819440986,103.15188325923363,176.4775157468961,150,0.8,0.19999999999999996,171.1820125975169
541,542,162.98207444904767,176.94496243139534,204.62056279662863,230.94805367041232,93.24163491274886,176.94496243139534,150,0.8,0.19999999999999996,171.5559699451163
543,3929,149.0386417047122,160.70345502906034,182.17319877090398,245.30852730339356,85.95578989531263,160.70345502906034,150,0.8,0.19999999999999996,158.56276402324826
544,1335,143.1102218307861,155.94743150021242,176.48958151054777,234.38468072330096,79.82740595703021,155.94743150021242,150,0.8,0.19999999999999996,154.75794520016993
601,39,102.41257644449101,106.2711561082986,110.6194576647363,112.84889962438116,64.24294150606622,106.2711561082986,150,0.39,0.61,132.94575088223644
602,208,132.69253630663667,143.5787325590858,166.88892828044933,192.20999042975575,70.88500336162157,143.5787325590858,160,0.8,0.19999999999999996,146.86298604726863
621,20,160.5797670842333,174.40734343514862,188.23491978606387,195.1487079615216,98.80629510886007,174.40734343514862,NA,0.2,0.8,174.40734343514862
660,26,93.59379095447304,103.03748133514316,115.45207743153878,121.65937547973658,57.95516084873213,103.03748133514316,150,0.26,0.74,137.7897451471372
701,208,128.77489611723044,132.60473696007782,140.82331160549097,142.77661693432486,74.97630961855897,132.60473696007782,150,0.8,0.19999999999999996,136.08378956806226
740,20,127.0841636604343,128.9958691914655,130.9075747224967,131.8634274880123,69.22071488318257,128.9958691914655,NA,0.2,0.8,128.9958691914655
741,1336,140.26018637296602,150.58423871377204,176.6036779592798,230.191408467918,77.02328058981928,150.58423871377204,150,0.8,0.19999999999999996,150.46739097101764
742,345,223.18427131188662,230.44258404114902,257.3129208883355,329.0999310825451,101.17194650478136,230.44258404114902,130,0.8,0.19999999999999996,210.35406723291922
743,2902,167.73839370468144,179.4117700956491,200.7020248981983,302.14590037049265,99.89365565211627,179.4117700956491,130,0.8,0.19999999999999996,169.52941607651928
