variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.44561,-0.5303653500000001,-0.36423355,1.0030985987365812,496.1912817758751,0.16613180000000005,TRUE
b_DBH_std,0.290537,0.26314115,0.31832000000000005,1.0011968952415262,2330.0107361585215,0.05517885000000006,TRUE
b_IDBH_stdE2,-0.03983075,-0.049524035,-0.030042410000000002,1.00044174597226,4053.244373673513,0.019481625,TRUE
b_BA_std,-0.102058,-0.12956005,-0.07492444500000002,1.0021048033155158,2027.7236156953177,0.05463560499999999,TRUE
b_BAL_std,-0.06919695000000001,-0.094369955,-0.04244703000000001,1.0014338916914471,2208.142295578579,0.051922924999999995,TRUE
b_CR_std,-0.746151,-0.7608882,-0.73161955,1.000697052519033,5864.591474079846,0.029268650000000007,TRUE
b_SI_std,-0.163754,-0.18013905,-0.14765075,1.0005289997860471,4865.1440931663665,0.0324883,TRUE
sd_SPCD__Intercept,0.26910049999999996,0.21609275000000003,0.3506349999999999,1.0037718770371742,745.7418460808581,0.1345422499999999,TRUE
sigma,1.38051,1.3713795000000002,1.38985,1.0004826610898578,9466.589100657942,0.018470499999999834,TRUE
Intercept,-0.479682,-0.56431885,-0.39937385000000003,1.003207877351624,490.86248886541193,0.164945,TRUE
"r_SPCD[11,Intercept]",0.258204,0.14618635,0.37644265,1.0018377499805216,874.6344157747185,0.2302563,TRUE
"r_SPCD[15,Intercept]",0.3734095,0.27438925000000003,0.4712949999999998,1.001642189249319,694.8954879655854,0.19690574999999977,TRUE
"r_SPCD[17,Intercept]",0.30401049999999996,0.20595265000000001,0.4028869999999998,1.0037702403213313,658.3841736489359,0.19693434999999976,TRUE
"r_SPCD[19,Intercept]",0.19101200000000002,0.044283905000000005,0.3410676999999999,1.0008224610952055,1350.293444224418,0.2967837949999999,TRUE
"r_SPCD[20,Intercept]",-0.111533,-0.45958185,0.22758599999999996,1.0007529045283956,3551.9718074795887,0.68716785,TRUE
"r_SPCD[21,Intercept]",-0.07992995,-0.22096235,0.062077219999999995,1.003376490548385,1167.375029901172,0.28303957,TRUE
"r_SPCD[22,Intercept]",-0.24207099999999998,-0.40724425,-0.08018256000000004,1.0005204720946397,1590.9105842913905,0.32706168999999996,TRUE
"r_SPCD[41,Intercept]",-0.176693,-0.43536994999999995,0.07964285499999994,1.0009087895674238,3889.861122307467,0.5150128049999999,TRUE
"r_SPCD[42,Intercept]",0.173706,-0.21218754999999997,0.59604755,1.0004338997137032,3417.7304755006626,0.8082351,TRUE
"r_SPCD[64,Intercept]",0.1871695,0.068530655,0.31409699999999996,1.0009420604657375,951.4167954850996,0.24556634499999996,TRUE
"r_SPCD[73,Intercept]",-0.1018555,-0.24021594999999998,0.046343505,1.00064573085102,1372.4746343186696,0.28655945499999996,TRUE
"r_SPCD[81,Intercept]",-0.04494625,-0.1878483,0.09427179000000001,1.000445976216046,1242.498124517167,0.28212009,TRUE
"r_SPCD[93,Intercept]",0.46816199999999997,0.3279807,0.6160024999999999,1.001593538536874,1293.9671118756987,0.2880217999999999,TRUE
"r_SPCD[98,Intercept]",0.09645034999999999,-0.10686375,0.2998630499999999,1.0017311769137174,1979.0678321356474,0.4067267999999999,TRUE
"r_SPCD[101,Intercept]",0.1431805,-0.10744240000000001,0.38520570000000004,1.0004808212380236,3376.6757849955634,0.49264810000000003,TRUE
"r_SPCD[103,Intercept]",-0.228017,-0.64961325,0.14892344999999999,1.0010352350237213,3734.839369193987,0.7985367,TRUE
"r_SPCD[108,Intercept]",-0.1016445,-0.19602205,-0.01202068000000006,1.002004775270336,608.9587824889753,0.18400136999999994,TRUE
"r_SPCD[116,Intercept]",-0.1646485,-0.49423860000000003,0.15358579999999986,1.000779009190738,4103.953647944848,0.6478243999999999,TRUE
"r_SPCD[117,Intercept]",-0.0545981,-0.26045355000000003,0.14451889999999976,1.0000026200983065,2001.697613262311,0.4049724499999998,TRUE
"r_SPCD[119,Intercept]",0.19334200000000001,-8.190890499999988e-4,0.3992643499999999,1.0009613152567916,2539.4129736194723,0.4000834390499999,TRUE
"r_SPCD[122,Intercept]",0.21219749999999998,0.12385005,0.30432064999999997,1.0031730047594027,563.2990012509903,0.18047059999999998,TRUE
"r_SPCD[202,Intercept]",-0.295047,-0.37947225,-0.2083647,1.0028518831351139,521.3190901672456,0.17110755,TRUE
"r_SPCD[211,Intercept]",0.106781,-0.29076199999999996,0.5282174999999999,1.000425669710064,4425.5684548975805,0.8189794999999999,TRUE
"r_SPCD[231,Intercept]",0.201436,-0.063179665,0.47065949999999984,1.0008436386831083,3123.0226163939415,0.5338391649999998,TRUE
"r_SPCD[242,Intercept]",0.34015300000000004,0.21355945,0.47684925,1.001333544512239,1119.1563345101454,0.2632898,TRUE
"r_SPCD[263,Intercept]",0.3170015,0.21974529999999998,0.41746475,1.0020790562666384,656.6534431157465,0.19771945000000002,TRUE
"r_SPCD[264,Intercept]",0.3959735,0.28768755,0.5114605499999999,1.0012524452597293,851.2605259585532,0.2237729999999999,TRUE
"r_SPCD[312,Intercept]",-0.126251,-0.27032864999999995,0.01796235999999991,1.0007184111035983,1271.4397416953236,0.28829100999999985,TRUE
"r_SPCD[351,Intercept]",-0.3283385,-0.45169515,-0.20245000000000007,1.0015353454573301,987.2538190676823,0.24924514999999992,TRUE
"r_SPCD[352,Intercept]",-0.02572165,-0.4587039,0.4193214999999997,1.0029254185191314,4952.777269449551,0.8780253999999996,TRUE
"r_SPCD[361,Intercept]",-0.450273,-0.597031,-0.3137635500000001,1.0003757594976697,1244.7483719463892,0.28326744999999987,TRUE
"r_SPCD[431,Intercept]",-0.1157125,-0.29692435,0.06059428999999979,0.9999764411129927,1824.0247418686397,0.3575186399999998,TRUE
"r_SPCD[492,Intercept]",-0.135839,-0.49741434999999995,0.21278374999999988,1.0010936965733115,3863.3919524954995,0.7101980999999998,TRUE
"r_SPCD[542,Intercept]",0.14117849999999998,-0.2110816,0.4831415,1.0007439517316612,3877.533277784886,0.6942231,TRUE
"r_SPCD[631,Intercept]",-0.22925600000000002,-0.36174025,-0.10053095000000001,1.0023094997807243,1059.739503286652,0.2612093,TRUE
