variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,-0.0362197,-0.067096915,-0.005399358000000023,1.0056885292837996,781.5985614927681
b_CR_t1_std,0.570074,0.56378895,0.5765864,1.0025962641970247,10699.032241108722
b_DBH_std,0.1768895,0.14851300000000003,0.20511469999999998,1.000773075255108,1684.5918191233036
b_IDBH_stdE2,-0.035103800000000004,-0.0400952,-0.030258720000000003,1.0010409539681884,6783.277344365139
b_BA_std,-0.040615899999999996,-0.052327620000000005,-0.0292367,1.0003814848646144,4336.769693536953
b_BAL_std,-0.0670084,-0.07884018,-0.055300220000000004,1.0007110720468522,5021.585906151395
b_SI_std,-0.07036555,-0.07708361999999999,-0.063456175,1.0005654993298752,10694.685341835222
b_relDBH_std,-0.05974355,-0.069616505,-0.0500403,0.9999123632396272,6440.047088648604
sd_SPCD_grouped__Intercept,0.09633715000000001,0.07543547,0.12439534999999999,1.0030043543062546,1140.7773853086203
sd_SPCD_grouped__DBH_std,0.0736157,0.053311225000000004,0.10284164999999998,1.00135696443321,1380.6661974696306
cor_SPCD_grouped__Intercept__DBH_std,-0.489979,-0.7490281,-0.11564080000000002,1.0003971849695525,1171.1332164295773
phi,11.8529,11.702585000000001,12.002625,1.0015179316351042,10779.439934262284
Intercept,-0.07643639999999999,-0.1067098,-0.04565300500000003,1.0058986032345454,786.4447189612381
"r_SPCD_grouped[OTHER,Intercept]",-0.0587536,-0.1546331,0.03544033499999999,1.0005799222751093,4795.272914450529
"r_SPCD_grouped[11,Intercept]",0.0658629,0.017494090000000004,0.1156642,1.0028008825576147,1792.8300149449783
"r_SPCD_grouped[15,Intercept]",0.130264,0.09278601,0.16890184999999994,1.003512389290633,1165.0326780985974
"r_SPCD_grouped[17,Intercept]",0.09850054999999999,0.061894745,0.1354219,1.0026939444121639,1088.7723079322745
"r_SPCD_grouped[19,Intercept]",0.0314659,-0.03881496,0.09870219999999989,1.0009345985648197,2208.9387465091336
"r_SPCD_grouped[20,Intercept]",-0.03637675,-0.1681969,0.08954395999999991,1.0022930931459402,7491.78746014938
"r_SPCD_grouped[21,Intercept]",-0.05364905,-0.11134234999999999,0.0025037634999999945,1.0012606279089846,2150.032160984769
"r_SPCD_grouped[22,Intercept]",-0.09469040000000001,-0.1588085,-0.03247819000000003,1.0025621740481427,3068.517886637349
"r_SPCD_grouped[41,Intercept]",8.71506e-4,-0.09255145,0.09771410999999997,1.0002823764291218,5829.837067235882
"r_SPCD_grouped[64,Intercept]",0.0485333,-0.0017579929999999996,0.1003317,1.0021874832781825,1672.821486745659
"r_SPCD_grouped[73,Intercept]",-0.0556117,-0.1122195,0.0025954879999999804,1.0006797069705058,2683.34712543127
"r_SPCD_grouped[81,Intercept]",-0.041557750000000004,-0.096981915,0.013431414999999981,1.0017277360055732,2178.721940263979
"r_SPCD_grouped[93,Intercept]",0.152935,0.096903,0.21313025,1.0014226381342086,2533.7770912371725
"r_SPCD_grouped[98,Intercept]",-0.029203899999999998,-0.12693935,0.06630976499999996,1.0016926721681119,4867.786333003172
"r_SPCD_grouped[101,Intercept]",0.01906655,-0.07933457000000001,0.11558839999999991,1.0019600231076933,6291.461204006778
"r_SPCD_grouped[108,Intercept]",-0.006687245,-0.05153682,0.04015831499999998,1.0014629442909104,1469.265161347188
"r_SPCD_grouped[116,Intercept]",-0.05697525,-0.18200615,0.05592715499999997,1.0015432781604194,6785.739569754108
"r_SPCD_grouped[117,Intercept]",0.034730250000000004,-0.050992159999999995,0.12403579999999996,1.0012628107196693,4112.450563693546
"r_SPCD_grouped[119,Intercept]",0.057435200000000006,-0.021176399999999995,0.13963039999999996,1.0001734463250647,3595.299612079353
"r_SPCD_grouped[122,Intercept]",0.043469400000000005,0.010053470000000002,0.07696545,1.0034423092173224,970.971802487104
"r_SPCD_grouped[202,Intercept]",-0.1531245,-0.18458154999999998,-0.12021130000000001,1.00609818123488,817.9228911272692
"r_SPCD_grouped[231,Intercept]",0.04778325,-0.051023005,0.14292804999999995,1.0004346026057818,4727.258256962129
"r_SPCD_grouped[242,Intercept]",0.13451200000000002,0.080229035,0.18701979999999996,1.0018813679973442,1969.5017348938525
"r_SPCD_grouped[263,Intercept]",0.1298125,0.092999145,0.16821585,1.0028313723017763,1224.2792457699013
"r_SPCD_grouped[264,Intercept]",0.12582300000000002,0.08446623,0.16980839999999997,1.0032125263294929,1448.599870781394
