variable,estimate
lp__,-6761.83
mu_b0,1.55334
sigma_b0,0.755965
z_b0[1],0.11874
z_b0[2],0.426381
z_b0[3],0.513494
z_b0[4],-0.469618
z_b0[5],0.0988412
z_b0[6],0.491512
z_b0[7],0.599794
z_b0[8],0.0292139
z_b0[9],0.021403
z_b0[10],-0.619088
z_b0[11],-0.113779
z_b0[12],0.145791
z_b0[13],0.164933
z_b0[14],0.33464
z_b0[15],-0.0867749
z_b0[16],-0.0194376
z_b0[17],-0.121052
z_b0[18],-0.0710608
z_b0[19],0.28363
z_b0[20],0.0299733
z_b0[21],-0.137297
z_b0[22],0.366555
z_b0[23],0.0620995
z_b0[24],-0.475395
z_b0[25],0.369566
z_b0[26],0.164719
z_b0[27],-0.204131
z_b0[28],0.0632392
z_b0[29],0.182427
z_b0[30],0.0176648
z_b0[31],-0.228488
z_b0[32],-0.256261
z_b0[33],-0.02299
z_b0[34],0.0729053
z_b0[35],-0.724687
z_b0[36],0.132242
z_b0[37],0.0513583
z_b0[38],-0.0130938
z_b0[39],0.112756
z_b0[40],-0.00381097
z_b0[41],-0.41323
z_b0[42],-0.604082
z_b0[43],-0.0834971
z_b0[44],-9.51563e-5
z_b0[45],-0.26393
b1,1.02862
b2,-0.293305
b3,0.156687
b4,-0.040379
b5,-0.00614726
b6,-3.58689e-4
b7,-0.0183075
b8,-0.205883
b9,0.0221726
b10,0.0214499
b11,-2.59298e-5
b12,-0.284597
b13,0.0636891
sigma,0.759457
b0[1],1.6431
b0[2],1.87567
b0[3],1.94152
b0[4],1.19832
b0[5],1.62806
b0[6],1.92491
b0[7],2.00676
b0[8],1.57542
b0[9],1.56952
b0[10],1.08533
b0[11],1.46733
b0[12],1.66355
b0[13],1.67802
b0[14],1.80632
b0[15],1.48774
b0[16],1.53865
b0[17],1.46183
b0[18],1.49962
b0[19],1.76775
b0[20],1.576
b0[21],1.44955
b0[22],1.83044
b0[23],1.60028
b0[24],1.19396
b0[25],1.83272
b0[26],1.67786
b0[27],1.39902
b0[28],1.60115
b0[29],1.69125
b0[30],1.56669
b0[31],1.38061
b0[32],1.35962
b0[33],1.53596
b0[34],1.60845
b0[35],1.0055
b0[36],1.65331
b0[37],1.59216
b0[38],1.54344
b0[39],1.63858
b0[40],1.55046
b0[41],1.24095
b0[42],1.09667
b0[43],1.49022
b0[44],1.55327
b0[45],1.35382
ln_DDS_rep[1],2.93547
ln_DDS_rep[2],2.19745
ln_DDS_rep[3],3.25132
ln_DDS_rep[4],3.89858
ln_DDS_rep[5],3.73017
ln_DDS_rep[6],-0.627179
ln_DDS_rep[7],2.4191
ln_DDS_rep[8],5.78474
ln_DDS_rep[9],3.27467
ln_DDS_rep[10],3.13277
ln_DDS_rep[11],3.68721
ln_DDS_rep[12],2.73879
ln_DDS_rep[13],3.01789
ln_DDS_rep[14],1.55229
ln_DDS_rep[15],1.048
ln_DDS_rep[16],1.71425
ln_DDS_rep[17],2.46287
ln_DDS_rep[18],2.77859
ln_DDS_rep[19],3.05157
ln_DDS_rep[20],2.68347
ln_DDS_rep[21],2.05073
ln_DDS_rep[22],2.70238
ln_DDS_rep[23],2.0482
ln_DDS_rep[24],0.488019
ln_DDS_rep[25],3.17661
ln_DDS_rep[26],2.84792
ln_DDS_rep[27],1.3721
ln_DDS_rep[28],3.66175
ln_DDS_rep[29],2.64561
ln_DDS_rep[30],-0.386479
ln_DDS_rep[31],1.54598
ln_DDS_rep[32],2.76187
ln_DDS_rep[33],1.90663
ln_DDS_rep[34],3.15854
ln_DDS_rep[35],3.49962
ln_DDS_rep[36],4.7877
ln_DDS_rep[37],1.40107
ln_DDS_rep[38],0.629332
ln_DDS_rep[39],3.35911
ln_DDS_rep[40],2.23111
ln_DDS_rep[41],2.94551
ln_DDS_rep[42],4.84926
ln_DDS_rep[43],2.79906
ln_DDS_rep[44],3.00563
ln_DDS_rep[45],1.90255
ln_DDS_rep[46],2.78611
ln_DDS_rep[47],1.305
ln_DDS_rep[48],-0.586283
ln_DDS_rep[49],3.32293
ln_DDS_rep[50],2.12667
ln_DDS_rep[51],1.64066
ln_DDS_rep[52],4.44133
ln_DDS_rep[53],1.55051
ln_DDS_rep[54],1.94281
ln_DDS_rep[55],3.70682
ln_DDS_rep[56],3.0484
ln_DDS_rep[57],1.92088
ln_DDS_rep[58],3.25732
ln_DDS_rep[59],2.89218
ln_DDS_rep[60],3.20721
ln_DDS_rep[61],3.2703
ln_DDS_rep[62],3.15066
ln_DDS_rep[63],3.91294
