variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-18496.1,-20617.7,-17975.769999999997,NA,NA,2641.930000000004,NA
lp_approx__,-28.433799999999998,-38.374964999999996,-20.702310000000004,NA,NA,17.672654999999992,NA
mu_b0,1.53186,1.3449354999999998,1.709783,NA,NA,0.3648475000000002,NA
sigma_b0,0.180844,0.1377484,0.23611369999999998,NA,NA,0.09836529999999999,NA
z_b0[1],0.150289,-0.6236809999999999,0.958289,NA,NA,1.5819699999999999,NA
z_b0[2],1.132025,0.35487799999999997,1.893816,NA,NA,1.538938,NA
z_b0[3],1.33785,0.62332205,2.0623199999999997,NA,NA,1.4389979499999996,NA
z_b0[4],-0.7896715,-1.8123845,0.22242859999999992,NA,NA,2.0348131,NA
z_b0[5],0.5905940000000001,-0.9086782,2.1358769999999967,NA,NA,3.044555199999997,NA
z_b0[6],1.4293,0.48121555000000005,2.345160999999999,NA,NA,1.8639454499999992,NA
z_b0[7],1.5925449999999999,0.57620385,2.594065,NA,NA,2.01786115,NA
z_b0[8],-0.253698,-1.6031155,1.0395409999999998,NA,NA,2.6426564999999997,NA
z_b0[9],0.1745235,-1.4924285,1.7936599999999983,NA,NA,3.286088499999998,NA
z_b0[10],-1.543105,-2.5872694999999997,-0.5428139000000003,NA,NA,2.044455599999999,NA
z_b0[11],-0.5011945,-1.43134,0.43015704999999965,NA,NA,1.8614970499999997,NA
z_b0[12],-0.16793,-1.0746664999999997,0.7263295999999996,NA,NA,1.8009960999999994,NA
z_b0[13],0.110093,-0.9244299999999999,1.1618699999999997,NA,NA,2.0862999999999996,NA
z_b0[14],0.807527,-0.43426794999999996,1.987009999999999,NA,NA,2.421277949999999,NA
z_b0[15],-0.6648860000000001,-2.0358579999999997,0.7043622999999996,NA,NA,2.7402202999999994,NA
z_b0[16],-0.251755,-1.886056,1.3148854999999995,NA,NA,3.2009414999999994,NA
z_b0[17],-0.3755465,-1.088002,0.3285021999999999,NA,NA,1.4165041999999999,NA
z_b0[18],0.0206608,-1.437724,1.5105839999999997,NA,NA,2.948308,NA
z_b0[19],0.5740825,-0.5578876,1.7085179999999998,NA,NA,2.2664055999999997,NA
z_b0[20],-0.7043665,-1.9358494999999998,0.47711834999999986,NA,NA,2.41296785,NA
z_b0[21],-0.5152975,-1.2110175,0.17782594999999976,NA,NA,1.3888434499999998,NA
z_b0[22],0.8137065,0.24097595,1.373263,NA,NA,1.13228705,NA
z_b0[23],-0.08863305,-1.7099235,1.5357924999999992,NA,NA,3.245715999999999,NA
z_b0[24],-1.936355,-3.2056604999999996,-0.6029161000000006,NA,NA,2.602744399999999,NA
z_b0[25],0.3887885,-0.46913515,1.2894354999999993,NA,NA,1.7585706499999993,NA
z_b0[26],-0.0649773,-0.7860712499999999,0.66463135,NA,NA,1.4507025999999998,NA
z_b0[27],-0.5258985,-1.3117340000000002,0.27616449999999987,NA,NA,1.5878985,NA
z_b0[28],0.07385945,-0.8083699,0.9460097499999993,NA,NA,1.7543796499999993,NA
z_b0[29],0.007210755,-0.7551045000000001,0.79628715,NA,NA,1.5513916500000002,NA
