variable,estimate
b_Intercept,2.6518300000000004
b_DBH_std,-0.2181165
b_IDBH_stdE2,-0.002072305
b_BAL_std,-0.594131
b_CR_std,0.5651325
b_SI_std,0.0148236
b_BA_std,0.507573
sd_SPCD__Intercept,0.6118035
Intercept,2.64539
"r_SPCD[11,Intercept]",-0.02013175
"r_SPCD[15,Intercept]",-0.40749749999999996
"r_SPCD[17,Intercept]",-0.471017
"r_SPCD[19,Intercept]",-1.34295
"r_SPCD[20,Intercept]",-0.2681395
"r_SPCD[21,Intercept]",-0.0177131
"r_SPCD[22,Intercept]",-0.1046725
"r_SPCD[41,Intercept]",0.7078424999999999
"r_SPCD[42,Intercept]",-0.09268665000000001
"r_SPCD[64,Intercept]",0.2978485
"r_SPCD[73,Intercept]",-0.08965795
"r_SPCD[81,Intercept]",0.2311755
"r_SPCD[93,Intercept]",-0.154093
"r_SPCD[98,Intercept]",0.39036899999999997
"r_SPCD[101,Intercept]",-0.988081
"r_SPCD[103,Intercept]",-0.65994
"r_SPCD[108,Intercept]",-0.6621025
"r_SPCD[116,Intercept]",0.474279
"r_SPCD[117,Intercept]",-0.26984549999999996
"r_SPCD[119,Intercept]",-1.1828349999999999
"r_SPCD[122,Intercept]",-0.008362705
"r_SPCD[130,Intercept]",0.0327072
"r_SPCD[202,Intercept]",0.26755850000000003
"r_SPCD[211,Intercept]",0.170472
"r_SPCD[231,Intercept]",0.5144305
"r_SPCD[242,Intercept]",0.5262985
"r_SPCD[263,Intercept]",0.31136949999999997
"r_SPCD[264,Intercept]",-0.3003255
"r_SPCD[312,Intercept]",0.584094
"r_SPCD[351,Intercept]",-0.174834
"r_SPCD[352,Intercept]",0.110916
"r_SPCD[361,Intercept]",-0.235419
"r_SPCD[375,Intercept]",0.033170099999999994
"r_SPCD[431,Intercept]",-0.3118205
"r_SPCD[492,Intercept]",-0.272663
"r_SPCD[542,Intercept]",0.256781
"r_SPCD[631,Intercept]",0.0348304
"r_SPCD[746,Intercept]",0.020237400000000003
"r_SPCD[747,Intercept]",0.00848455
"r_SPCD[763,Intercept]",0.13540750000000001
"r_SPCD[768,Intercept]",0.204124
"r_SPCD[771,Intercept]",0.04428445
"r_SPCD[805,Intercept]",0.4904325
"r_SPCD[815,Intercept]",0.9188689999999999
"r_SPCD[818,Intercept]",0.5001424999999999
"r_SPCD[901,Intercept]",0.0830419
"r_SPCD[981,Intercept]",0.8046105
lprior,-3.81556
lp__,-8089.015
