variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,2.6518300000000004,2.4746155,2.8528949999999997,1.0040032306580366,743.5239248960144,0.37827949999999966,TRUE
b_DBH_std,-0.2181165,-0.28721145000000003,-0.1482452,1.000152424909762,3178.779516302889,0.13896625000000004,TRUE
b_IDBH_stdE2,-0.002072305,-0.030276965,0.027455354999999997,1.000156663632522,4633.233006286299,0.05773232,TRUE
b_BAL_std,-0.594131,-0.6562971000000001,-0.5303068,1.0027888732170078,3586.278956940336,0.1259903000000001,TRUE
b_CR_std,0.5651325,0.5240141,0.6063328499999999,1.0013234804497382,6040.439720164461,0.08231874999999989,TRUE
b_SI_std,0.0148236,-0.030088374999999997,0.05686692499999996,1.000446176769328,6030.212087999079,0.08695529999999996,TRUE
b_BA_std,0.507573,0.4373626,0.5736027499999999,1.0014141595050998,3575.8278047552,0.13624014999999995,TRUE
sd_SPCD__Intercept,0.6118035,0.4713103,0.8006727000000001,1.0034359460458646,1018.8101402962216,0.3293624000000001,TRUE
Intercept,2.64539,2.469783,2.8454230000000003,1.0040226262286636,732.093177879314,0.3756400000000002,TRUE
"r_SPCD[11,Intercept]",-0.02013175,-0.29837654999999996,0.26184385,1.0021824030900246,1359.269796229948,0.5602204,TRUE
"r_SPCD[15,Intercept]",-0.40749749999999996,-0.64642285,-0.17382620000000024,1.0024105424770373,1013.0506882352522,0.47259664999999973,TRUE
"r_SPCD[17,Intercept]",-0.471017,-0.7037651500000001,-0.24666845000000004,1.0039212100545676,1006.5420840184199,0.4570967,TRUE
"r_SPCD[19,Intercept]",-1.34295,-1.6470825,-1.0581375,1.002739344368271,1388.8594225227166,0.588945,TRUE
"r_SPCD[20,Intercept]",-0.2681395,-1.0650374999999999,0.5392099999999991,1.0035032407126232,6215.55681133442,1.604247499999999,TRUE
"r_SPCD[21,Intercept]",-0.0177131,-0.38193104999999994,0.3573159999999998,1.001436871749349,2160.4877121523837,0.7392470499999997,TRUE
"r_SPCD[22,Intercept]",-0.1046725,-0.49115935,0.3220884999999998,1.0001863013372747,3420.9699713757896,0.8132478499999998,TRUE
"r_SPCD[41,Intercept]",0.7078424999999999,-0.009946176999999983,1.5429445,1.0012979922829999,4662.275523578115,1.552890677,TRUE
"r_SPCD[42,Intercept]",-0.09268665000000001,-0.9939008,0.8461284999999996,1.0038997417300928,6648.550566855341,1.8400292999999996,TRUE
"r_SPCD[64,Intercept]",0.2978485,-0.04732266499999997,0.6785451999999995,1.0017672220749243,2405.74831734898,0.7258678649999994,TRUE
"r_SPCD[73,Intercept]",-0.08965795,-0.44363270000000005,0.2760906999999999,1.0022908300476105,2203.6714926895415,0.7197233999999999,TRUE
"r_SPCD[81,Intercept]",0.2311755,-0.13174865000000002,0.5938803,1.0004554562297754,2339.06075502184,0.72562895,TRUE
"r_SPCD[93,Intercept]",-0.154093,-0.5580537999999999,0.24696594999999982,1.002078897905265,2449.343485883844,0.8050197499999998,TRUE
"r_SPCD[98,Intercept]",0.39036899999999997,-0.13759035000000003,0.9669286999999996,1.0025993166853155,4796.94705276775,1.1045190499999997,TRUE
"r_SPCD[101,Intercept]",-0.988081,-1.514219,-0.40812775,1.0014411675357868,3633.8139944216114,1.10609125,TRUE
"r_SPCD[103,Intercept]",-0.65994,-1.4623745,0.1649550499999994,1.0020543952603234,5741.81761313392,1.6273295499999993,TRUE
"r_SPCD[108,Intercept]",-0.6621025,-0.88730175,-0.46403125000000006,1.00227149735193,865.2185447381203,0.42327049999999994,TRUE
"r_SPCD[116,Intercept]",0.474279,-0.305578,1.4087515,1.0001683722359977,6469.672605391163,1.7143294999999998,TRUE
"r_SPCD[117,Intercept]",-0.26984549999999996,-0.75907525,0.25604499999999975,1.0042089678451276,4655.469246038567,1.0151202499999998,TRUE
"r_SPCD[119,Intercept]",-1.1828349999999999,-1.594301,-0.7746034500000001,1.00083091962487,2743.5994058112287,0.8196975499999999,TRUE
"r_SPCD[122,Intercept]",-0.008362705,-0.22704765,0.19320189999999995,1.003686831661438,877.9808381728196,0.42024954999999997,TRUE
"r_SPCD[130,Intercept]",0.0327072,-0.9725946499999999,1.0113955,0.9995739811214672,7352.023298284641,1.98399015,TRUE
"r_SPCD[202,Intercept]",0.26755850000000003,0.05673026,0.45633004999999993,1.0049291471318897,808.05687438739,0.39959978999999995,TRUE
"r_SPCD[211,Intercept]",0.170472,-0.75169815,1.1968889999999999,1.0001889836910116,5687.385239179564,1.9485871499999998,TRUE
"r_SPCD[231,Intercept]",0.5144305,-0.054142554999999995,1.1549099999999999,1.0008501944823769,4988.720438561659,1.209052555,TRUE
"r_SPCD[242,Intercept]",0.5262985,0.16405025,0.9226075499999998,1.0009621226953642,2529.8945548820975,0.7585572999999999,TRUE
"r_SPCD[263,Intercept]",0.31136949999999997,0.06686072500000001,0.55238285,1.003657787391149,1155.0407076342117,0.48552212499999997,TRUE
"r_SPCD[264,Intercept]",-0.3003255,-0.568888,-0.03373035500000015,1.0024649287142484,1421.1880084678878,0.5351576449999998,TRUE
"r_SPCD[312,Intercept]",0.584094,0.2274509,0.9709483,0.999993706381965,2585.4950345775605,0.7434974,TRUE
"r_SPCD[351,Intercept]",-0.174834,-0.454441,0.09585563499999995,1.001877318087644,1375.4154470967105,0.5502966349999999,TRUE
"r_SPCD[352,Intercept]",0.110916,-0.87534835,1.1346284999999994,1.0025903146864816,8011.606714982923,2.0099768499999993,TRUE
"r_SPCD[361,Intercept]",-0.235419,-0.539693,0.06095815499999993,1.0029498377788437,1500.2680168291758,0.6006511549999999,TRUE
