variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,1.893,1.6994790000000002,2.0850445,1.005240326628387,589.8826993894611,0.3855654999999998,TRUE
b_DBH_std,-0.14416299999999999,-0.34178725,0.05556607499999969,1.004347615327861,767.4279159778226,0.39735332499999965,TRUE
b_IDBH_stdE2,-0.1387525,-0.1680855,-0.1088586,0.9998424966760193,7233.785517457767,0.0592269,TRUE
b_BAL_std,-0.6488915,-0.8073623,-0.48325365000000003,1.0012137329341353,978.666203146904,0.32410864999999994,TRUE
b_CR_std,0.5636654999999999,0.53175695,0.5966288999999999,0.9998290216884793,7554.451485747612,0.0648719499999999,TRUE
b_SI_std,-0.005064795,-0.042649704999999996,0.03277316999999999,1.0004380355551503,6808.445372924074,0.07542287499999999,TRUE
b_BA_std,0.5346095,0.47964565000000003,0.5916440000000001,1.0014154965430757,7166.659265476044,0.11199835000000002,TRUE
b_DBH_BAL,-0.26312250000000004,-0.2972928,-0.2305606,0.9999767931150108,7625.799895333699,0.06673220000000002,TRUE
b_ELEV_std,-0.20020949999999998,-0.24732405,-0.15363505000000002,1.0021366712138573,5256.27824085666,0.09368899999999997,TRUE
b_SLOPE_std,-0.1487415,-0.1825278,-0.11774265000000002,1.0024666491889482,7853.454098567329,0.06478514999999997,TRUE
sd_SPCD_grouped__Intercept,0.591689,0.4693669,0.7643595999999999,1.000737060645623,1085.8438127043887,0.29499269999999994,TRUE
sd_SPCD_grouped__DBH_std,0.576086,0.4469851,0.7618536999999999,1.0020125096723425,1276.0223012002125,0.31486859999999983,TRUE
sd_SPCD_grouped__BAL_std,0.4908765,0.3857456000000001,0.62660715,1.001892773883525,1638.4743080088294,0.24086154999999992,TRUE
cor_SPCD_grouped__Intercept__DBH_std,0.6142175000000001,0.33181755,0.8048284,1.0033849854225287,1249.5982238859513,0.47301085,TRUE
cor_SPCD_grouped__Intercept__BAL_std,0.10357,-0.2092462,0.40782824999999967,1.000491611230523,1252.9699797845622,0.6170744499999996,TRUE
cor_SPCD_grouped__DBH_std__BAL_std,0.45240800000000003,0.1304,0.6996304999999998,1.0033437375965437,1031.9824023735646,0.5692304999999999,TRUE
Intercept,1.77055,1.57846,1.961382,1.0051133100344247,589.1612423101631,0.382922,TRUE
"r_SPCD_grouped[OTHER,Intercept]",0.144687,-0.30473534999999996,0.6463225499999998,1.0004501243643933,3067.2487031043215,0.9510578999999998,TRUE
"r_SPCD_grouped[11,Intercept]",-0.215348,-0.49410384999999996,0.08283162999999975,1.0025320330394094,1155.6240283175812,0.5769354799999997,TRUE
"r_SPCD_grouped[15,Intercept]",-0.37365499999999996,-0.59489755,-0.14193390000000003,1.0052424081702704,704.0637947699767,0.45296364999999994,TRUE
"r_SPCD_grouped[17,Intercept]",-0.1267175,-0.3453582,0.10052884999999993,1.0026080600105283,720.878758436866,0.44588704999999995,TRUE
"r_SPCD_grouped[19,Intercept]",-0.9463539999999999,-1.2816159999999999,-0.6109110500000001,1.0011463399964013,1715.74038333853,0.6707049499999997,TRUE
"r_SPCD_grouped[21,Intercept]",0.4442665,0.10117860000000001,0.82930745,1.002853816967846,1661.3661215092936,0.7281288499999999,TRUE
"r_SPCD_grouped[22,Intercept]",-0.2791945,-0.6082525999999999,0.061682519999999734,1.001359505807188,1558.9502245576489,0.6699351199999997,TRUE
"r_SPCD_grouped[41,Intercept]",0.21352500000000002,-0.3085526,0.7884764999999999,1.0014204368021717,3617.909401267671,1.0970290999999999,TRUE
"r_SPCD_grouped[64,Intercept]",0.752625,0.28622495000000003,1.2586639999999993,1.0016848792408828,2109.8991705153976,0.9724390499999993,TRUE
"r_SPCD_grouped[73,Intercept]",0.2736105,-0.047995179999999985,0.5892032999999998,1.0000369573407497,1522.7815352022274,0.6371984799999998,TRUE
"r_SPCD_grouped[81,Intercept]",0.1700225,-0.14959634999999996,0.48221725,1.0028948180350146,1340.2770458274076,0.6318136,TRUE
"r_SPCD_grouped[93,Intercept]",0.13726149999999998,-0.22879075,0.4979866999999998,1.0012512196038277,1824.0140157487597,0.7267774499999997,TRUE
