variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,1.89332535,0.11684360059938138,1.6620417500000002,2.12622825,1.005240326628387,589.8826993894611,1096.8108430464144
DBH_std,-0.144618677189825,0.12165366866746025,-0.37525839999999994,0.10026295000000002,1.004347615327861,767.4279159778226,1450.680924603704
IDBH_stdE2,-0.138532805675,0.01792794172761091,-0.17334092499999998,-0.10199887499999999,0.9998424966760193,7233.785517457767,2965.8902389942905
BAL_std,-0.647653609,0.09908157565221473,-0.8401395999999999,-0.449791075,1.0012137329341353,978.666203146904,1633.3904312968666
CR_std,0.5638849495,0.01978047139915131,0.5256865000000001,0.6023773,0.9998290216884793,7554.451485747612,2489.118721491217
SI_std,-0.005036879223025,0.022884927449411608,-0.0493266075,0.04041218750000003,1.0004380355551503,6808.445372924074,3093.5216011026037
BA_std,0.5350654395,0.033995584544003095,0.469155125,0.601222675,1.0014154965430757,7166.659265476044,3282.330778110074
DBH_BAL,-0.263366768,0.0204041778607034,-0.30322755,-0.22469985,0.9999767931150108,7625.799895333699,3343.7168645671645
ELEV_std,-0.199993267,0.02869300861094908,-0.2553891,-0.14218869999999997,1.0021366712138573,5256.27824085666,3140.455732698837
SLOPE_std,-0.149189361775,0.01967860967002808,-0.18796169999999998,-0.11161817499999997,1.0024666491889482,7853.454098567329,2679.9983624476295
