variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.8083460825,0.06189136146855429,5.681925250000001,5.92939075
b_ln_qmd_centered,-1.58716939,0.02337090163340505,-1.6285402500000001,-1.5385367500000002
sd_SPCD__Intercept,0.3874897775,0.04654949656249541,0.30897470000000005,0.49067245000000004
sd_SPCD__ln_qmd_centered,0.090640569625,0.02797116283988153,0.046355890000000004,0.15201137499999998
cor_SPCD__Intercept__ln_qmd_centered,-0.0535215293658625,0.23229807013832673,-0.483555325,0.4193006999999998
sigma,0.211147079375,0.0017793543114133573,0.207694,0.214631075
Intercept,5.855279775,0.0618710802149942,5.72929,5.976431249999999
"r_SPCD[11,Intercept]",0.441494526875,0.06610202348233059,0.31308045,0.578381525
"r_SPCD[15,Intercept]",0.1821125246719,0.06317201068924697,0.058525985,0.31001134999999996
"r_SPCD[17,Intercept]",0.0403643931660625,0.06279237563325187,-0.08300816500000001,0.169944875
"r_SPCD[19,Intercept]",-0.0094158813967075,0.07402196976392388,-0.15384882500000002,0.13845684999999996
"r_SPCD[20,Intercept]",0.4725603719625,0.1111421624117063,0.257381325,0.6844886999999998
"r_SPCD[21,Intercept]",0.482161088375,0.06795863869804762,0.35159219999999997,0.62012165
"r_SPCD[22,Intercept]",0.49328920725,0.07177755893126392,0.35048985,0.6342828749999999
"r_SPCD[41,Intercept]",0.330372155218875,0.11175355704457897,0.11814955,0.5546492999999999
"r_SPCD[42,Intercept]",0.2282743127063425,0.20201788465488463,-0.167437,0.633032275
"r_SPCD[64,Intercept]",-0.769920796875,0.06408943620256743,-0.8961911499999999,-0.639453975
"r_SPCD[73,Intercept]",0.02241215898549875,0.06842556268867381,-0.112393775,0.1621839
"r_SPCD[81,Intercept]",0.11217933825265,0.07008641895961844,-0.026889317499999996,0.2528404499999999
"r_SPCD[93,Intercept]",0.08679053800680862,0.06718056091445436,-0.044573805,0.222664575
"r_SPCD[98,Intercept]",0.246077755669625,0.08205238962567327,0.08422412750000001,0.40808477499999996
"r_SPCD[101,Intercept]",-0.3715466353875,0.09223602508690228,-0.5503422750000001,-0.189680925
"r_SPCD[103,Intercept]",0.273758056096,0.1512429774651565,-0.022310039999999993,0.5646234249999998
"r_SPCD[108,Intercept]",-0.17098129233975,0.06600966311322128,-0.2993219,-0.036060837500000026
"r_SPCD[116,Intercept]",-0.4618468695375,0.09170863419183772,-0.641179225,-0.2817796000000001
"r_SPCD[117,Intercept]",0.02320940088548,0.08224683070488123,-0.1368579,0.18848384999999998
"r_SPCD[119,Intercept]",-0.11439838553029374,0.1006610691716902,-0.31012559999999995,0.08774774999999999
"r_SPCD[122,Intercept]",-0.3176319985125,0.062191283922475825,-0.43911627499999994,-0.190772325
"r_SPCD[202,Intercept]",0.27049515213750003,0.06204537593470232,0.1485576,0.397250075
"r_SPCD[211,Intercept]",-0.029114921811222876,0.15246307851466329,-0.3319362,0.2651391999999999
"r_SPCD[231,Intercept]",-0.7936406262375,0.19941606539514373,-1.1907225,-0.4047347250000001
"r_SPCD[242,Intercept]",0.402555724,0.07081506889257297,0.265457625,0.5427827749999999
"r_SPCD[263,Intercept]",0.342293862125,0.06328171090106474,0.218613675,0.47137202499999975
"r_SPCD[264,Intercept]",0.433725489875,0.06406381542566958,0.309650775,0.564969625
"r_SPCD[312,Intercept]",-0.1212798884056875,0.07081725324372143,-0.25780620000000004,0.017825912499999878
"r_SPCD[351,Intercept]",-0.188235402993,0.06453346832255788,-0.31469115,-0.05784700750000011
"r_SPCD[361,Intercept]",0.1619901000225,0.07252364786355453,0.021718885000000007,0.30494472499999997
"r_SPCD[431,Intercept]",0.29657698230125,0.09376386276232651,0.11882155,0.4834367499999998
"r_SPCD[475,Intercept]",-0.3541372039625,0.08553322030118721,-0.522242675,-0.18615342500000015
"r_SPCD[542,Intercept]",-0.172515146633425,0.11113076341538869,-0.388245575,0.045071739999999895
"r_SPCD[631,Intercept]",0.472227586875,0.06949875262813399,0.33641447500000005,0.6123474999999998
"r_SPCD[746,Intercept]",-0.600441938875,0.11839333565184945,-0.83834245,-0.369419975
"r_SPCD[747,Intercept]",-0.026231900574325,0.11302669623050285,-0.24973117499999997,0.20046857499999993
"r_SPCD[768,Intercept]",-0.76163211132,0.17994041686280024,-1.1125852499999997,-0.4167034750000001
"r_SPCD[805,Intercept]",0.167453305877375,0.0852580604469811,0.00392691375,0.33739684999999975
"r_SPCD[815,Intercept]",-0.37537133075,0.07020412376679762,-0.511528425,-0.23580315000000004
"r_SPCD[818,Intercept]",-0.13212618637705,0.08798984950998744,-0.304992975,0.043891689999999935
"r_SPCD[920,Intercept]",-0.54418636295,0.1947162555765877,-0.92063935,-0.156544225
"r_SPCD[981,Intercept]",0.1039886840603625,0.09101927095468025,-0.07276485999999999,0.2844365999999996
"r_SPCD[11,ln_qmd_centered]",0.0321698330971125,0.05464054069759951,-0.0731736625,0.1416672
"r_SPCD[15,ln_qmd_centered]",-0.02288160404312625,0.03499928640894101,-0.09376465,0.04275417249999998
"r_SPCD[17,ln_qmd_centered]",-0.0227543614118975,0.031495072903924906,-0.0863216675,0.03704522499999999
"r_SPCD[19,ln_qmd_centered]",-0.00701676132201625,0.07058994929314813,-0.15295335000000002,0.13041824999999993
"r_SPCD[20,ln_qmd_centered]",-0.01647231058947875,0.09447751515463639,-0.20665877500000002,0.17447472499999994
"r_SPCD[21,ln_qmd_centered]",-0.0441806201505045,0.05651014800115787,-0.15999517500000002,0.06165513749999999
"r_SPCD[22,ln_qmd_centered]",-0.04327633427922375,0.06665237953988953,-0.183314825,0.08033416999999989
"r_SPCD[41,ln_qmd_centered]",0.01164565489498875,0.08684441265930957,-0.15731555,0.19185867499999987
"r_SPCD[42,ln_qmd_centered]",-0.0155540550257075,0.08872571024566976,-0.19569925000000002,0.16357514999999995
"r_SPCD[64,ln_qmd_centered]",0.0269995311827275,0.042471124452406764,-0.05767919999999999,0.11143754999999998
"r_SPCD[73,ln_qmd_centered]",-0.0095127145685825,0.05330287464424994,-0.11795855,0.09317318749999998
"r_SPCD[81,ln_qmd_centered]",0.079474827731325,0.06845197203361279,-0.04479932,0.22394257499999987
"r_SPCD[93,ln_qmd_centered]",0.030811579393375,0.053600415416355705,-0.07197502749999998,0.141479
"r_SPCD[98,ln_qmd_centered]",0.0635021701216025,0.0671450894160399,-0.06208436,0.20338884999999998
"r_SPCD[101,ln_qmd_centered]",0.031019748570412498,0.08306430636935506,-0.128149875,0.20102497499999955
"r_SPCD[103,ln_qmd_centered]",-0.0477593247329875,0.08801954526737664,-0.23439934999999998,0.11512102499999999
"r_SPCD[108,ln_qmd_centered]",-0.079577932795375,0.03730820441256334,-0.15481902500000003,-0.009091663250000027
"r_SPCD[116,ln_qmd_centered]",-0.0319388855807875,0.08295595481581049,-0.20775732499999996,0.125473525
"r_SPCD[117,ln_qmd_centered]",-0.005933258071225,0.08327781980948275,-0.17954555,0.15836497499999994
"r_SPCD[119,ln_qmd_centered]",0.17807253282335,0.10595080202800217,0.0076608917500000165,0.41145775
"r_SPCD[122,ln_qmd_centered]",-0.1388403812,0.02788888885111453,-0.196834875,-0.08649435250000004
"r_SPCD[202,ln_qmd_centered]",-0.01707052396075,0.024799092145707587,-0.06772996,0.02796596749999998
"r_SPCD[211,ln_qmd_centered]",-0.103281066353175,0.09229312524900653,-0.309708725,0.05327105749999998
"r_SPCD[231,ln_qmd_centered]",0.04004849476729375,0.10120048612941823,-0.14756962499999998,0.25749052499999986
"r_SPCD[242,ln_qmd_centered]",-0.0654913384666125,0.06502931328527273,-0.19858605000000001,0.054467172499999945
"r_SPCD[263,ln_qmd_centered]",-0.01352140576626,0.03720601275543426,-0.0892589825,0.0590492075
"r_SPCD[264,ln_qmd_centered]",-0.01887161396152875,0.04344531345501376,-0.10738370000000001,0.06266301749999999
"r_SPCD[312,ln_qmd_centered]",-0.1010047108288625,0.059004675942514066,-0.225423175,0.005422044499999954
"r_SPCD[351,ln_qmd_centered]",-4.4232325752125e-4,0.044773597385559444,-0.09061801000000001,0.08674879499999995
"r_SPCD[361,ln_qmd_centered]",0.0441903202556,0.07485894828770083,-0.0951961475,0.20487169999999985
"r_SPCD[431,ln_qmd_centered]",6.240337283399999e-4,0.08654596535223158,-0.17851935000000002,0.17272924999999978
"r_SPCD[475,ln_qmd_centered]",0.00413942188214125,0.07955261200296346,-0.15749992499999999,0.1639390249999998
"r_SPCD[542,ln_qmd_centered]",-0.0218465480555375,0.08245842352307463,-0.19531305000000002,0.13407302499999998
"r_SPCD[631,ln_qmd_centered]",-0.023117303181475,0.056530983721506806,-0.1382978,0.0852244849999999
"r_SPCD[746,ln_qmd_centered]",0.0392503374253,0.08590274953654432,-0.12156679999999999,0.21729984999999974
"r_SPCD[747,ln_qmd_centered]",-0.00823294449681125,0.08780415463618155,-0.187816775,0.16359304999999996
"r_SPCD[768,ln_qmd_centered]",0.0555800936255275,0.10126985565673399,-0.13421077499999998,0.27217174999999993
"r_SPCD[805,ln_qmd_centered]",0.0558559128526125,0.08170965736404086,-0.09463239749999999,0.2320565249999999
"r_SPCD[815,ln_qmd_centered]",0.0426993410119625,0.056825244346572205,-0.06719658,0.15682089999999996
"r_SPCD[818,ln_qmd_centered]",0.0577349142897125,0.08699171849452664,-0.09721536249999999,0.2504441249999999
"r_SPCD[920,ln_qmd_centered]",-0.003113345417175,0.09747073127654893,-0.20449452499999998,0.19385985
"r_SPCD[981,ln_qmd_centered]",0.0541925406031875,0.07426731537068929,-0.08532458,0.21221042499999965
lprior,-0.32154686704625,0.1669306374210997,-0.70188745,-0.05493717750000003
lp__,879.635579,9.4947611821729,860.0335749999999,897.840825
