variable,estimate
lp__,-2914.65
mu_b0,1.91029
sigma_b0,0.813781
z_b0[1],0.206072
z_b0[2],0.337822
z_b0[3],-0.119691
z_b0[4],0.187262
z_b0[5],-0.231402
z_b0[6],-0.211351
z_b0[7],0.00836484
z_b0[8],0.502155
z_b0[9],-0.21787
z_b0[10],-0.0631999
z_b0[11],0.0767481
z_b0[12],-0.0911427
z_b0[13],0.164325
z_b0[14],-0.107976
z_b0[15],-0.317721
z_b0[16],0.210664
z_b0[17],0.23959
z_b0[18],-0.461252
z_b0[19],0.421675
z_b0[20],0.138618
z_b0[21],-0.678
z_b0[22],-0.419437
z_b0[23],-0.294381
z_b0[24],-0.107828
z_b0[25],0.0352907
z_b0[26],-0.0633668
z_b0[27],-0.102027
z_b0[28],0.698135
z_b0[29],0.0295286
z_b0[30],0.36584
z_b0[31],-0.104524
z_b0[32],-0.0333915
z_b0[33],-0.0302572
z_b0[34],-0.00347759
z_b0[35],-0.054878
b1,0.898202
b2,-0.230653
b3,0.14089
b4,-0.00105766
b5,-0.0470812
b6,0.00381677
b7,0.0114964
b8,-0.100166
b9,-0.0137568
b10,0.0287937
b11,-8.15134e-5
b12,-0.38167
b13,0.0806172
sigma,0.811351
b0[1],2.07799
b0[2],2.1852
b0[3],1.81289
b0[4],2.06268
b0[5],1.72198
b0[6],1.7383
b0[7],1.9171
b0[8],2.31894
b0[9],1.73299
b0[10],1.85886
b0[11],1.97275
b0[12],1.83612
b0[13],2.04402
b0[14],1.82242
b0[15],1.65174
b0[16],2.08173
b0[17],2.10526
b0[18],1.53493
b0[19],2.25344
b0[20],2.0231
b0[21],1.35855
b0[22],1.56896
b0[23],1.67073
b0[24],1.82254
b0[25],1.93901
b0[26],1.85872
b0[27],1.82726
b0[28],2.47842
b0[29],1.93432
b0[30],2.208
b0[31],1.82523
b0[32],1.88312
b0[33],1.88567
b0[34],1.90746
b0[35],1.86563
ln_DDS_rep[1],4.12096
ln_DDS_rep[2],3.41292
ln_DDS_rep[3],2.77208
ln_DDS_rep[4],3.70056
ln_DDS_rep[5],3.92188
ln_DDS_rep[6],3.62019
ln_DDS_rep[7],4.32644
ln_DDS_rep[8],1.63151
ln_DDS_rep[9],2.34505
ln_DDS_rep[10],5.49107
ln_DDS_rep[11],1.31397
ln_DDS_rep[12],2.17177
ln_DDS_rep[13],2.9161
ln_DDS_rep[14],0.684651
