variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-15285.849999999999,-18954.04,-13243.250000000002,NA,NA,5710.789999999999,NA
lp_approx__,-25.12555,-34.033665,-17.87305,NA,NA,16.160615,NA
mu_b0,1.9427249999999998,1.777527,2.1045789999999993,NA,NA,0.32705199999999923,NA
sigma_b0,0.1410325,0.093651095,0.2165559499999999,NA,NA,0.12290485499999991,NA
z_b0[1],0.21271099999999998,-0.502113,0.9267137999999999,NA,NA,1.4288268,NA
z_b0[2],0.570172,-0.6363734000000001,1.7917574999999997,NA,NA,2.4281308999999998,NA
z_b0[3],-0.22125699999999998,-1.436132,1.0154794999999996,NA,NA,2.4516114999999994,NA
z_b0[4],0.3734655,-1.1127204999999998,1.8995175,NA,NA,3.012238,NA
z_b0[5],-0.5569934999999999,-2.08802,1.0941394999999998,NA,NA,3.1821595,NA
z_b0[6],-0.470934,-2.0062535,1.009581499999999,NA,NA,3.015834999999999,NA
z_b0[7],-0.032357300000000006,-1.4589925,1.4234399999999987,NA,NA,2.8824324999999984,NA
z_b0[8],1.3051650000000001,0.5086286,2.1094535,NA,NA,1.6008248999999999,NA
z_b0[9],-0.7313475,-1.8186785,0.3169037499999998,NA,NA,2.1355822499999997,NA
z_b0[10],-0.206957,-1.8457919999999999,1.4550289999999995,NA,NA,3.300820999999999,NA
z_b0[11],0.1527335,-1.5987909999999999,1.8585279999999995,NA,NA,3.457318999999999,NA
z_b0[12],-0.2214465,-1.8957905,1.4893084999999995,NA,NA,3.3850989999999994,NA
z_b0[13],0.10731450000000001,-0.45592869999999996,0.6789414499999996,NA,NA,1.1348701499999996,NA
z_b0[14],-0.24461100000000002,-1.9493429999999998,1.4442654999999998,NA,NA,3.3936084999999996,NA
z_b0[15],-0.758719,-2.325487,0.8291321999999994,NA,NA,3.154619199999999,NA
z_b0[16],0.32551050000000004,-0.39126779999999994,1.0391334999999997,NA,NA,1.4304012999999998,NA
z_b0[17],0.345689,-0.16302979999999997,0.8442364,NA,NA,1.0072662,NA
z_b0[18],-0.9190745,-2.2361524999999998,0.4267551499999973,NA,NA,2.662907649999997,NA
z_b0[19],1.190445,0.5647361000000001,1.8145844999999992,NA,NA,1.249848399999999,NA
z_b0[20],-0.1095215,-0.6361110000000001,0.41485694999999967,NA,NA,1.0509679499999998,NA
z_b0[21],-1.48247,-2.7765994999999997,-0.14794830000000025,NA,NA,2.6286511999999993,NA
z_b0[22],-0.9906200000000001,-2.4251760000000004,0.5294317499999998,NA,NA,2.95460775,NA
z_b0[23],-0.6436925,-2.1498135,0.8344271499999998,NA,NA,2.98424065,NA
z_b0[24],-0.2929165,-1.886174,1.3444169999999986,NA,NA,3.2305909999999987,NA
z_b0[25],-0.0472012,-1.321502,1.252351499999999,NA,NA,2.573853499999999,NA
z_b0[26],-0.182039,-1.842861,1.4672954999999972,NA,NA,3.310156499999997,NA
z_b0[27],-0.2530595,-1.8278820000000002,1.3781494999999997,NA,NA,3.2060315,NA
z_b0[28],1.37512,0.006235375000000141,2.6647195,NA,NA,2.6584841249999998,NA
z_b0[29],0.057890750000000005,-1.615797,1.721239999999999,NA,NA,3.3370369999999987,NA
z_b0[30],0.6669235,-0.66184505,2.0155564999999998,NA,NA,2.67740155,NA
z_b0[31],-0.2980735,-1.6306174999999998,0.9922947499999996,NA,NA,2.6229122499999993,NA
z_b0[32],-0.06955164999999999,-1.7737684999999999,1.5564349999999996,NA,NA,3.3302034999999997,NA
z_b0[33],-0.07787685,-1.7855279999999998,1.5876419999999973,NA,NA,3.3731699999999973,NA
z_b0[34],-8.562395e-4,-1.7377639999999999,1.6722264999999994,NA,NA,3.4099904999999993,NA
z_b0[35],-0.253917,-1.5907284999999998,1.0889619999999973,NA,NA,2.679690499999997,NA
b1,0.8957275,0.8593744,0.9319904999999999,NA,NA,0.07261609999999996,NA
b2,-0.228204,-0.2553151,-0.20204440000000004,NA,NA,0.053270699999999976,NA
b3,0.145005,0.1200519,0.17055035,NA,NA,0.050498449999999986,NA
b4,-0.00301491,-0.027834084999999998,0.022071079999999986,NA,NA,0.04990516499999999,NA
b5,-0.04269655,-0.1315125,0.04576322499999997,NA,NA,0.17727572499999997,NA
b6,0.002380165,-0.015046629999999998,0.020485239999999995,NA,NA,0.03553186999999999,NA
b7,0.011020599999999998,-0.0089672865,0.02983139499999999,NA,NA,0.03879868149999999,NA
b8,-0.09875909999999999,-0.12704935,-0.07013335500000002,NA,NA,0.05691599499999998,NA
b9,-0.02092265,-0.054480799999999996,0.011420244999999992,NA,NA,0.06590104499999999,NA
b10,0.0322205,0.027928849999999998,0.03659083,NA,NA,0.00866198,NA
b11,-3.11036e-4,-3.8251415e-4,-2.4246215000000006e-4,NA,NA,1.400519999999999e-4,NA
b12,-0.377089,-0.42602025,-0.3274591500000001,NA,NA,0.0985610999999999,NA
b13,0.08470525000000001,0.030331170000000005,0.14007579999999997,NA,NA,0.10974462999999997,NA
sigma,0.948268,0.8983673,1.0001135,NA,NA,0.10174620000000012,NA
b0[1],1.971985,1.7751515000000002,2.1721074999999996,NA,NA,0.3969559999999994,NA
b0[2],2.02296,1.7863885,2.2842625,NA,NA,0.49787400000000015,NA
b0[3],1.910115,1.679346,2.1522219999999996,NA,NA,0.47287599999999963,NA
b0[4],1.9951349999999999,1.7223235,2.2871954999999997,NA,NA,0.5648719999999998,NA
b0[5],1.867295,1.5668955,2.1510705,NA,NA,0.5841749999999999,NA
b0[6],1.876605,1.5913220000000001,2.1465360000000002,NA,NA,0.5552140000000001,NA
b0[7],1.9402599999999999,1.6646485,2.2023335,NA,NA,0.537685,NA
b0[8],2.1272450000000003,1.9225565000000002,2.3673575,NA,NA,0.44480099999999956,NA
b0[9],1.839785,1.5968164999999999,2.061339,NA,NA,0.46452249999999995,NA
b0[10],1.91322,1.611051,2.209623,NA,NA,0.5985720000000001,NA
b0[11],1.9642249999999999,1.666928,2.2635064999999996,NA,NA,0.5965784999999997,NA
b0[12],1.91129,1.6135480000000002,2.2049404999999997,NA,NA,0.5913924999999995,NA
b0[13],1.9588649999999999,1.7743015,2.144762,NA,NA,0.3704605000000001,NA
b0[14],1.90665,1.601937,2.203175,NA,NA,0.6012379999999999,NA
b0[15],1.8387850000000001,1.5381885,2.1122594999999995,NA,NA,0.5740709999999996,NA
b0[16],1.988565,1.7944255,2.1849855,NA,NA,0.3905599999999998,NA
b0[17],1.992425,1.8078914999999998,2.179112,NA,NA,0.3712205000000002,NA
b0[18],1.812795,1.5367959999999998,2.0553304999999997,NA,NA,0.5185344999999999,NA
b0[19],2.11364,1.9152874999999998,2.324866,NA,NA,0.4095785000000003,NA
b0[20],1.928535,1.7425274999999998,2.106144,NA,NA,0.36361650000000023,NA
b0[21],1.7377449999999999,1.4407555,1.987306,NA,NA,0.5465504999999999,NA
b0[22],1.80459,1.5078945000000001,2.0609054999999996,NA,NA,0.5530109999999995,NA
b0[23],1.84937,1.5673154999999999,2.11944,NA,NA,0.5521245000000001,NA
b0[24],1.9047299999999998,1.6095,2.1879705,NA,NA,0.5784705000000001,NA
b0[25],1.93865,1.680918,2.181337,NA,NA,0.5004190000000002,NA
b0[26],1.9187349999999999,1.6174255000000002,2.217605,NA,NA,0.6001794999999996,NA
b0[27],1.91107,1.6233455,2.1931179999999997,NA,NA,0.5697724999999996,NA
b0[28],2.135345,1.8825869999999998,2.4266845,NA,NA,0.5440975000000001,NA
b0[29],1.9490500000000002,1.650372,2.256241,NA,NA,0.6058690000000002,NA
b0[30],2.036015,1.777659,2.305605,NA,NA,0.5279459999999998,NA
b0[31],1.900575,1.637678,2.1583175,NA,NA,0.5206394999999999,NA
b0[32],1.930865,1.6248425,2.2272629999999998,NA,NA,0.6024204999999998,NA
b0[33],1.931145,1.6207420000000001,2.2276,NA,NA,0.6068579999999997,NA
b0[34],1.941335,1.6371225,2.2448934999999994,NA,NA,0.6077709999999994,NA
b0[35],1.9134250000000002,1.645819,2.1515215,NA,NA,0.5057024999999999,NA
ln_DDS_rep[1],3.416505,1.821342,4.993821,NA,NA,3.1724789999999996,NA
ln_DDS_rep[2],2.491415,0.9710731,4.134405999999999,NA,NA,3.1633328999999994,NA
