variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,4.2844750000000005,3.9880174999999998,4.606734,1.0063528818479885,631.0981349570088,0.6187165000000006,TRUE
b_DBH_std,-0.558427,-0.65773065,-0.46191570000000004,1.0016213501999325,2067.4300665031024,0.19581494999999993,TRUE
b_IDBH_stdE2,-0.05997895,-0.10050049999999999,-0.01664924500000002,1.0010567268690571,2960.512098809661,0.08385125499999997,TRUE
b_BAL_std,-3.1152300000000004,-3.2290015000000003,-3.0032925,1.000706812749101,1862.0153095383948,0.22570900000000016,TRUE
b_CR_std,0.7952440000000001,0.74181115,0.8508355,1.0002030868059697,4634.038364010206,0.10902434999999999,TRUE
b_SI_std,0.01966295,-0.030667065,0.071743725,0.9999534080190121,4342.1538704819495,0.10241079,TRUE
b_BA_std,3.010365,2.8830785,3.132898,1.0015499703703838,1679.1106931000604,0.24981950000000008,TRUE
sd_SPCD__Intercept,0.731036,0.5330560999999999,1.0350979999999999,1.001609773746902,823.2883032909832,0.5020418999999999,TRUE
Intercept,4.212395,3.9231309999999997,4.5321945,1.0073078972861969,621.6766789537542,0.6090635000000004,TRUE
"r_SPCD[11,Intercept]",-0.3488205,-0.7393596499999999,0.01991083499999991,1.0041550871157257,961.8178055813808,0.7592704849999998,TRUE
"r_SPCD[17,Intercept]",-0.446492,-0.977349,0.07697762499999988,1.0013826435805877,1815.4402878290146,1.0543266249999999,TRUE
"r_SPCD[19,Intercept]",-1.743395,-2.2730390000000003,-1.2216295000000004,1.0014199107005954,1558.458800022382,1.0514094999999999,TRUE
"r_SPCD[22,Intercept]",-0.245149,-1.1062940000000001,0.6137541999999997,1.001044697184248,3640.309817554565,1.7200482,TRUE
"r_SPCD[41,Intercept]",0.175527,-0.76009735,1.2289080000000001,1.0001935123842611,4256.270399067601,1.9890053500000002,TRUE
"r_SPCD[42,Intercept]",0.407978,-0.5879705,1.6061879999999968,1.0019180962174812,4951.566587941087,2.194158499999997,TRUE
"r_SPCD[81,Intercept]",-0.010507200000000001,-0.81914045,0.8640073499999998,1.0016477734005924,4606.155196321009,1.6831478,TRUE
"r_SPCD[98,Intercept]",-0.30488899999999997,-0.72277875,0.09599134999999998,1.0027755659187068,1084.1705317977485,0.8187701000000001,TRUE
"r_SPCD[108,Intercept]",-0.49972300000000003,-1.0309415,0.029408204999999934,1.0015149077880432,2021.540133523897,1.060349705,TRUE
"r_SPCD[119,Intercept]",-0.213945,-1.4015309999999999,0.8824582499999997,1.001307229099345,3952.3231728102705,2.2839892499999994,TRUE
"r_SPCD[122,Intercept]",0.037692199999999995,-1.151809,1.2813559999999986,1.001909825166449,4290.529730290054,2.433164999999999,TRUE
"r_SPCD[130,Intercept]",0.189982,-0.9629400499999999,1.4098699999999975,0.9998675158224064,4669.611927445021,2.3728100499999973,TRUE
"r_SPCD[202,Intercept]",-0.240557,-0.5473413,0.04416912999999989,1.0056352176727386,640.1754584288047,0.5915104299999999,TRUE
"r_SPCD[212,Intercept]",0.035655450000000005,-1.150442,1.2859235,1.0008110476461805,3946.9332349753,2.4363655,TRUE
"r_SPCD[231,Intercept]",1.145635,0.18660279999999999,2.3753539999999997,1.0012071171078025,2255.789381428885,2.1887511999999996,TRUE
"r_SPCD[242,Intercept]",1.013065,0.6314683,1.4085800000000002,1.0023793192087196,1243.6979783302768,0.7771117000000002,TRUE
"r_SPCD[263,Intercept]",0.0956843,-0.21656455,0.3921783,1.0064596772758345,682.9299581730531,0.60874285,TRUE
"r_SPCD[264,Intercept]",-0.049061999999999995,-0.91192875,0.8559201499999989,1.0015450146619074,4518.306836719354,1.7678488999999988,TRUE
"r_SPCD[312,Intercept]",0.9017775,0.52367465,1.2834564999999998,1.0048335927086034,1123.6225406489216,0.7597818499999998,TRUE
"r_SPCD[351,Intercept]",-0.31756249999999997,-0.6254298,-0.01834993500000023,1.0047953022825873,694.1803274446532,0.6070798649999998,TRUE
"r_SPCD[361,Intercept]",-0.47840550000000004,-0.9959477499999999,0.02763025499999982,1.0019446103493566,1768.9179559070838,1.0235780049999996,TRUE
"r_SPCD[375,Intercept]",-0.568281,-1.34487,0.25997314999999993,1.0004481953842206,2969.3904714135406,1.60484315,TRUE
"r_SPCD[431,Intercept]",-0.1162995,-0.8258237500000001,0.6162663999999997,1.0007408767430217,3232.4392175600983,1.4420901499999998,TRUE
"r_SPCD[492,Intercept]",0.09655975,-0.8802766999999999,1.1071174999999998,1.001099913006374,3987.8405398645314,1.9873941999999998,TRUE
"r_SPCD[542,Intercept]",0.25375400000000004,-0.38081144999999994,0.9935398999999998,1.0011287324326315,2714.257264352298,1.3743513499999997,TRUE
"r_SPCD[631,Intercept]",0.2249765,-0.61632875,1.1482489999999996,1.0008166395263243,4940.811685197791,1.7645777499999995,TRUE
"r_SPCD[661,Intercept]",0.8393165,-0.079896235,1.9634794999999998,1.0012789949506127,2979.492458388184,2.0433757349999997,TRUE
"r_SPCD[747,Intercept]",-0.465487,-1.242588,0.33363219999999977,1.0040546934342383,2881.7097027579825,1.5762201999999998,TRUE
"r_SPCD[763,Intercept]",-0.01781825,-1.0643675,1.0587369999999998,1.0004211846866644,4523.853840036504,2.1231044999999997,TRUE
"r_SPCD[768,Intercept]",-0.129102,-0.6939422500000001,0.46149609999999996,1.0016929572857745,2533.7163954887737,1.15543835,TRUE
"r_SPCD[771,Intercept]",0.07428155,-1.183656,1.3240929999999975,1.0008503334908192,4818.944557905421,2.507748999999998,TRUE
"r_SPCD[815,Intercept]",0.1373875,-0.53036045,0.8295056,1.0016618473305554,4005.557751419876,1.35986605,TRUE
"r_SPCD[818,Intercept]",-0.1817435,-1.1917324999999999,0.8090691999999994,1.0000629497568814,4285.288507916594,2.0008016999999994,TRUE
