SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
11,0.51869922925,6.34156323925,567.6830425281925,-0.042625342974,-1.641235000474,713.2607877659452,-1.7047390935386877,1016,0.7,0.30000000000000004,669.5874641946193,-1.6856878656192813,NA,669.5874641946193,0.7,0.30000000000000004,qr_dominant
15,0.1675058128255,5.9903698228255,399.5623498838192,-0.0127221979638125,-1.6113318554638123,553.3960859409142,-1.6850320548735624,815,0.7,0.30000000000000004,507.2459651237857,-1.6629219950506375,NA,507.2459651237857,0.7,0.30000000000000004,qr_dominant
17,0.0526630522400125,5.875527062240012,356.21235728548584,-0.03096636742885125,-1.6295760249288511,483.7325149361794,-1.6391214500667046,1494,0.7,0.30000000000000004,445.47646764097135,-1.6362578225253486,NA,445.47646764097135,0.7,0.30000000000000004,qr_dominant
19,0.142774101518,5.965638111518,389.8016856721265,-0.02632725973858175,-1.6249369172385817,556.6684322533926,-1.598140114475224,468,0.7,0.30000000000000004,506.60840827901274,-1.6061791553042313,NA,506.60840827901274,0.7,0.30000000000000004,qr_dominant
20,0.4500498570125,6.2729138670125,530.0195364072146,-0.014852244097625,-1.613461901597625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.46614991625,6.28901392625,538.6219461740343,-0.03500942227879625,-1.6336190797787962,697.1263811872141,-1.8068313270806893,148,0.7,0.30000000000000004,649.5750506832601,-1.7548676528901213,NA,649.5750506832601,0.7,0.30000000000000004,qr_dominant
22,0.43044884675,6.25331285675,519.7317726932911,-0.01557603128445,-1.61418568878445,734.9013915876752,-1.246396337099231,179,0.7,0.30000000000000004,670.35050591936,-1.3567331426047966,NA,670.35050591936,0.7,0.30000000000000004,qr_dominant
41,0.3030165372275,6.1258805472275,457.54742805741864,0.0074237873913425,-1.5911858701086574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.464032409,6.286896419,537.4826169926162,0.01735003061776625,-1.5812596268822336,678.4641737994954,-1.4968101320444398,46,0.46,0.54,569.9083750581984,-1.5424128592568485,NA,602.3341331237807,0.23,0.77,bayes_dominant
64,-0.784160758,5.038703252,154.269836161668,0.03557507159860875,-1.5630345859013912,241.4042773553651,-1.4501056263145056,421,0.7,0.30000000000000004,215.26394499725598,-1.4839843141905713,NA,215.263944997256,0.7,0.30000000000000004,qr_dominant
72,-0.3657711132625,5.4570928967375,234.41496434736976,-0.00940623958618125,-1.608015897086181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,-0.0058278640055075,5.817036145994493,335.9747962518414,-0.11517690485875,-1.71378656235875,465.3752575692028,-1.78774178478898,396,0.7,0.30000000000000004,426.55511917399434,-1.765555218059911,NA,426.55511917399434,0.7,0.30000000000000004,qr_dominant
81,0.0946540025004875,5.917518012500487,371.4885387861028,0.07803243598145,-1.52057722151855,565.2474021348038,-1.1786722191111725,103,0.7,0.30000000000000004,471.27435341068383,-1.2812437198333857,NA,507.11974313019346,0.515,0.485,qr_dominant
93,0.041303733307425,5.864167743307425,352.1889225140109,-0.0048995105332,-1.6035091680332,482.78021445359445,-1.4627950666987874,333,0.7,0.30000000000000004,443.60282687171934,-1.5050092970991111,NA,443.60282687171934,0.7,0.30000000000000004,qr_dominant
98,0.23270301627,6.05556702627,426.4806626461582,0.06144462444961375,-1.537165033050386,552.7835998362604,-1.545363242852783,113,0.7,0.30000000000000004,497.84182215856595,-1.542903779912064,NA,514.8927186792297,0.565,0.43500000000000005,qr_dominant
101,-0.312162970525,5.510701039475,247.3244505101781,0.02313941255320625,-1.5754702449467937,294.7639137165559,-1.6926892404070266,46,0.46,0.54,258.235527047645,-1.629390982858501,NA,269.1466035851119,0.23,0.77,bayes_dominant
103,0.2538075954722875,6.076671605472288,435.57700720536224,-0.039771299307215,-1.638380956807215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,-0.126157053216425,5.696706956783575,297.8848364014055,-0.0578211764430875,-1.6564308339430875,407.1887518466358,-1.7587556296356053,1747,0.7,0.30000000000000004,374.3975772130667,-1.7280581909278498,NA,374.3975772130667,0.7,0.30000000000000004,qr_dominant
116,-0.471320485875,5.351543524125,210.93362786811903,-0.02352325367583625,-1.6221329111758362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0.0075498930900325,5.830413903090032,340.4995837391628,-0.003344921575815,-1.601954579075815,591.7211057317123,-1.4605203117856576,39,0.39,0.61,389.48778052770996,-1.5467952148326536,NA,438.4759773162571,0.195,0.8049999999999999,bayes_dominant
119,-0.2105734828816,5.6122905271184,273.7705993641301,0.163515449452525,-1.435094208047475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,-0.33623976075,5.48662424925,241.440785702681,-0.1252866822,-1.7238963397,334.6250151361176,-1.9186889097034596,4065,0.7,0.30000000000000004,306.6697463060866,-1.8602511387024216,NA,306.6697463060866,0.7,0.30000000000000004,qr_dominant
