variable,estimate
lp__,-1230.99
mu_b0,1.08809
sigma_b0,1.76533
z_b0[1],-0.203094
z_b0[2],0.215696
z_b0[3],-0.143882
z_b0[4],0.0141754
z_b0[5],-0.0712655
z_b0[6],-0.0424808
z_b0[7],0.186716
z_b0[8],0.33415
z_b0[9],-0.0974467
z_b0[10],-0.0913072
z_b0[11],-0.362825
z_b0[12],0.103659
z_b0[13],0.256021
z_b0[14],0.344603
z_b0[15],0.115082
z_b0[16],0.100313
z_b0[17],-0.0224399
z_b0[18],-0.180393
z_b0[19],-0.139003
z_b0[20],-0.0558957
z_b0[21],-0.113778
z_b0[22],0.0153297
z_b0[23],0.191922
z_b0[24],0.0650772
z_b0[25],0.13171
z_b0[26],0.214781
z_b0[27],-0.0470556
z_b0[28],-0.315379
z_b0[29],0.00655998
z_b0[30],0.184504
z_b0[31],-0.224779
z_b0[32],-0.102563
z_b0[33],0.374092
z_b0[34],-0.112374
z_b0[35],0.163674
z_b0[36],-0.052259
z_b0[37],-0.354595
z_b0[38],-0.163605
z_b0[39],-0.253281
z_b0[40],0.14707
z_b0[41],0.36345
z_b0[42],-0.0558903
z_b0[43],-0.409387
z_b0[44],-0.539312
z_b0[45],-0.25823
z_b0[46],0.0333675
z_b0[47],0.111437
z_b0[48],0.110191
z_b0[49],0.205562
z_b0[50],-0.00538398
z_b0[51],0.182964
z_b0[52],0.294004
z_b0[53],0.162984
z_b0[54],-0.163448
z_b0[55],-0.17612
z_b0[56],-0.0879387
z_b0[57],-0.0351268
z_b0[58],0.205936
z_b0[59],0.0559343
z_b0[60],-0.167585
z_b0[61],0.339546
z_b0[62],0.18273
z_b0[63],0.0828696
z_b0[64],-0.0901694
z_b0[65],0.0452947
z_b0[66],0.266314
z_b0[67],0.117281
z_b0[68],-0.302271
z_b0[69],-0.221548
z_b0[70],-0.0761451
z_b0[71],-0.0758004
z_b0[72],0.269148
z_b0[73],-0.155803
z_b0[74],-0.137233
z_b0[75],0.326165
z_b0[76],0.245074
z_b0[77],-0.148255
z_b0[78],0.15181
z_b0[79],0.038539
z_b0[80],0.155698
z_b0[81],-0.0250297
z_b0[82],0.291648
z_b0[83],-0.666141
z_b0[84],0.17701
z_b0[85],0.0768512
z_b0[86],-0.392471
z_b0[87],-0.0342431
z_b0[88],-0.207208
z_b0[89],0.160631
z_b0[90],0.410346
z_b0[91],0.0602433
z_b0[92],-0.0349044
z_b0[93],0.0541083
z_b0[94],0.0732925
z_b0[95],-0.312827
z_b0[96],0.0241471
z_b0[97],-0.0465768
z_b0[98],-0.644132
z_b0[99],-0.272787
z_b0[100],-0.182808
z_b0[101],-0.255361
z_b0[102],0.577956
z_b0[103],0.567212
z_b0[104],0.0262181
z_b0[105],-0.300365
z_b0[106],-0.0568606
z_b0[107],0.0469268
z_b0[108],-0.488427
z_b0[109],0.120198
z_b0[110],0.192398
z_b0[111],0.0661485
z_b0[112],-0.0645761
b1,0.887832
b2,-0.0313699
b3,-0.0227472
b4,-0.0418488
b5,0.00743073
b6,-0.00505837
b7,0.00224408
b8,-0.0701714
b9,0.0181456
b10,0.0198389
b11,-6.54232e-5
b12,-0.152806
b13,-0.019852
sigma,0.773574
b0[1],0.729558
b0[2],1.46886
b0[3],0.834087
b0[4],1.11311
b0[5],0.962279
b0[6],1.01309
b0[7],1.4177
b0[8],1.67797
b0[9],0.916061
b0[10],0.926899
b0[11],0.447579
b0[12],1.27108
b0[13],1.54005
b0[14],1.69643
b0[15],1.29124
b0[16],1.26517
b0[17],1.04847
b0[18],0.769632
b0[19],0.842699
b0[20],0.989412
b0[21],0.887231
b0[22],1.11515
b0[23],1.42689
b0[24],1.20297
b0[25],1.3206
b0[26],1.46725
b0[27],1.00502
b0[28],0.531337
b0[29],1.09967
b0[30],1.4138
b0[31],0.691276
b0[32],0.907029
b0[33],1.74848
b0[34],0.889709
b0[35],1.37702
b0[36],0.995832
b0[37],0.462109
b0[38],0.799269
b0[39],0.640962
b0[40],1.34771
b0[41],1.7297
b0[42],0.989422
b0[43],0.365383
b0[44],0.136022
b0[45],0.632224
b0[46],1.14699
b0[47],1.28481
b0[48],1.28261
b0[49],1.45097
b0[50],1.07858
b0[51],1.41108
b0[52],1.6071
b0[53],1.37581
b0[54],0.799547
b0[55],0.777176
b0[56],0.932846
b0[57],1.02608
b0[58],1.45163
b0[59],1.18683
b0[60],0.792244
b0[61],1.6875
b0[62],1.41067
b0[63],1.23438
b0[64],0.928908
b0[65],1.16805
b0[66],1.55822
b0[67],1.29513
b0[68],0.554479
b0[69],0.696981
b0[70],0.953665
b0[71],0.954274
b0[72],1.56322
b0[73],0.813043
b0[74],0.845825
b0[75],1.66388
b0[76],1.52072
b0[77],0.826367
b0[78],1.35608
b0[79],1.15612
b0[80],1.36294
b0[81],1.0439
b0[82],1.60294
b0[83],-0.0878742
b0[84],1.40057
b0[85],1.22375
b0[86],0.395246
b0[87],1.02764
b0[88],0.722296
b0[89],1.37165
b0[90],1.81248
b0[91],1.19444
b0[92],1.02647
b0[93],1.18361
b0[94],1.21747
b0[95],0.535843
b0[96],1.13071
b0[97],1.00586
b0[98],-0.0490196
b0[99],0.606526
b0[100],0.765371
b0[101],0.63729
b0[102],2.10837
b0[103],2.0894
b0[104],1.13437
b0[105],0.557843
b0[106],0.987709
b0[107],1.17093
b0[108],0.225851
b0[109],1.30028
b0[110],1.42773
b0[111],1.20486
b0[112],0.974088
ln_DDS_rep[1],2.75047
ln_DDS_rep[2],2.69783
ln_DDS_rep[3],3.09119
ln_DDS_rep[4],2.44911
ln_DDS_rep[5],2.22847
ln_DDS_rep[6],2.50709
ln_DDS_rep[7],2.76608
ln_DDS_rep[8],1.61062
ln_DDS_rep[9],2.00665
ln_DDS_rep[10],0.525865
ln_DDS_rep[11],2.31255
ln_DDS_rep[12],-0.356935
ln_DDS_rep[13],1.28361
ln_DDS_rep[14],2.8407
ln_DDS_rep[15],4.09556
ln_DDS_rep[16],3.58195
ln_DDS_rep[17],2.86383
ln_DDS_rep[18],1.5848
ln_DDS_rep[19],2.6841
ln_DDS_rep[20],-0.998216
ln_DDS_rep[21],2.76154
ln_DDS_rep[22],3.78092
