variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,1.9364501475,0.06431113489840795,1.81429,2.06491825,1.002786677209665,1181.739526662156,1944.7141459561237
DBH_std,0.304973816,0.03628194547955759,0.2345643250000001,0.37490832500000004,1.0015833300082613,2476.259581546484,2845.8749270723147
IDBH_stdE2,-0.11100643425,0.009536511261498992,-0.129624625,-0.0920866925,1.0000838525459372,6031.389485411594,3182.2711951514816
BAL_std,-0.305594724,0.05722332356627249,-0.4219459,-0.19479927499999997,1.0024224990635962,2377.618621158702,2910.239034198676
CR_std,0.36416439075,0.017387757769350993,0.32893134999999996,0.39867425000000006,1.002844107507354,8551.286143175048,2846.859424404813
SI_std,0.0241952766161,0.017357283042583577,-0.009407014499999986,0.05754882000000001,1.001442490263625,6758.329451886559,3161.7333891262424
BA_std,-0.074385758675,0.020156605272293758,-0.113886475,-0.0359916325,1.0011890724116772,6950.127217985749,3166.9505314227085
DBH_BAL,-0.2377340605,0.019267823549026467,-0.27645574999999994,-0.20066477500000002,1.0019070992026207,6310.414515452963,3443.628529155856
ELEV_std,0.192385637025,0.028120746711607896,0.13710435,0.24896585000000002,1.0006917054004034,5640.504728836576,3241.2102525724395
SLOPE_std,0.129282799725,0.02604654728248597,0.07908701750000001,0.180742125,1.0029818218534263,6694.4587206494225,3025.3204023003314
