variable,estimate
lp__,-4709.42
mu_b0,1.36183
sigma_b0,0.749851
z_b0[1],-0.164055
z_b0[2],0.539008
z_b0[3],0.501698
z_b0[4],-0.658663
z_b0[5],0.791257
z_b0[6],0.827423
z_b0[7],0.109657
z_b0[8],-0.646502
z_b0[9],-0.0320129
z_b0[10],-0.142865
z_b0[11],0.136658
z_b0[12],-0.35356
z_b0[13],-0.527311
z_b0[14],-0.018991
z_b0[15],-0.147253
z_b0[16],-0.119039
z_b0[17],0.492487
z_b0[18],-0.0705464
z_b0[19],-0.054282
z_b0[20],-0.0214615
z_b0[21],0.728996
z_b0[22],-0.0167854
z_b0[23],-0.0463582
z_b0[24],-0.276162
z_b0[25],0.0375936
z_b0[26],-0.00390132
z_b0[27],0.122599
z_b0[28],0.0394589
z_b0[29],-0.708982
z_b0[30],-0.314041
b1,1.07461
b2,-0.343482
b3,0.11862
b4,-0.0822172
b5,0.00968887
b6,-5.85601e-4
b7,-0.012103
b8,0.00502445
b9,0.00137552
b10,0.0174351
b11,-2.27571e-6
b12,-0.202709
b13,0.00652404
sigma,0.709421
b0[1],1.23881
b0[2],1.766
b0[3],1.73803
b0[4],0.86793
b0[5],1.95515
b0[6],1.98227
b0[7],1.44406
b0[8],0.877049
b0[9],1.33782
b0[10],1.2547
b0[11],1.4643
b0[12],1.09671
b0[13],0.966424
b0[14],1.34759
b0[15],1.25141
b0[16],1.27257
b0[17],1.73112
b0[18],1.30893
b0[19],1.32113
b0[20],1.34574
b0[21],1.9084700000000001
b0[22],1.34924
b0[23],1.32707
b0[24],1.15475
b0[25],1.39002
b0[26],1.3589
b0[27],1.45376
b0[28],1.39142
b0[29],0.830198
b0[30],1.12635
ln_DDS_rep[1],1.84977
ln_DDS_rep[2],2.73564
ln_DDS_rep[3],2.96278
ln_DDS_rep[4],2.33331
ln_DDS_rep[5],1.72601
ln_DDS_rep[6],2.0636
ln_DDS_rep[7],2.1417
ln_DDS_rep[8],1.92956
ln_DDS_rep[9],2.17086
ln_DDS_rep[10],1.3258
ln_DDS_rep[11],3.50153
ln_DDS_rep[12],4.48157
ln_DDS_rep[13],1.62622
ln_DDS_rep[14],2.44868
ln_DDS_rep[15],3.05842
ln_DDS_rep[16],1.86886
ln_DDS_rep[17],3.06418
ln_DDS_rep[18],4.27921
ln_DDS_rep[19],0.197239
ln_DDS_rep[20],1.60181
ln_DDS_rep[21],2.66346
ln_DDS_rep[22],3.38636
ln_DDS_rep[23],2.19852
ln_DDS_rep[24],-1.3507
ln_DDS_rep[25],1.95246
ln_DDS_rep[26],2.20205
ln_DDS_rep[27],-0.266597
ln_DDS_rep[28],4.15997
ln_DDS_rep[29],4.84596
ln_DDS_rep[30],5.54993
ln_DDS_rep[31],3.12728
ln_DDS_rep[32],0.645011
ln_DDS_rep[33],2.67507
ln_DDS_rep[34],1.65751
ln_DDS_rep[35],3.74792
ln_DDS_rep[36],1.1146
ln_DDS_rep[37],3.81837
ln_DDS_rep[38],3.06953
ln_DDS_rep[39],1.59435
ln_DDS_rep[40],3.17097
ln_DDS_rep[41],3.9492
ln_DDS_rep[42],1.07933
ln_DDS_rep[43],3.27482
ln_DDS_rep[44],-0.0824742
ln_DDS_rep[45],2.84058
ln_DDS_rep[46],3.67489
ln_DDS_rep[47],2.90358
ln_DDS_rep[48],3.73481
ln_DDS_rep[49],2.19761
ln_DDS_rep[50],2.06304
ln_DDS_rep[51],5.08619
ln_DDS_rep[52],2.89134
ln_DDS_rep[53],2.75314
ln_DDS_rep[54],-0.122174
ln_DDS_rep[55],-0.603361
ln_DDS_rep[56],-1.02741
ln_DDS_rep[57],1.91152
ln_DDS_rep[58],2.40612
ln_DDS_rep[59],1.75816
ln_DDS_rep[60],1.82535
ln_DDS_rep[61],3.57166
ln_DDS_rep[62],2.34894
ln_DDS_rep[63],2.0964
ln_DDS_rep[64],2.21046
ln_DDS_rep[65],3.92014
ln_DDS_rep[66],2.62141
ln_DDS_rep[67],1.69808
ln_DDS_rep[68],2.90456
ln_DDS_rep[69],2.85032
ln_DDS_rep[70],2.24529
ln_DDS_rep[71],2.34751
ln_DDS_rep[72],2.32346
ln_DDS_rep[73],3.21604
ln_DDS_rep[74],2.97621
ln_DDS_rep[75],3.0267
ln_DDS_rep[76],2.71558
ln_DDS_rep[77],-0.394821
ln_DDS_rep[78],2.1923
ln_DDS_rep[79],2.23074
ln_DDS_rep[80],2.96774
ln_DDS_rep[81],0.404636
ln_DDS_rep[82],2.00688
ln_DDS_rep[83],1.74727
ln_DDS_rep[84],2.76947
ln_DDS_rep[85],2.59876
ln_DDS_rep[86],2.10207
ln_DDS_rep[87],3.29385
ln_DDS_rep[88],2.47445
ln_DDS_rep[89],1.40709
ln_DDS_rep[90],2.14478
ln_DDS_rep[91],1.10676
ln_DDS_rep[92],3.70707
ln_DDS_rep[93],2.45494
ln_DDS_rep[94],1.52556
ln_DDS_rep[95],2.90645
ln_DDS_rep[96],1.44493
ln_DDS_rep[97],2.7077
ln_DDS_rep[98],-0.812034
ln_DDS_rep[99],2.84358
ln_DDS_rep[100],4.18523
ln_DDS_rep[101],2.61682
ln_DDS_rep[102],1.58443
ln_DDS_rep[103],2.43075
ln_DDS_rep[104],3.47759
ln_DDS_rep[105],4.97607
ln_DDS_rep[106],-1.13669
ln_DDS_rep[107],1.21529
ln_DDS_rep[108],1.84757
ln_DDS_rep[109],3.80471
ln_DDS_rep[110],5.00577
ln_DDS_rep[111],-0.116751
ln_DDS_rep[112],3.41058
ln_DDS_rep[113],3.43531
ln_DDS_rep[114],2.05995
ln_DDS_rep[115],3.83381
ln_DDS_rep[116],3.0419
ln_DDS_rep[117],4.28915
ln_DDS_rep[118],1.24687
ln_DDS_rep[119],3.87617
ln_DDS_rep[120],-0.0539307
ln_DDS_rep[121],3.59425
ln_DDS_rep[122],2.2725
ln_DDS_rep[123],2.52911
ln_DDS_rep[124],2.34483
ln_DDS_rep[125],1.63816
ln_DDS_rep[126],2.95039
ln_DDS_rep[127],3.70387
ln_DDS_rep[128],3.81852
ln_DDS_rep[129],2.14833
ln_DDS_rep[130],0.976866
ln_DDS_rep[131],0.458149
ln_DDS_rep[132],1.90628
ln_DDS_rep[133],0.537918
ln_DDS_rep[134],4.23397
ln_DDS_rep[135],2.60918
ln_DDS_rep[136],2.41409
ln_DDS_rep[137],2.38285
ln_DDS_rep[138],1.52101
ln_DDS_rep[139],2.45707
ln_DDS_rep[140],1.49148
ln_DDS_rep[141],3.09133
ln_DDS_rep[142],3.72708
ln_DDS_rep[143],3.05711
ln_DDS_rep[144],1.5169
ln_DDS_rep[145],1.83581
ln_DDS_rep[146],1.39805
ln_DDS_rep[147],1.43245
ln_DDS_rep[148],3.12507
ln_DDS_rep[149],2.76575
ln_DDS_rep[150],3.21301
ln_DDS_rep[151],1.34198
ln_DDS_rep[152],0.510519
ln_DDS_rep[153],2.88601
ln_DDS_rep[154],3.82256
ln_DDS_rep[155],2.33101
ln_DDS_rep[156],1.37839
ln_DDS_rep[157],1.99182
