variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,61.31104505,8.943058029835585,40.110935,78.00293500000001,NA,NA,NA,NA
b_b_Intercept,0.0612024579075,0.019490656694368853,0.02287863,0.1005175,NA,NA,NA,NA
b_c_Intercept,1.226959995,0.01241114958247078,1.2031385000000001,1.2510139999999998,NA,NA,NA,NA
sd_SPCD__a_Intercept,59.79891525,9.558864740924585,44.890097499999996,81.6586475,NA,NA,NA,NA
sd_SPCD__b_Intercept,1.733195895,0.38969148130354236,1.185664,2.48147025,NA,NA,NA,NA
sigma,10.56673495,0.04270845491852736,10.4845,10.649807500000001,NA,NA,NA,NA
"r_SPCD__a[11,Intercept]",111.8013994,21.474386344876816,74.339405,160.62092500000003,NA,NA,NA,NA
"r_SPCD__a[15,Intercept]",76.864137525,9.071521312239419,59.656682499999995,96.9578675,NA,NA,NA,NA
"r_SPCD__a[17,Intercept]",79.300201725,11.480200608941026,56.6285,100.87610000000001,NA,NA,NA,NA
"r_SPCD__a[19,Intercept]",53.76581223,16.449170196644737,24.2982225,86.95227500000001,NA,NA,NA,NA
"r_SPCD__a[20,Intercept]",86.336633625,12.380446119703949,62.558182499999994,116.178,NA,NA,NA,NA
"r_SPCD__a[21,Intercept]",85.379006025,9.383096280380103,67.9487925,106.579,NA,NA,NA,NA
"r_SPCD__a[22,Intercept]",66.03518946,23.306278903259724,24.985995000000003,120.358125,NA,NA,NA,NA
"r_SPCD__a[52,Intercept]",8.7385774542,52.475551155213736,-102.7475,109.23175000000002,NA,NA,NA,NA
"r_SPCD__a[62,Intercept]",-9.9056501384975,22.11112356302874,-39.955380000000005,49.301842500000134,NA,NA,NA,NA
"r_SPCD__a[64,Intercept]",-26.58043500141,8.987051168710815,-43.25596,-5.5177217499999935,NA,NA,NA,NA
"r_SPCD__a[65,Intercept]",-4.565275129775,40.97790630049755,-54.22985250000001,93.48976000000002,NA,NA,NA,NA
"r_SPCD__a[73,Intercept]",70.6957233,18.114211866842876,36.871030000000005,106.64354999999999,NA,NA,NA,NA
"r_SPCD__a[81,Intercept]",32.946625995,9.434059037126003,15.705687500000002,54.23010750000002,NA,NA,NA,NA
"r_SPCD__a[93,Intercept]",112.754561575,12.659542911767776,88.71046,140.30635,NA,NA,NA,NA
"r_SPCD__a[101,Intercept]",-13.6779096844525,9.951935134891283,-31.508395,9.393583750000005,NA,NA,NA,NA
"r_SPCD__a[103,Intercept]",16.4739669055175,18.940383584642923,-12.095672500000001,68.00441000000004,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",35.5173926975,9.128333610505486,18.27,56.714352500000004,NA,NA,NA,NA
"r_SPCD__a[116,Intercept]",68.6337395,10.439560478739613,48.4468975,91.97880749999999,NA,NA,NA,NA
"r_SPCD__a[117,Intercept]",68.966076025,10.73840889511488,49.4878575,93.91924750000001,NA,NA,NA,NA
"r_SPCD__a[119,Intercept]",53.2329788,9.558844224873603,35.62796,74.50836500000001,NA,NA,NA,NA
"r_SPCD__a[122,Intercept]",92.104406175,9.088331329460203,74.56597,111.78382500000001,NA,NA,NA,NA
"r_SPCD__a[137,Intercept]",6.81478287284,35.315720988945145,-32.8536025,116.38255000000004,NA,NA,NA,NA
