variable,estimate
b_Intercept,2.44322
b_DBH_std,-0.554206
b_IDBH_stdE2,0.15225349999999999
b_BAL_std,-0.442614
b_CR_std,0.4600855
b_SI_std,-0.021467899999999998
b_BA_std,0.241426
sd_SPCD__Intercept,0.8865755
Intercept,2.5932899999999997
"r_SPCD[11,Intercept]",0.6499435
"r_SPCD[15,Intercept]",-0.26336950000000003
"r_SPCD[17,Intercept]",-0.848018
"r_SPCD[19,Intercept]",-1.19587
"r_SPCD[20,Intercept]",1.209425
"r_SPCD[21,Intercept]",0.953872
"r_SPCD[22,Intercept]",0.036864049999999995
"r_SPCD[64,Intercept]",0.7109495
"r_SPCD[65,Intercept]",0.0996642
"r_SPCD[73,Intercept]",-1.66058
"r_SPCD[81,Intercept]",-0.1542195
"r_SPCD[93,Intercept]",-0.1211105
"r_SPCD[101,Intercept]",-1.00569
"r_SPCD[103,Intercept]",-0.248561
"r_SPCD[108,Intercept]",-0.392922
"r_SPCD[116,Intercept]",1.85355
"r_SPCD[117,Intercept]",-0.111207
"r_SPCD[119,Intercept]",-0.575974
"r_SPCD[122,Intercept]",0.296111
"r_SPCD[137,Intercept]",0.10510749999999999
"r_SPCD[202,Intercept]",0.0131398
"r_SPCD[231,Intercept]",0.08525289999999999
"r_SPCD[263,Intercept]",0.929914
"r_SPCD[264,Intercept]",0.0158001
"r_SPCD[361,Intercept]",0.301959
"r_SPCD[431,Intercept]",0.2066845
"r_SPCD[746,Intercept]",-0.5571085
"r_SPCD[747,Intercept]",0.03936155
"r_SPCD[815,Intercept]",-0.3628135
"r_SPCD[818,Intercept]",0.2690745
lprior,-3.83711
lp__,-7993.98
