variable,p50,Est.Error,p025,p975,Rhat,Bulk_ESS,Tail_ESS
Intercept,1.995465573,0.3076208874564088,1.3940405,2.618357,1.0035138217036454,481.65385722512144,841.0208066307567
DBH_std,-0.18961716245775,0.1685400027614149,-0.521110775,0.13939677500000006,1.0018739642933465,926.9135676398294,1774.0293112435716
IDBH_stdE2,-0.0389095384912,0.017251207895428194,-0.07200870999999998,-0.005439772499999998,1.0002855101693318,7352.121935158588,2871.407338902759
BAL_std,-0.339764794800675,0.19342287764661079,-0.7302092499999998,0.027164132500000108,1.0033842988443835,899.2727685180981,1723.0311085551589
CR_std,0.476265473,0.01883109620099966,0.438570575,0.5129037750000001,1.0006425283744507,9074.815214470962,3092.158417688953
SI_std,-0.07371623442325,0.023230551040911106,-0.11885024999999999,-0.027911749999999996,1.0000786223238338,7779.555781346239,3018.5011353092577
BA_std,0.1600953936,0.029087386494535215,0.10285322500000002,0.21511807500000002,1.0024068592294555,8096.220407026282,2983.4104205665076
DBH_BAL,-0.612264605,0.025029290079633653,-0.662106675,-0.5650536749999999,1.0008330194035489,7426.9010257609725,3014.3484134059363
ELEV_std,-0.20062391125,0.02170975957099781,-0.24355954999999996,-0.15698584999999998,1.0007900429180403,6250.053126144469,3395.938120849241
SLOPE_std,-0.13086841155,0.016971858167574395,-0.16389814999999996,-0.09755009249999999,1.0008190595787356,8120.0313221257575,2817.5503313891427
