SPCD,n_stands,qr_intercept,qr_slope,qr_sdimax_10,reineke_sdimax
11,220,10.1249827522168,-1.5672863774000014,675.9860928761433,688.6926156779003
15,1947,10.132093003417308,-1.6405638573183476,575.1064312248802,764.0995646157517
17,1115,9.855630913839354,-1.6068402886040212,471.417643877814,668.63900371856
19,105,10.604602921575761,-1.9831328171790523,419.1676081186581,605.594778257372
20,350,10.295614168789406,-1.6556213024379167,654.1948469184204,886.6242352873052
21,203,10.72242951207498,-1.8113618381590904,700.374187303613,933.5749585360969
22,93,9.1837628448047,-1.1208231377099183,737.2832863618606,795.6622757856802
41,32,9.79045624098931,-1.4450860889272616,640.9955755843423,639.433230291739
62,39,10.45170933912102,-2.0675683578324335,296.17700327199867,399.6884381823249
64,579,9.546744116013661,-1.7249631808781691,263.71516751106543,406.11453317212306
73,155,10.142377017128693,-1.740715451353122,461.38441507506985,622.6885103372846
81,564,9.894833517326214,-1.50139223298153,624.999058244146,971.1090846202635
93,154,9.49419984010187,-1.4355406994381654,487.23435309533374,522.5403094928898
98,87,9.27685764358697,-1.3474905304538178,480.1727981253502,638.5702827410859
101,89,10.467205374511732,-2.083246822066066,290.1367306873688,439.29210675043004
108,1726,9.60586832108807,-1.4621337492018724,512.4386242152904,710.8080883252284
116,466,10.535386781049333,-1.9426274616402044,429.3711715632032,604.2288634781613
117,139,10.947805569720437,-1.98573633266155,587.2664831515589,695.7526165550212
119,73,7.912243693609197,-0.8510209106542161,384.78919193519107,490.36032593179795
122,4351,10.09385716998222,-1.816576925872653,369.0876760139398,636.0620878534385
127,59,8.845551430827223,-1.4367720366138543,253.98153240021156,249.42858169571426
133,208,9.371861098622864,-1.61011917319389,288.42200203076635,340.6740339064911
202,9403,9.978262934770822,-1.5495596725578282,608.0577931880845,928.188254725291
211,509,9.672316832144118,-1.2852417587969145,822.9852822315194,1169.4493617315736
242,137,10.153834536086405,-1.5769174188766806,680.51372746128,692.2304423433026
263,707,10.17422935946966,-1.6301205152462224,614.4565147709717,702.0880016697778
264,488,10.369459454773892,-1.686775893849587,655.5761231579245,880.3535324841811
312,110,9.90950586687176,-1.679839709704973,420.53680094140714,501.14683524478846
351,385,9.840311900692013,-1.6725289800183778,399.0838733519347,471.88573162559095
361,181,9.834045771980207,-1.5481881069628354,528.0605291814084,625.665923157652
475,83,10.246919725018458,-1.6986491008427664,564.3279912241717,574.8065888133597
631,608,9.959979386698429,-1.491503098857373,682.4345227642102,739.6463505363477
801,211,9.859159071527849,-1.8078918038428813,297.7738644330784,430.4929435479529
805,617,9.92112217924924,-1.619007236526582,489.41962531639285,643.2386134550325
807,350,9.693886179998666,-1.916395454426107,196.61009894128662,266.7623223195691
815,290,9.427424618850532,-1.621260057835295,297.1792160354736,486.48049417438364
818,360,9.796164123330977,-1.6084696472372397,442.5378028945152,740.1410539021207
821,30,8.36171420499101,-1.2506148150323537,240.3430252595791,249.83835922677093
839,197,9.999083498409018,-1.8907226243759119,283.02458553008455,469.2142638834711
981,117,9.283431456763147,-1.4055986492904362,422.8091774718054,520.2630549550769
