variable,estimate
lp__,-24.9095
mu_b0,1.70576
sigma_b0,0.571429
z_b0[1],0.0699035
z_b0[2],-0.21781
z_b0[3],0.578357
z_b0[4],-0.17147
z_b0[5],-0.476246
z_b0[6],0.347749
b1,0.432404
b2,0.0251368
b3,-6.58459e-4
b4,-0.294334
b5,0.158615
b6,0.276649
b7,-0.0782175
b8,0.322419
b9,-0.196255
b10,-0.00672687
b11,1.29465e-4
b12,-0.220384
b13,-0.0922339
sigma,0.640194
b0[1],1.74571
b0[2],1.5813
b0[3],2.03625
b0[4],1.60778
b0[5],1.43362
b0[6],1.90448
ln_DDS_rep[1],2.83079
ln_DDS_rep[2],2.54566
ln_DDS_rep[3],2.22391
ln_DDS_rep[4],1.42038
ln_DDS_rep[5],2.42602
ln_DDS_rep[6],3.1215
ln_DDS_rep[7],2.01193
ln_DDS_rep[8],0.915324
ln_DDS_rep[9],0.619824
ln_DDS_rep[10],2.40991
ln_DDS_rep[11],2.89058
ln_DDS_rep[12],3.00394
ln_DDS_rep[13],1.98041
ln_DDS_rep[14],1.38579
ln_DDS_rep[15],3.36584
ln_DDS_rep[16],1.65489
ln_DDS_rep[17],2.26288
ln_DDS_rep[18],1.18271
ln_DDS_rep[19],2.76696
ln_DDS_rep[20],1.04407
ln_DDS_rep[21],2.68894
ln_DDS_rep[22],1.61042
ln_DDS_rep[23],2.57226
ln_DDS_rep[24],2.39421
ln_DDS_rep[25],2.42936
ln_DDS_rep[26],2.79169
ln_DDS_rep[27],3.2724
ln_DDS_rep[28],3.48939
ln_DDS_rep[29],1.53416
ln_DDS_rep[30],1.20842
ln_DDS_rep[31],2.40371
ln_DDS_rep[32],3.32057
ln_DDS_rep[33],1.92342
ln_DDS_rep[34],2.69877
ln_DDS_rep[35],1.34951
ln_DDS_rep[36],0.0838732
ln_DDS_rep[37],2.46769
ln_DDS_rep[38],2.6655
ln_DDS_rep[39],1.87999
ln_DDS_rep[40],3.61254
ln_DDS_rep[41],3.24009
ln_DDS_rep[42],2.03299
ln_DDS_rep[43],2.03614
ln_DDS_rep[44],3.15483
ln_DDS_rep[45],2.19378
ln_DDS_rep[46],1.78497
ln_DDS_rep[47],0.394719
ln_DDS_rep[48],3.01869
ln_DDS_rep[49],1.99097
ln_DDS_rep[50],1.68015
ln_DDS_rep[51],1.30093
ln_DDS_rep[52],0.978307
ln_DDS_rep[53],2.18352
ln_DDS_rep[54],1.65631
ln_DDS_rep[55],2.22617
ln_DDS_rep[56],2.03486
ln_DDS_rep[57],3.33985
ln_DDS_rep[58],1.77739
ln_DDS_rep[59],1.48357
ln_DDS_rep[60],2.45463
ln_DDS_rep[61],1.08155
ln_DDS_rep[62],2.01503
ln_DDS_rep[63],3.07242
ln_DDS_rep[64],-0.0753411
ln_DDS_rep[65],-0.690989
ln_DDS_rep[66],0.692518
ln_DDS_rep[67],1.10121
ln_DDS_rep[68],4.35896
ln_DDS_rep[69],2.9322
ln_DDS_rep[70],2.51946
ln_DDS_rep[71],1.18506
ln_DDS_rep[72],1.89496
ln_DDS_rep[73],0.613489
ln_DDS_rep[74],0.893942
ln_DDS_rep[75],0.349259
ln_DDS_rep[76],2.37678
ln_DDS_rep[77],1.3947
ln_DDS_rep[78],1.05593
ln_DDS_rep[79],3.39547
ln_DDS_rep[80],1.72182
ln_DDS_rep[81],2.98477
ln_DDS_rep[82],2.77525
ln_DDS_rep[83],1.55794
ln_DDS_rep[84],1.49286
ln_DDS_rep[85],3.46238
ln_DDS_rep[86],3.21316
ln_DDS_rep[87],2.56497
ln_DDS_rep[88],3.00099
ln_DDS_rep[89],2.33538
ln_DDS_rep[90],2.92725
ln_DDS_rep[91],2.69797
ln_DDS_rep[92],1.93874
ln_DDS_rep[93],2.3241
ln_DDS_rep[94],0.703361
ln_DDS_rep[95],0.641571
ln_DDS_rep[96],3.66268
ln_DDS_rep[97],1.6133
ln_DDS_rep[98],1.75338
ln_DDS_rep[99],1.25687
ln_DDS_rep[100],3.01436
ln_DDS_rep[101],0.650427
ln_DDS_rep[102],1.57251
ln_DDS_rep[103],1.92574
ln_DDS_rep[104],0.187061
ln_DDS_rep[105],-0.542413
ln_DDS_rep[106],-0.151996
ln_DDS_rep[107],0.470005
ln_DDS_rep[108],1.53589
ln_DDS_rep[109],1.33793
ln_DDS_rep[110],2.73857
ln_DDS_rep[111],-1.39777
ln_DDS_rep[112],1.31395
ln_DDS_rep[113],0.870337
ln_DDS_rep[114],1.76638
ln_DDS_rep[115],1.07184
ln_DDS_rep[116],0.68119
ln_DDS_rep[117],2.07066
ln_DDS_rep[118],2.50959
ln_DDS_rep[119],0.8662
ln_DDS_rep[120],1.86196
ln_DDS_rep[121],2.74495
ln_DDS_rep[122],2.34967
ln_DDS_rep[123],2.4321
ln_DDS_rep[124],1.52879
ln_DDS_rep[125],1.53685
ln_DDS_rep[126],2.39856
ln_DDS_rep[127],1.48614
ln_DDS_rep[128],2.30441
ln_DDS_rep[129],-1.16611
ln_DDS_rep[130],1.2895
ln_DDS_rep[131],0.296901
ln_DDS_rep[132],1.25224
ln_DDS_rep[133],1.53341
ln_DDS_rep[134],2.65433
ln_DDS_rep[135],2.49557
ln_DDS_rep[136],3.25007
ln_DDS_rep[137],1.74824
ln_DDS_rep[138],0.932679
ln_DDS_rep[139],1.81448
ln_DDS_rep[140],2.47103
ln_DDS_rep[141],1.63275
ln_DDS_rep[142],1.20959
ln_DDS_rep[143],1.87007
ln_DDS_rep[144],0.850361
ln_DDS_rep[145],1.4069
ln_DDS_rep[146],2.27827
ln_DDS_rep[147],0.638814
