variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-38.528166475,-38.1997,3.700696582741951,3.707908469999999,-44.952,-33.083745,1.0049777871220233,1205.0982691799138,1871.7273931083505
mu_b0,1.7147022015,1.7130049999999999,0.40995107970559347,0.420079884,1.03304,2.3812315,1.0004022036594131,2616.7627300141794,2746.895061255979
sigma_b0,0.28460689493275,0.2506755,0.17430351929197116,0.13541178839999998,0.073063215,0.5937852999999997,1.0008956814349457,1599.815041442038,1469.419264878067
z_b0[1],0.1329632709442,0.1338805,0.6156254270427585,0.5844083027999999,-0.89456525,1.1602599999999998,1.0012905546204605,2857.8137479633997,2579.39921187257
z_b0[2],-0.2084213729165,-0.208654,0.7784098320272781,0.7492037406,-1.4393159999999998,1.0963644999999995,1.0015393349370605,3666.091462239243,2760.3614423087615
z_b0[3],0.9989134666625,0.9764645000000001,0.6814753296701026,0.6407789787000001,-0.05021099499999994,2.1823175,1.0019213186101146,3369.4513701978635,3037.441370646029
z_b0[4],-0.3029093272782,-0.28867750000000003,0.7697088066271999,0.7223538545999999,-1.6057875000000001,0.9435531999999999,1.0008561125800786,3295.55191612909,2607.970004658339
z_b0[5],-0.7652559116905,-0.7348915,0.7018683392599898,0.6776008323,-1.9672025,0.34093199999999946,1.000689844848388,3033.745441324788,2849.7420622051286
z_b0[6],0.2779942679575,0.2577575,0.8917416265110368,0.9034363947,-1.1577525,1.7379014999999993,1.0021392199169177,4179.129499662179,2582.6160766811313
b1,0.4275392175,0.42707649999999997,0.05992542863342672,0.060042334799999965,0.32889599999999997,0.5259935,1.0014905971135195,3576.9311285835656,2751.1730584768734
b2,0.0232775447682,0.0227564,0.08407879129825262,0.08491598913000001,-0.11469095,0.15909799999999993,1.0008332944478862,3354.7459465357847,2877.1082279776765
b3,0.00804181091325,0.009149675,0.06503352510378817,0.064153176885,-0.09949459,0.1131735499999999,1.0029437207195004,3065.2552398444795,2795.613515487427
b4,-0.299086995125,-0.300224,0.05878590595041946,0.0595582659,-0.39517765000000005,-0.2017413,1.0006502691745292,2936.334831003659,3295.7677913685675
b5,0.16002512357075,0.15903899999999999,0.05973469303016554,0.059680580399999975,0.062270615,0.257999,1.0009756888894126,3024.6241574586215,3004.996089696245
b6,0.269297322775,0.26901200000000003,0.06574871325777225,0.06591787860000002,0.16428905000000002,0.3772361499999999,1.00117938377197,3433.678443794789,3028.182225077343
b7,-0.0611629001226975,-0.060811199999999996,0.046173791899387515,0.04712577533999999,-0.1373789,0.013390939999999988,0.9995517489052915,3436.3528145596356,3089.9220345684926
b8,0.3218786845,0.32142000000000004,0.05951799492013981,0.06049971689999991,0.22302870000000002,0.42030829999999997,1.0007277757208473,2901.019442426093,2785.3195651946444
b9,-0.208822763695,-0.2086755,0.05070067491160746,0.050135601599999996,-0.29297515,-0.12350155000000002,1.0006921878603452,2975.1337903492886,2848.715624733409
b10,-0.00745265905779275,-0.00757497,0.011683204963839447,0.0117528904416,-0.026580490000000002,0.011824649999999996,1.0009695085780417,2867.985268022791,2744.498989936862
b11,1.3875032463675e-4,1.3939600000000002e-4,8.735739388446092e-5,8.808778944000002e-5,-2.501933999999998e-6,2.8194129999999974e-4,1.0009765176317917,2977.901810219332,2726.6250242585256
b12,-0.22599145402825,-0.22356700000000002,0.09657684992937018,0.09769592700000003,-0.38252885000000003,-0.06972422500000003,0.9997828307997473,2430.7033037778297,2744.155996396049
b13,-0.07885192642325,-0.08120415,0.09686035140860866,0.09660873642,-0.2358613,0.08352540999999998,1.0001652639400327,2388.106128208094,2818.5686145758723
sigma,0.65679140925,0.6565145,0.022939063746045756,0.022873552799999995,0.6195453000000001,0.6954459,1.000942166127726,4714.436563982709,2824.654211760136
b0[1],1.75176539275,1.755035,0.38876579331020694,0.3909986849999998,1.1108915,2.3824115,1.0005986686608042,2854.777454562243,2752.075188517796
b0[2],1.652782348575,1.649505,0.435848184127904,0.43677395999999996,0.9390417999999999,2.374287,1.0008587989531994,2993.798944414198,2806.1259668593325
b0[3],1.968294957,1.981695,0.4120688513551855,0.412763253,1.292922,2.6313674999999996,1.000493423050423,2619.19438931182,2663.831476424762
b0[4],1.6374598545,1.645745,0.4201889628593016,0.42879015899999995,0.94594595,2.3185089999999997,1.0016829096575677,3016.069523890319,2732.0244659180917
b0[5],1.522609227425,1.52282,0.39329388987220404,0.394089906,0.87152825,2.1802140000000003,1.0006394999287689,2943.1231954760365,2736.6057074637133
b0[6],1.8043845365,1.7995649999999999,0.4538742010624515,0.4512663749999999,1.0794080000000001,2.5553749999999997,1.0009347540863547,3012.892889949796,2899.05221100536
ln_DDS_rep[1],2.9985325045,2.9996549999999997,0.6722835272843698,0.6538414259999995,1.9099585000000001,4.106857999999999,1.000158482043164,3827.7899056730066,3513.6492105549714
ln_DDS_rep[2],2.52732672755,2.5303750000000003,0.677741659217196,0.6862658879999999,1.4198005,3.6381609999999998,1.000293760191096,3795.858683763873,4052.1199895708
ln_DDS_rep[3],2.9262538705,2.92399,0.6771255521414589,0.675420669,1.7934945,4.027359999999999,0.9994628975327456,3904.7561061778397,3909.164517715071
ln_DDS_rep[4],2.25322509325,2.2494199999999998,0.6793465612346808,0.6655317269999999,1.145324,3.3684219999999994,1.000124489637879,4085.936586598064,3724.783754373872
ln_DDS_rep[5],2.4316259995,2.4348150000000004,0.6636037417940565,0.6592010249999993,1.346879,3.5208139999999997,0.9996471235335724,3799.9313681340973,3905.4002345663457
ln_DDS_rep[6],3.14188973525,3.15174,0.6643288044686696,0.6721441230000003,2.0350395,4.199599,0.999906857499972,3842.5405364517337,3645.17742517371
ln_DDS_rep[7],2.270717134975,2.267005,0.6829446120931497,0.6940347120000001,1.1614895,3.3952124999999995,0.9995883685107511,4036.489462929388,4014.6133192697393
ln_DDS_rep[8],1.4571024398495,1.46013,0.6665827877237307,0.6572958839999999,0.3636995500000001,2.5316284999999987,1.0000128516165296,3971.41701775742,3730.147897720832
ln_DDS_rep[9],1.77196987097175,1.76923,0.6716043563368709,0.6800093159999997,0.6737015500000001,2.863039999999999,0.9993204238240846,4168.794897657543,3840.9196812527093
ln_DDS_rep[10],2.57768254125,2.5549749999999998,0.6757338372196576,0.6695792249999999,1.500409,3.7179865,0.9996470561650784,4120.68338087945,4058.639152932454
ln_DDS_rep[11],1.38562641046975,1.38591,0.7162705313900828,0.6990362630999999,0.20825870000000002,2.5430715,1.0011768761367845,4140.865054771969,3789.686851183983
ln_DDS_rep[12],2.32000542695,2.31946,0.6789000516175075,0.663100263,1.183354,3.4363215000000005,1.0003298919115895,4171.505222016851,3501.8855138400736
ln_DDS_rep[13],2.22778621,2.2222150000000003,0.6767195614327011,0.671165607,1.112285,3.3355479999999993,0.9993160121873922,3626.9646542140895,4011.9609761695974
ln_DDS_rep[14],2.707940915,2.7020150000000003,0.6912890891319257,0.6970666289999998,1.5917025,3.868717999999999,0.9996873257541502,3933.221283038834,3869.6424789175844
ln_DDS_rep[15],2.380624904945,2.3736300000000004,0.6599876270825873,0.6562284120000005,1.302344,3.4989559999999993,1.0007901356279725,3821.4219292424923,3898.802635795017
ln_DDS_rep[16],2.1956011228,2.191165,0.6597454279851412,0.6643308210000004,1.135427,3.2749095,1.0004989506405184,4120.847660144522,3887.058849039028
ln_DDS_rep[17],1.8765369863725,1.875185,0.6721099956958273,0.66338937,0.7645391,2.9784094999999997,1.0004104473869675,4059.9809489850063,3959.1596666109976
ln_DDS_rep[18],1.8912507044675,1.88808,0.6704115484325835,0.6658282469999999,0.80357325,3.0022670000000002,0.9998730314734233,3874.168238801732,3850.3043557990804
ln_DDS_rep[19],3.07999118675,3.07368,0.6523699343061462,0.6471030089999998,2.008107,4.152265999999999,1.0000584599349396,4185.85248255379,3766.10771733156
ln_DDS_rep[20],2.182533252275,2.178315,0.6743322683000036,0.6649164479999999,1.0652765,3.2984559999999994,1.0010642796819997,3957.7389097705354,3712.5220579395045
ln_DDS_rep[21],2.235933711125,2.240565,0.6603000204045613,0.6524255429999998,1.13336,3.3197534999999987,0.9999757418337196,3970.1496715363046,3929.7953369873885
ln_DDS_rep[22],1.995750216675,2.00268,0.6698108208917195,0.6579482279999999,0.8908843000000001,3.0879084999999997,0.9997410005726767,4015.698703531234,3592.360620499845
ln_DDS_rep[23],2.95568452925,2.954285,0.6757233458322942,0.6796386659999999,1.8523114999999999,4.076744,1.001123061541481,3877.594449613804,4107.998535634317
ln_DDS_rep[24],2.99569510775,3.002555,0.6758584058524004,0.6813807210000001,1.8736285000000001,4.096596999999999,0.9998679431756998,4009.7820428758373,3892.4391334599964
ln_DDS_rep[25],2.29447712395,2.28259,0.6691449994802309,0.6706170450000001,1.2189725,3.414244,1.0007956723128697,3693.6314766246733,3764.6819794358175
ln_DDS_rep[26],2.497426928775,2.498355,0.6634264070267156,0.6674146289999998,1.4123569999999999,3.6030444999999998,0.999917954787233,4031.310470687624,3801.051600159119
ln_DDS_rep[27],2.643462535,2.640445,0.6695921432602852,0.6622774199999998,1.548562,3.7687949999999995,1.0001246169067692,3840.816008327329,3912.5444159513045
