variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,3.4448049999999997,2.3770685,4.4081015,1.0066153010121244,1009.8121701217217,2.031033,TRUE
b_DBH_std,-0.3851795,-0.9806364,0.18955694999999978,1.0008975454426365,2203.6238026195306,1.1701933499999997,TRUE
b_IDBH_stdE2,-0.03039895,-0.20074314999999998,0.17997749999999962,1.0016135594252535,2847.998341543003,0.3807206499999996,TRUE
b_BAL_std,-0.6024915,-1.500587,0.2346122,1.0016413163731603,1878.4856740494301,1.7351991999999998,TRUE
b_CR_std,0.27117,-0.16912625,0.66939955,1.0013976181076056,2284.0149198866943,0.8385258,TRUE
b_SI_std,-0.23387249999999998,-0.7131574999999999,0.19598469999999982,1.0009686580490433,2965.9718248861745,0.9091421999999997,TRUE
b_BA_std,1.16499,0.36811905,2.0959855,1.0018541634843428,1933.9670110118184,1.7278664499999998,TRUE
sd_SPCD__Intercept,0.7052780000000001,0.073994795,2.3618249999999987,1.008926905580276,592.887968503472,2.287830204999999,TRUE
Intercept,3.4124749999999997,2.3644344999999998,4.369713999999999,1.0072833362529336,958.6706890549542,2.0052794999999994,TRUE
"r_SPCD[65,Intercept]",0.043257199999999996,-0.8883130499999999,1.1510979999999993,1.0070137346417183,980.1176004500819,2.039411049999999,TRUE
"r_SPCD[66,Intercept]",0.128637,-0.8903429999999999,2.3948064999999996,1.004068413995359,1272.9194576382586,3.2851494999999993,TRUE
"r_SPCD[133,Intercept]",-0.054270650000000004,-1.2921909999999999,1.1276374999999983,1.0022920870247292,1426.3898838709497,2.419828499999998,TRUE
"r_SPCD[202,Intercept]",0.503356,-0.23271019999999995,2.567641499999998,1.0040978948417718,1131.1048813464429,2.800351699999998,TRUE
"r_SPCD[475,Intercept]",-0.14972449999999998,-1.3752050000000002,0.7530354999999992,1.0026352265171816,1246.3506695578253,2.1282404999999995,TRUE
"r_SPCD[746,Intercept]",-0.1604315,-1.9558719999999998,0.8464440999999981,1.0021909136264004,2395.003280784755,2.802316099999998,TRUE
lprior,-4.181185,-4.819850499999999,-3.8630210000000003,1.002062123525257,1786.538024599882,0.9568294999999991,TRUE
lp__,-104.426,-110.21805,-100.10675,1.0071380906572385,708.4668235625435,10.1113,TRUE
