variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,3.806395,3.1082855,4.6151415,1.000494134876511,2469.8709770789874,1.506856,TRUE
b_DBH_std,-0.611164,-1.4316235,0.26889759999999985,1.0011032081661477,2410.483439527602,1.7005210999999998,TRUE
b_IDBH_stdE2,-0.11831649999999999,-0.45085895,0.2733769499999999,0.9996758250203713,3571.199274212028,0.7242358999999998,TRUE
b_BAL_std,-0.2837935,-1.3057645,0.68100635,0.9999523749824041,3395.8466334545124,1.98677085,TRUE
b_CR_std,0.08119765000000001,-0.39634990000000003,0.5125614499999996,1.0011152578946656,3627.782653429095,0.9089113499999997,TRUE
b_SI_std,-0.399366,-0.8844561,0.05639470999999967,1.0010586857831736,3176.072446135914,0.9408508099999996,TRUE
b_BA_std,1.757485,0.7740743000000001,2.7994449999999995,1.0006909779746884,2500.70319813426,2.0253706999999994,TRUE
b_DBH_BAL,-1.4835150000000001,-2.263695,-0.7984688000000002,1.001037935485853,2446.9710944852213,1.4652261999999996,TRUE
b_ELEV_std,0.7367159999999999,0.12636830000000004,1.4373754999999997,1.0014721030388658,2824.1325784739015,1.3110071999999997,TRUE
b_SLOPE_std,-0.844066,-1.435385,-0.3225422500000002,1.001772625348639,3141.5802812113106,1.1128427499999998,TRUE
sd_SPCD_grouped__Intercept,0.3364065,0.027433815000000007,1.2274589999999985,1.0010410467004915,2050.162583269285,1.2000251849999986,TRUE
sd_SPCD_grouped__DBH_std,0.34064099999999997,0.031885715,1.3002434999999997,1.0020229874837245,2330.568595122868,1.2683577849999996,TRUE
cor_SPCD_grouped__Intercept__DBH_std,0.0034411900000000002,-0.7503131,0.7562943,1.0002483484350013,3122.364737192777,1.5066074,TRUE
Intercept,4.27725,3.4988435,5.194635,1.000726104688436,2039.3312439710646,1.6957915,TRUE
"r_SPCD_grouped[OTHER,Intercept]",-0.0015214949999999999,-0.7112582,0.8450421999999981,1.0008540012035212,4663.745819141712,1.556300399999998,TRUE
"r_SPCD_grouped[65,Intercept]",-0.00106416,-0.6522070999999998,0.6352500999999999,1.002128575229231,2255.233698051374,1.2874571999999997,TRUE
"r_SPCD_grouped[133,Intercept]",-0.0171503,-0.8936303999999999,0.6415185999999998,1.000985020034133,3868.9245986915053,1.5351489999999997,TRUE
"r_SPCD_grouped[202,Intercept]",0.09656885000000001,-0.319974,1.4036964999999977,1.0007353911270407,2905.794437313383,1.7236704999999977,TRUE
"r_SPCD_grouped[475,Intercept]",-0.028258,-0.84154515,0.5383636499999993,1.0017857681775597,3427.7968604102593,1.3799087999999993,TRUE
"r_SPCD_grouped[OTHER,DBH_std]",0.03798885,-0.58521205,1.0918134999999998,1.0001567226940264,3560.074347613044,1.6770255499999998,TRUE
"r_SPCD_grouped[65,DBH_std]",-0.0214286,-0.7966951,0.5102888999999999,1.0013088106741888,2853.004860256843,1.306984,TRUE
"r_SPCD_grouped[133,DBH_std]",0.03647565,-0.50311915,1.0499079999999978,1.001972485536263,3719.566793094772,1.553027149999998,TRUE
"r_SPCD_grouped[202,DBH_std]",-0.01368465,-0.9272194,0.7124087499999981,1.0003710029834663,3204.535234511949,1.6396281499999983,TRUE
"r_SPCD_grouped[475,DBH_std]",-0.0767244,-1.1365474999999998,0.39026314999999884,1.0013007647445977,3046.0018074800482,1.5268106499999987,TRUE
lprior,-20.0714,-22.08677,-18.7918,1.0012078927436896,2018.4790281538349,3.294970000000003,TRUE
lp__,-115.19999999999999,-122.0453,-109.98595,1.0032598141557931,1473.0739056768232,12.059349999999995,TRUE
