SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
15,285,-1.7249637314604047,-1.6465261525912076,-1.7014324577996456,1.7249637314604047,1.6465261525912076,1.7014324577996456,0.0964324577996456
19,300,-1.8188951033069134,-1.651280278852645,-1.768610655970633,1.8188951033069134,1.651280278852645,1.768610655970633,0.16361065597063296
20,NA,NA,-1.6215957663096876,NA,NA,1.6215957663096876,NA,NA
64,NA,NA,-1.558731778024075,NA,NA,1.558731778024075,NA,NA
65,4389,-1.415323670040552,-1.511625128945375,-1.444214107711999,1.415323670040552,1.511625128945375,1.444214107711999,-0.160785892288001
66,140,-2.011562917022003,-1.6752666001215326,-1.9106740219518619,2.011562917022003,1.6752666001215326,1.9106740219518619,0.3056740219518619
93,375,-1.5922907633489585,-1.6391984574201,-1.6063630715703008,1.5922907633489585,1.6391984574201,1.6063630715703008,0.0013630715703008
96,NA,NA,-1.6166509896128625,NA,NA,1.6166509896128625,NA,NA
101,NA,NA,-1.614402614671259,NA,NA,1.614402614671259,NA,NA
102,NA,NA,-1.6427210212624925,NA,NA,1.6427210212624925,NA,NA
106,670,-1.6241705313724213,-1.577633457924475,-1.6102094093380375,1.6241705313724213,1.577633457924475,1.6102094093380375,0.005209409338037485
108,293,-2.1853044327397337,-1.8407517921775,-2.081938640571064,2.1853044327397337,1.8407517921775,2.081938640571064,0.47693864057106383
113,39,-0.7752263749877373,-1.6869967340364,-1.3314062940074216,0.7752263749877373,1.6869967340364,1.3314062940074216,-0.2735937059925784
116,NA,NA,-1.5871506247881588,NA,NA,1.5871506247881588,NA,NA
122,169,-2.1541316258423415,-1.6897594740486275,-2.0148199803042273,2.1541316258423415,1.6897594740486275,2.0148199803042273,0.4098199803042273
133,1725,-1.6796832403043431,-1.6241637614470126,-1.663027396647144,1.6796832403043431,1.6241637614470126,1.663027396647144,0.05802739664714407
142,NA,NA,-1.486044380546875,NA,NA,1.486044380546875,NA,NA
202,352,-1.8237158288878499,-1.6308063886708875,-1.7658429968227611,1.8237158288878499,1.6308063886708875,1.7658429968227611,0.16084299682276115
321,NA,NA,-1.666715331751575,NA,NA,1.666715331751575,NA,NA
322,73,-1.7829610230515027,-1.6290571400864013,-1.7367898581619723,1.7829610230515027,1.6290571400864013,1.7367898581619723,0.1317898581619723
475,472,-1.5743083928891304,-1.6456140389737925,-1.595700086714529,1.5743083928891304,1.6456140389737925,1.595700086714529,-0.009299913285470973
746,720,-1.446464621008185,-1.572689964099325,-1.484332223935527,1.446464621008185,1.572689964099325,1.484332223935527,-0.12066777606447299
747,NA,NA,-1.624198247599595,NA,NA,1.624198247599595,NA,NA
748,NA,NA,-1.6801621775819375,NA,NA,1.6801621775819375,NA,NA
749,NA,NA,-1.5716633679514875,NA,NA,1.5716633679514875,NA,NA
814,220,-1.3652265951601208,-1.5355284454548501,-1.4163171502485397,1.3652265951601208,1.5355284454548501,1.4163171502485397,-0.18868284975146032
