variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.68983936,0.03896516786828687,5.6121975,5.7669625
b_ln_qmd_centered,-1.62386879375,0.03568245549196696,-1.6915205,-1.550537
sd_SPCD__Intercept,0.1754467607125,0.03414312116261343,0.119847875,0.2543655249999998
sd_SPCD__ln_qmd_centered,0.1160707338625,0.04154706875472045,0.059217745,0.21861124999999992
cor_SPCD__Intercept__ln_qmd_centered,0.04895342355975,0.28884365844292753,-0.5073624,0.5762482499999997
sigma,0.209827452625,0.002367764262750011,0.20525089999999999,0.214541025
Intercept,5.9889723775,0.039000626253670796,5.9110492500000005,6.064571
"r_SPCD[15,Intercept]",0.11637379605,0.04609062110147978,0.029849787500000002,0.20964987499999982
"r_SPCD[19,Intercept]",0.2277517655125,0.04999583881473975,0.13018515000000003,0.32605494999999995
"r_SPCD[20,Intercept]",0.0455825430541025,0.11831699767868442,-0.1847564,0.28299682500000006
"r_SPCD[64,Intercept]",-0.08199362252099375,0.08959549896000311,-0.262992775,0.0891149725
"r_SPCD[65,Intercept]",0.0048642516455025,0.03929337815797603,-0.0720319825,0.0837559249999999
"r_SPCD[66,Intercept]",-0.01363648520346125,0.05306375057676302,-0.11547202499999998,0.09370337999999999
"r_SPCD[93,Intercept]",0.2143560402875,0.0438389234282849,0.12917815,0.3026620499999999
"r_SPCD[96,Intercept]",-0.1337308396839625,0.08751378406137693,-0.31340775,0.03533614499999999
"r_SPCD[101,Intercept]",0.0363701882403875,0.10493633467241609,-0.1674793,0.24700032499999997
"r_SPCD[102,Intercept]",-0.09089169127525,0.11764067755360232,-0.3278544,0.13688914999999993
"r_SPCD[106,Intercept]",-0.0864825762440125,0.04131070725193641,-0.1696352,-0.004971651750000058
"r_SPCD[108,Intercept]",0.08966561349825974,0.0540762866716035,-0.017461704999999994,0.19430609999999998
"r_SPCD[113,Intercept]",-0.03066571135763175,0.0626064777861593,-0.152369225,0.09145691249999997
"r_SPCD[116,Intercept]",0.111414643468525,0.0902932367678045,-0.0608572775,0.29066879999999995
"r_SPCD[122,Intercept]",-0.227680831458875,0.05027788955916634,-0.32672609999999996,-0.1278762
"r_SPCD[133,Intercept]",-0.1296934187395,0.04000270123319008,-0.209388375,-0.049827535000000034
"r_SPCD[142,Intercept]",0.02622955699176625,0.08549713975913906,-0.15161075,0.18713602499999993
"r_SPCD[202,Intercept]",-0.00849468562788625,0.044333406158071985,-0.096914235,0.08163548
"r_SPCD[321,Intercept]",0.1184222319381875,0.12756179764719947,-0.12635862499999997,0.37271634999999986
"r_SPCD[322,Intercept]",0.15453917685822624,0.08300273005343384,-0.0077659215,0.3234776749999999
"r_SPCD[475,Intercept]",0.0419875750353325,0.042742136914524165,-0.04324128,0.12718404999999994
"r_SPCD[746,Intercept]",0.180016193625,0.04435458033315892,0.09326909500000001,0.26926529999999993
"r_SPCD[747,Intercept]",-0.15880030817132376,0.13870090502634308,-0.441827675,0.10274419999999987
"r_SPCD[748,Intercept]",-0.304782619820875,0.12832588163110772,-0.568644075,-0.0583376575000001
"r_SPCD[749,Intercept]",-0.29899288477625,0.09953946218596417,-0.49875357500000006,-0.10942435000000006
"r_SPCD[814,Intercept]",0.17904730861625,0.06469678661578294,0.05631351500000001,0.31403407499999997
"r_SPCD[15,ln_qmd_centered]",-0.0226573588412075,0.06298217683027316,-0.1512016,0.09893441749999993
"r_SPCD[19,ln_qmd_centered]",-0.027411485102645,0.06461267305201976,-0.157232125,0.09724471
"r_SPCD[20,ln_qmd_centered]",0.0022730274403125,0.12031205912318488,-0.23815219999999998,0.2462138249999999
"r_SPCD[64,ln_qmd_centered]",0.065137015725925,0.10054394577894239,-0.12051319999999999,0.2759814249999999
"r_SPCD[65,ln_qmd_centered]",0.112243664804625,0.03822586354739373,0.034716465,0.18555102499999998
"r_SPCD[66,ln_qmd_centered]",-0.0513978063715325,0.062234800774515854,-0.17968812499999998,0.06517729749999986
"r_SPCD[93,ln_qmd_centered]",-0.0153296636701,0.06309858936068669,-0.14023142500000002,0.10750694999999992
"r_SPCD[96,ln_qmd_centered]",0.0072178041371375,0.123045980605915,-0.2303333,0.2640805749999999
"r_SPCD[101,ln_qmd_centered]",0.00946617907874125,0.11114453789332175,-0.20854319999999998,0.23815574999999978
"r_SPCD[102,ln_qmd_centered]",-0.0188522275124925,0.117384701822041,-0.269053425,0.2128939749999996
"r_SPCD[106,ln_qmd_centered]",0.046235335825525,0.046765204051825,-0.0474938725,0.13828237499999999
"r_SPCD[108,ln_qmd_centered]",-0.2168829984275,0.06980099037454203,-0.36338275,-0.09127342000000013
"r_SPCD[113,ln_qmd_centered]",-0.0631279402864,0.10348623897746899,-0.29043325,0.12382684999999992
"r_SPCD[116,ln_qmd_centered]",0.03671816896184125,0.12344379115399495,-0.18961079999999997,0.30423262500000003
"r_SPCD[122,ln_qmd_centered]",-0.0658906802986275,0.06408493948405929,-0.197747325,0.05795461249999984
"r_SPCD[133,ln_qmd_centered]",-2.949676970125e-4,0.04224373142424324,-0.08544421,0.081795335
"r_SPCD[142,ln_qmd_centered]",0.137824413203125,0.13880363857684969,-0.07533845999999998,0.4767055249999994
"r_SPCD[202,ln_qmd_centered]",-0.0069375949208875,0.053996365281324815,-0.116367475,0.09780753249999993
"r_SPCD[321,ln_qmd_centered]",-0.042846538001575,0.11907473369060248,-0.294754025,0.17746399999999993
"r_SPCD[322,ln_qmd_centered]",-0.00518834633640125,0.08958096637602571,-0.18312832499999998,0.17370192499999992
