variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,0.465454,0.37625435,0.5627314999999999,1.0050387248101489,615.7448386695229
b_CR_t1_std,0.5823050000000001,0.57394555,0.5909670499999999,1.0037731687881404,7599.539320924983
b_DBH_std,0.035503549999999995,0.0010392520000000003,0.06890676499999998,1.0049098434508263,1408.944841527701
b_IDBH_stdE2,0.00281295,-0.0015678784999999997,0.0072591155,1.0001163024768143,6666.904832463703
b_BA_std,-0.048704449999999996,-0.06026428,-0.036108110000000006,1.000436912312783,4285.562181345627
b_BAL_std,-0.027815350000000003,-0.041669235,-0.014712265000000002,1.0016727367712335,4154.950599629097
b_SI_std,-0.02701315,-0.037099295000000004,-0.017057105000000003,1.0040153631020605,6437.965979023198
b_relDBH_std,-0.03407805,-0.047156544999999994,-0.020498700000000026,1.0007440214323549,5478.674908301639
sd_SPCD_grouped__Intercept,0.229699,0.1753352,0.3196780499999999,1.0021487982340165,1044.5162738155702
sd_SPCD_grouped__DBH_std,0.07340695,0.0530831,0.10448379999999999,1.001646199216128,1474.606897238361
cor_SPCD_grouped__Intercept__DBH_std,-0.43416699999999997,-0.7242932999999999,-0.024764050000000447,1.0015069708138296,1778.5438817531835
phi,9.796125,9.675746,9.9252125,1.0000485463461606,6162.915149686258
Intercept,0.4651905,0.37562125,0.5625741999999999,1.0049231628345259,612.9591893977098
"r_SPCD_grouped[OTHER,Intercept]",-0.051217250000000006,-0.21333784999999997,0.11031509999999999,1.0005911703786003,1950.5078621641535
"r_SPCD_grouped[15,Intercept]",0.103647,0.003896975500000016,0.20105665,1.0036412682499731,665.0276273799627
"r_SPCD_grouped[19,Intercept]",0.039549299999999996,-0.061561775,0.13346004999999997,1.0049622928861581,683.658698467596
"r_SPCD_grouped[65,Intercept]",0.334233,0.23580515,0.4274232499999999,1.0047168073678157,639.826702948234
"r_SPCD_grouped[66,Intercept]",0.2602125,0.15720615000000002,0.3588340499999998,1.0023025396120682,721.3616420086412
"r_SPCD_grouped[93,Intercept]",0.1688665,0.06776939000000001,0.26698914999999995,1.0041986017132682,659.2895931163958
"r_SPCD_grouped[96,Intercept]",0.06588595,-0.12000809999999999,0.2574734,1.0012848963408443,2609.8021443175667
"r_SPCD_grouped[106,Intercept]",0.219746,0.12119895,0.3127837,1.0053203600203582,651.774717294056
