variable,estimate
lp__,-7147.34
mu_b0,1.35733
sigma_b0,0.60211
z_b0[1],0.445237
z_b0[2],0.515485
z_b0[3],-0.0102431
z_b0[4],-0.418332
z_b0[5],0.344742
z_b0[6],0.281696
z_b0[7],0.049039
z_b0[8],-0.0177787
z_b0[9],-0.360832
z_b0[10],0.0584483
z_b0[11],-0.178867
z_b0[12],0.317397
z_b0[13],-0.436754
z_b0[14],-0.137004
z_b0[15],-0.0357658
z_b0[16],-0.0267708
z_b0[17],-0.154198
z_b0[18],-0.137993
z_b0[19],0.310061
z_b0[20],0.110825
z_b0[21],0.0034382
z_b0[22],-0.483196
b1,0.630262
b2,-0.0177837
b3,0.119923
b4,-0.0277255
b5,0.00131317
b6,0.0129186
b7,-0.0406535
b8,-0.0612331
b9,-0.0241399
b10,0.00405709
b11,5.94817e-5
b12,-0.168009
b13,-0.029181
sigma,0.769196
b0[1],1.62541
b0[2],1.6677
b0[3],1.35116
b0[4],1.10544
b0[5],1.5649
b0[6],1.52694
b0[7],1.38685
b0[8],1.34662
b0[9],1.14007
b0[10],1.39252
b0[11],1.24963
b0[12],1.54843
b0[13],1.09435
b0[14],1.27483
b0[15],1.33579
b0[16],1.34121
b0[17],1.26448
b0[18],1.27424
b0[19],1.54402
b0[20],1.42405
b0[21],1.3594
b0[22],1.06639
ln_DDS_rep[1],-1.52597
ln_DDS_rep[2],2.21183
ln_DDS_rep[3],1.48948
ln_DDS_rep[4],2.17127
ln_DDS_rep[5],3.29313
ln_DDS_rep[6],-1.28324
ln_DDS_rep[7],1.25769
ln_DDS_rep[8],1.83761
ln_DDS_rep[9],1.1761
ln_DDS_rep[10],1.95932
ln_DDS_rep[11],1.21977
ln_DDS_rep[12],2.88909
ln_DDS_rep[13],3.09473
ln_DDS_rep[14],1.96845
ln_DDS_rep[15],2.54596
ln_DDS_rep[16],2.3361
ln_DDS_rep[17],1.87664
ln_DDS_rep[18],1.83614
ln_DDS_rep[19],2.08898
ln_DDS_rep[20],0.760055
ln_DDS_rep[21],2.57006
ln_DDS_rep[22],-0.738616
ln_DDS_rep[23],2.2178
ln_DDS_rep[24],2.78226
ln_DDS_rep[25],1.90689
ln_DDS_rep[26],2.95819
ln_DDS_rep[27],1.60632
ln_DDS_rep[28],3.28222
ln_DDS_rep[29],1.04361
ln_DDS_rep[30],2.02925
ln_DDS_rep[31],2.17341
ln_DDS_rep[32],0.616815
ln_DDS_rep[33],3.35345
ln_DDS_rep[34],2.11121
ln_DDS_rep[35],2.40215
ln_DDS_rep[36],2.40816
ln_DDS_rep[37],1.75385
ln_DDS_rep[38],0.832891
ln_DDS_rep[39],3.47236
ln_DDS_rep[40],3.34388
ln_DDS_rep[41],1.62651
ln_DDS_rep[42],2.38663
ln_DDS_rep[43],1.75665
ln_DDS_rep[44],1.83852
ln_DDS_rep[45],2.30788
ln_DDS_rep[46],2.55097
ln_DDS_rep[47],2.67449
ln_DDS_rep[48],1.59882
ln_DDS_rep[49],0.288259
ln_DDS_rep[50],2.41405
ln_DDS_rep[51],3.09567
ln_DDS_rep[52],1.0111
ln_DDS_rep[53],4.05461
ln_DDS_rep[54],-0.0771945
ln_DDS_rep[55],3.14483
ln_DDS_rep[56],1.88963
ln_DDS_rep[57],4.49991
ln_DDS_rep[58],1.91059
ln_DDS_rep[59],1.77185
ln_DDS_rep[60],3.24984
ln_DDS_rep[61],1.82867
ln_DDS_rep[62],1.05851
ln_DDS_rep[63],2.41454
ln_DDS_rep[64],1.89046
ln_DDS_rep[65],0.265242
ln_DDS_rep[66],2.25281
ln_DDS_rep[67],-0.114803
ln_DDS_rep[68],1.90513
ln_DDS_rep[69],1.26488
ln_DDS_rep[70],2.54524
ln_DDS_rep[71],2.01751
ln_DDS_rep[72],0.163782
ln_DDS_rep[73],2.33247
ln_DDS_rep[74],2.71059
ln_DDS_rep[75],3.53272
ln_DDS_rep[76],2.35606
ln_DDS_rep[77],1.99785
ln_DDS_rep[78],2.42819
ln_DDS_rep[79],3.48449
ln_DDS_rep[80],2.17427
ln_DDS_rep[81],2.39343
ln_DDS_rep[82],1.10963
ln_DDS_rep[83],1.28924
ln_DDS_rep[84],2.77256
ln_DDS_rep[85],2.04423
ln_DDS_rep[86],1.52197
ln_DDS_rep[87],2.76787
ln_DDS_rep[88],1.76694
ln_DDS_rep[89],1.17372
ln_DDS_rep[90],1.59602
ln_DDS_rep[91],0.824258
ln_DDS_rep[92],1.58841
ln_DDS_rep[93],2.9207
ln_DDS_rep[94],2.67535
ln_DDS_rep[95],1.36175
ln_DDS_rep[96],2.35098
ln_DDS_rep[97],2.2575
ln_DDS_rep[98],1.49735
ln_DDS_rep[99],0.78289
ln_DDS_rep[100],2.74959
ln_DDS_rep[101],1.85695
ln_DDS_rep[102],3.5427399999999998
ln_DDS_rep[103],0.502557
ln_DDS_rep[104],2.48664
ln_DDS_rep[105],3.98019
ln_DDS_rep[106],0.896769
ln_DDS_rep[107],1.63726
ln_DDS_rep[108],1.60835
ln_DDS_rep[109],1.74883
ln_DDS_rep[110],2.57583
ln_DDS_rep[111],2.67705
ln_DDS_rep[112],-0.3642
ln_DDS_rep[113],1.6632
ln_DDS_rep[114],1.95307
ln_DDS_rep[115],2.3799
ln_DDS_rep[116],0.788226
ln_DDS_rep[117],0.536003
ln_DDS_rep[118],1.20112
ln_DDS_rep[119],1.47792
ln_DDS_rep[120],2.78822
ln_DDS_rep[121],2.53986
ln_DDS_rep[122],2.015
ln_DDS_rep[123],0.177466
ln_DDS_rep[124],2.17906
ln_DDS_rep[125],1.40859
ln_DDS_rep[126],2.6138
ln_DDS_rep[127],1.65267
ln_DDS_rep[128],2.68692
ln_DDS_rep[129],2.49503
ln_DDS_rep[130],1.99202
ln_DDS_rep[131],-0.960055
ln_DDS_rep[132],2.15417
ln_DDS_rep[133],3.81296
ln_DDS_rep[134],3.10287
ln_DDS_rep[135],2.57435
ln_DDS_rep[136],2.18348
ln_DDS_rep[137],2.08141
ln_DDS_rep[138],4.78109
ln_DDS_rep[139],-0.0576186
ln_DDS_rep[140],-0.328928
ln_DDS_rep[141],2.05276
ln_DDS_rep[142],2.6625
ln_DDS_rep[143],2.64823
ln_DDS_rep[144],2.87753
ln_DDS_rep[145],2.51095
ln_DDS_rep[146],1.44049
ln_DDS_rep[147],2.47594
