variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-14923.9,-20315.945,-12997.97,NA,NA,7317.975,NA
lp_approx__,-18.61175,-26.650575,-12.249695000000003,NA,NA,14.400879999999997,NA
mu_b0,1.3503150000000002,1.0632405,1.6313265,NA,NA,0.5680859999999999,NA
sigma_b0,0.11455399999999999,0.07138654000000001,0.19494809999999999,NA,NA,0.12356155999999997,NA
z_b0[1],1.01024,-0.019823909999999976,2.042769,NA,NA,2.06259291,NA
z_b0[2],0.707371,-0.24234284999999994,1.6562914999999978,NA,NA,1.8986343499999978,NA
z_b0[3],-0.1072045,-1.783247,1.609627,NA,NA,3.392874,NA
z_b0[4],-0.317082,-1.245392,0.5300432999999999,NA,NA,1.7754352999999998,NA
z_b0[5],0.7372084999999999,-0.4665065499999999,1.9135214999999983,NA,NA,2.380028049999998,NA
z_b0[6],0.444852,-0.65716385,1.5825964999999997,NA,NA,2.2397603499999996,NA
z_b0[7],0.1451385,-1.4045174999999999,1.7578084999999994,NA,NA,3.1623259999999993,NA
z_b0[8],-0.002023555,-1.654607,1.7295469999999997,NA,NA,3.3841539999999997,NA
z_b0[9],-0.373726,-1.286927,0.5012997499999989,NA,NA,1.7882267499999989,NA
z_b0[10],-0.1122685,-1.0165115,0.7644042999999999,NA,NA,1.7809157999999998,NA
z_b0[11],-0.6029195,-1.994201,0.7238745999999993,NA,NA,2.7180755999999993,NA
z_b0[12],0.596232,-0.5802572,1.7921064999999998,NA,NA,2.3723636999999997,NA
z_b0[13],-0.565634,-1.5735940000000002,0.48911989999999994,NA,NA,2.0627139000000003,NA
z_b0[14],-0.419364,-2.02862,1.1737944999999996,NA,NA,3.2024144999999997,NA
z_b0[15],-0.1178815,-1.1206785,0.9555816499999985,NA,NA,2.0762601499999986,NA
z_b0[16],-0.1718805,-1.8507339999999997,1.532922,NA,NA,3.3836559999999993,NA
z_b0[17],-0.135908,-1.188705,0.98704255,NA,NA,2.1757475499999996,NA
z_b0[18],0.126868,-0.7826528500000001,1.1110849999999997,NA,NA,1.8937378499999997,NA
z_b0[19],0.304444,-0.3411746,0.9379059999999998,NA,NA,1.2790806,NA
z_b0[20],0.3976315,-1.2738089999999997,2.0272555,NA,NA,3.3010645,NA
z_b0[21],0.201106,-1.4925945,1.8403919999999998,NA,NA,3.3329864999999996,NA
z_b0[22],-0.8889805,-1.6568524999999998,-0.14016185000000003,NA,NA,1.5166906499999997,NA
b1,0.6208435,0.58136175,0.66196645,NA,NA,0.08060469999999997,NA
b2,-0.0020735199999999997,-0.03632407,0.03347869499999999,NA,NA,0.06980276499999999,NA
b3,0.1663015,0.08791189,0.2442764499999999,NA,NA,0.15636455999999987,NA
b4,-0.02785505,-0.068956715,0.013633294999999995,NA,NA,0.08259000999999999,NA
b5,0.00407131,-0.09256592999999999,0.09996753500000001,NA,NA,0.19253346500000001,NA
b6,0.00656612,-0.017380939999999998,0.03159213499999999,NA,NA,0.04897307499999999,NA
b7,-0.02230275,-0.05060539499999999,0.006028684499999993,NA,NA,0.05663407949999998,NA
b8,0.014046900000000001,-0.056171315,0.08657457999999997,NA,NA,0.14274589499999996,NA
b9,0.003600115,-0.11439605,0.11760669999999995,NA,NA,0.23200274999999995,NA
b10,-4.09601e-5,-0.0061597705,0.005931926999999998,NA,NA,0.012091697499999998,NA
b11,-4.2183149999999996e-5,-1.263976e-4,4.034212499999999e-5,NA,NA,1.6673972499999998e-4,NA
b12,-0.1431675,-0.18121985,-0.10588260000000001,NA,NA,0.07533724999999998,NA
b13,-0.0614279,-0.1117899,-0.012466930000000006,NA,NA,0.09932297,NA
sigma,1.1130900000000001,1.037147,1.1990505,NA,NA,0.16190349999999998,NA
