variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,2.409665,2.0385730000000004,2.8361739999999998,1.0054817353179208,674.8793896910153,0.7976009999999993,TRUE
b_DBH_std,-0.6032234999999999,-0.66343765,-0.5416281,1.0006967694846631,3416.2892682114357,0.12180955000000004,TRUE
b_IDBH_stdE2,0.115228,0.08785292000000001,0.1457349,1.0007395609771788,4296.0051312547375,0.057881979999999986,TRUE
b_BAL_std,-0.484334,-0.5421765,-0.42715794999999995,0.9999873820208396,2875.9908520017007,0.11501855,TRUE
b_CR_std,0.488886,0.44167049999999997,0.5372989499999999,1.0002946560894135,5241.534406280409,0.09562844999999998,TRUE
b_SI_std,-0.03490085,-0.08937748499999999,0.019629429999999965,1.0002011544027654,4742.043965420972,0.10900691499999995,TRUE
b_BA_std,0.4600905,0.4016067,0.5199587999999999,0.9995813410612369,3263.4448887829735,0.11835209999999996,TRUE
sd_SPCD__Intercept,0.9958635,0.73819835,1.4195944999999999,1.016424161352204,653.1244375566658,0.6813961499999999,TRUE
Intercept,2.52805,2.1585815000000004,2.9508024999999996,1.0054157978967604,670.5321800397762,0.7922209999999992,TRUE
"r_SPCD[15,Intercept]",-0.6893279999999999,-1.142065,-0.27576520000000027,1.0051778504957796,764.401362877175,0.8662997999999998,TRUE
"r_SPCD[19,Intercept]",-0.8729845,-1.3207745,-0.4736437000000009,1.005271377565698,721.6225261254805,0.8471307999999991,TRUE
"r_SPCD[64,Intercept]",0.7819795,-0.4307238,2.2784789999999995,1.003902171588028,3513.4446270163776,2.7092027999999995,TRUE
"r_SPCD[65,Intercept]",1.572705,1.1338335,1.9711504999999998,1.0045018473489642,733.3291801895888,0.8373169999999999,TRUE
"r_SPCD[66,Intercept]",0.9169529999999999,0.3528819,1.4762709999999999,1.0033251866639519,1181.4515170410039,1.1233890999999998,TRUE
"r_SPCD[93,Intercept]",-0.984903,-1.4323995,-0.5937771500000011,1.0060474256975132,738.4353635400037,0.838622349999999,TRUE
"r_SPCD[96,Intercept]",0.4147465,-0.6278349000000001,1.7153839999999994,1.0000196420323837,3684.1644689425843,2.343218899999999,TRUE
"r_SPCD[101,Intercept]",-0.739527,-1.9017099999999998,0.4567965999999995,1.0036742507379952,3756.1826778699838,2.3585065999999992,TRUE
"r_SPCD[106,Intercept]",0.4890245,0.05175181000000003,0.8989966,1.0048074445595059,709.4498920463459,0.84724479,TRUE
"r_SPCD[108,Intercept]",-1.4706649999999999,-1.9012825,-1.0823280000000002,1.0051699506414606,722.365442309734,0.8189544999999998,TRUE
"r_SPCD[113,Intercept]",-1.156205,-1.6771025,-0.6761037000000005,1.00395955783673,1055.9938887953942,1.0009987999999994,TRUE
"r_SPCD[122,Intercept]",1.181285,0.607994,1.7941899999999995,1.0037393131631378,1229.200313432256,1.1861959999999994,TRUE
"r_SPCD[133,Intercept]",0.348458,-0.09060684499999998,0.7431371499999999,1.0044865173240198,716.1437276955551,0.8337439949999998,TRUE
"r_SPCD[142,Intercept]",0.303721,-0.48685249999999997,1.1689449999999992,1.0021274652865964,2316.7461474665306,1.6557974999999991,TRUE
"r_SPCD[202,Intercept]",-0.49981,-0.94158235,-0.09084850000000012,1.0047768349599484,718.8120290164712,0.8507338499999999,TRUE
"r_SPCD[313,Intercept]",0.2441865,-1.2419829999999998,1.947523,1.0021650141584397,5784.4081133758145,3.1895059999999997,TRUE
"r_SPCD[322,Intercept]",0.43161099999999997,-0.08596833999999998,0.9463747,1.0035055348019573,998.2665563387291,1.03234304,TRUE
"r_SPCD[374,Intercept]",-0.5810165,-2.149374,0.9072481499999998,1.000543799049027,5335.032206408673,3.05662215,TRUE
"r_SPCD[475,Intercept]",0.2922255,-0.1499001,0.7044697999999997,1.0045543673444364,776.0090086336189,0.8543698999999997,TRUE
"r_SPCD[746,Intercept]",-0.5324139999999999,-0.95609265,-0.14138140000000032,1.0050657605259234,723.8070172903873,0.8147112499999997,TRUE
"r_SPCD[748,Intercept]",0.8569985,-0.38694385000000003,2.3462849999999986,1.0031808562064988,3893.342954856455,2.733228849999999,TRUE
"r_SPCD[749,Intercept]",0.879123,-0.30597009999999997,2.362192499999999,1.000538554000913,3921.807817883064,2.668162599999999,TRUE
"r_SPCD[814,Intercept]",-0.7156735,-1.1571905,-0.3218486000000002,1.0046175689546017,713.7282498543566,0.8353418999999997,TRUE
lprior,-3.83598,-4.0596755,-3.685468,1.0074776742921814,731.4315729870207,0.3742074999999998,TRUE
lp__,-7370.155,-7379.3105000000005,-7362.5,1.0132447529087025,673.3213619573343,16.810500000000502,TRUE
