SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
15,285,-1.7249637314604047,-1.6462599899981276,-1.7013526090217215,1.7249637314604047,1.6462599899981276,1.7013526090217215,0.09635260902172149
19,300,-1.8188951033069134,-1.6527587443207539,-1.7690541956110655,1.8188951033069134,1.6527587443207539,1.7690541956110655,0.1640541956110655
20,NA,NA,-1.623416026830525,NA,NA,1.623416026830525,NA,NA
64,NA,NA,-1.5613317221536875,NA,NA,1.5613317221536875,NA,NA
65,4389,-1.415323670040552,-1.5112946672775,-1.4441149692116366,1.415323670040552,1.5112946672775,1.4441149692116366,-0.16088503078836336
66,140,-2.011562917022003,-1.67619725040321,-1.910953217036365,2.011562917022003,1.67619725040321,1.910953217036365,0.305953217036365
93,375,-1.5922907633489585,-1.6391450904947802,-1.606347061492705,1.5922907633489585,1.6391450904947802,1.606347061492705,0.0013470614927049152
96,NA,NA,-1.6188966977436876,NA,NA,1.6188966977436876,NA,NA
101,NA,NA,-1.61534823262369,NA,NA,1.61534823262369,NA,NA
102,NA,NA,-1.6483972929839426,NA,NA,1.6483972929839426,NA,NA
106,670,-1.6241705313724213,-1.577728249518775,-1.6102378468163274,1.6241705313724213,1.577728249518775,1.6102378468163274,0.0052378468163274405
108,293,-2.1853044327397337,-1.8411707831975002,-2.0820643378770636,2.1853044327397337,1.8411707831975002,2.0820643378770636,0.4770643378770636
113,39,-0.7752263749877373,-1.6854186352526501,-1.330443653749334,0.7752263749877373,1.6854186352526501,1.330443653749334,-0.27455634625066594
116,NA,NA,-1.58780657041575,NA,NA,1.58780657041575,NA,NA
122,169,-2.1541316258423415,-1.68963880003165,-2.014783778099134,2.1541316258423415,1.68963880003165,2.014783778099134,0.409783778099134
133,1725,-1.6796832403043431,-1.6242394719899913,-1.6630501098100376,1.6796832403043431,1.6242394719899913,1.6630501098100376,0.058050109810037664
142,NA,NA,-1.488198471119825,NA,NA,1.488198471119825,NA,NA
202,352,-1.8237158288878499,-1.630537019250325,-1.7657621859965924,1.8237158288878499,1.630537019250325,1.7657621859965924,0.16076218599659242
321,NA,NA,-1.6680202098448,NA,NA,1.6680202098448,NA,NA
322,73,-1.7829610230515027,-1.6296148864880988,-1.7369571820824816,1.7829610230515027,1.6296148864880988,1.7369571820824816,0.13195718208248164
475,472,-1.5743083928891304,-1.64594869219348,-1.5958004826804353,1.5743083928891304,1.64594869219348,1.5958004826804353,-0.009199517319564698
746,720,-1.446464621008185,-1.572925640359565,-1.484402926813599,1.446464621008185,1.572925640359565,1.484402926813599,-0.120597073186401
747,NA,NA,-1.6244484034195377,NA,NA,1.6244484034195377,NA,NA
748,NA,NA,-1.6809508329893876,NA,NA,1.6809508329893876,NA,NA
749,NA,NA,-1.5744811036965252,NA,NA,1.5744811036965252,NA,NA
814,220,-1.3652265951601208,-1.5349149405745126,-1.4161330987844383,1.3652265951601208,1.5349149405745126,1.4161330987844383,-0.1888669012155617
