SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
15,0.113960862004125,5.805497220754124,332.12028939630704,-0.0212494849981275,-1.6462599899981276,414.7570764298066,-1.7249637314604047,285,0.7,0.30000000000000004,389.9660403197567,-1.7013526090217217,NA,389.9660403197567,0.7,0.30000000000000004,qr_dominant
19,0.2256629022,5.9171992609499995,371.3701451084629,-0.02774823932075375,-1.652758744320754,504.02005945672994,-1.8188951033069136,300,0.7,0.30000000000000004,464.22508515224985,-1.7690541956110657,NA,464.22508515224985,0.7,0.30000000000000004,qr_dominant
20,0.04520579029295,5.73674214904295,310.052658456699,0.00159447816947499,-1.623416026830525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,-0.0811634827697675,5.610372875980232,273.2461059211169,0.0636787828463125,-1.5613317221536875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.00315450869318587,5.694690867443185,297.2848789452054,0.1137158377225,-1.5112946672775,423.6522362523943,-1.415323670040552,4389,0.7,0.30000000000000004,385.7420290602376,-1.4441149692116366,NA,385.7420290602376,0.7,0.30000000000000004,qr_dominant
66,-0.01563672239175375,5.6758996363582455,291.7506900454595,-0.05118674540321,-1.67619725040321,405.908911725543,-2.011562917022003,140,0.7,0.30000000000000004,371.66144522151797,-1.910953217036365,NA,371.661445221518,0.7,0.30000000000000004,qr_dominant
93,0.21288785805,5.9044242168,366.6560506036233,-0.01413458549478,-1.6391450904947802,482.42637029398713,-1.5922907633489585,375,0.7,0.30000000000000004,447.695274386878,-1.606347061492705,NA,447.695274386878,0.7,0.30000000000000004,qr_dominant
96,-0.1345980631242625,5.556938295625737,259.0285521605651,0.0061138072563125,-1.6188966977436876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,0.0320782411321525,5.723614599882152,306.009026499641,0.00966227237631,-1.61534823262369,NA,NA,NA,NA,NA,NA,NA,621,NA,NA,NA,NA
102,-0.090847738814765,5.600688619935235,270.61269257379195,-0.0233867879839425,-1.6483972929839426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,-0.088102894689375,5.6034334640606245,271.35650258753327,0.047282255481225,-1.577728249518775,361.7972265395452,-1.6241705313724213,670,0.7,0.30000000000000004,334.6650093539416,-1.6102378468163274,348,334.6650093539416,0.7,0.30000000000000004,qr_dominant
108,0.0880084347835625,5.779544793533562,323.61184667865166,-0.2161602781975,-1.8411707831975,367.1096961522834,-2.1853044327397337,293,0.7,0.30000000000000004,354.06034131019385,-2.0820643378770636,679,354.06034131019385,0.7,0.30000000000000004,qr_dominant
113,-0.03200152043971875,5.659534838310281,287.0151030694168,-0.06040813025265,-1.68541863525265,451.5169841420502,-0.7752263749877373,39,0.39,0.61,319.0929698785803,-1.330443653749334,409,351.1708366877438,0.195,0.8049999999999999,bayes_dominant
116,0.1106988417049625,5.802235200454962,331.03867135963304,0.03720393458425,-1.58780657041575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,-0.22937045235,5.462165906399999,235.60717521833564,-0.06462829503165,-1.68963880003165,290.5175212654599,-2.1541316258423415,169,0.7,0.30000000000000004,274.0444174513226,-2.014783778099134,446,274.0444174513226,0.7,0.30000000000000004,qr_dominant
