variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.4339875,-0.5727146000000001,-0.30689435,1.012587782838557,373.43794281460316,0.2658202500000001,TRUE
b_DBH_std,0.275412,0.24864640000000002,0.30233665,1.0020816834779878,2555.478174550892,0.05369024999999997,TRUE
b_IDBH_stdE2,-0.046346200000000004,-0.055725815000000005,-0.03665916,1.000534577721051,4130.873221775673,0.019066655000000002,TRUE
b_BA_std,-0.0777065,-0.10075125000000001,-0.053790745000000015,1.0018277274302145,2771.0378493530975,0.046960505,TRUE
b_BAL_std,-0.0607793,-0.08391283499999999,-0.038311275,1.0010674941135949,2778.966911963948,0.04560155999999999,TRUE
b_CR_std,-0.7531445,-0.7669841,-0.7395411,1.002386244448355,5712.268052867438,0.027442999999999995,TRUE
b_SI_std,-0.04264365,-0.05579132,-0.02967839000000001,0.9996499003901745,6059.324043257056,0.02611292999999999,TRUE
sd_SPCD__Intercept,0.4472525,0.3518323,0.5767611500000001,1.0031918689916852,752.980431884874,0.22492885000000007,TRUE
sigma,1.28323,1.2747185,1.29176,1.000542437642913,7773.141007590268,0.01704149999999993,TRUE
Intercept,-0.4785305,-0.61692445,-0.3521113,1.0125617080241287,371.0607234580088,0.26481314999999994,TRUE
"r_SPCD[11,Intercept]",0.27919550000000004,0.14890145000000002,0.4222467999999999,1.0126538648912904,382.60075461222317,0.27334534999999993,TRUE
"r_SPCD[15,Intercept]",0.247743,0.09883795000000001,0.40865215,1.008795641442893,471.3135975205569,0.3098142,TRUE
"r_SPCD[17,Intercept]",0.1307425,-0.038402215,0.3096083999999999,1.007870774716621,635.2694476004651,0.3480106149999999,TRUE
"r_SPCD[19,Intercept]",0.6082295,0.42926200000000003,0.7942605500000001,1.0052569778117344,695.7141017782324,0.36499855000000003,TRUE
"r_SPCD[20,Intercept]",-0.294756,-0.8480293000000001,0.22774989999999917,1.0027616568102804,4410.261552648688,1.0757791999999993,TRUE
"r_SPCD[21,Intercept]",-0.04468385,-0.23107285,0.13877085,1.005834249377727,638.0721057104628,0.3698437,TRUE
"r_SPCD[22,Intercept]",0.1383045,-0.010110345,0.29944445000000003,1.0109283495060777,463.49962121066443,0.30955479500000005,TRUE
"r_SPCD[42,Intercept]",0.46575900000000003,0.26797384999999996,0.6611157,1.0055519355776592,767.8243471028586,0.39314185,TRUE
"r_SPCD[73,Intercept]",-0.217952,-0.8307855,0.38285725,1.0005221393367396,4635.346409515434,1.21364275,TRUE
"r_SPCD[81,Intercept]",-0.1177365,-0.27830669999999996,0.05477811999999999,1.0076591246868984,603.2232159641898,0.33308481999999995,TRUE
"r_SPCD[93,Intercept]",1.0112,0.74492355,1.292911,1.0025662516462241,1756.507353459426,0.5479874499999999,TRUE
"r_SPCD[98,Intercept]",0.18020550000000002,-0.37939975,0.7667252999999998,1.000312885749969,5387.4660066391225,1.1461250499999998,TRUE
"r_SPCD[108,Intercept]",0.0384548,-0.11906454999999999,0.20810114999999996,1.0060492957983331,569.3302270746899,0.32716569999999995,TRUE
"r_SPCD[116,Intercept]",-0.14553349999999998,-0.8434947500000001,0.49822984999999986,1.001271154548857,4752.529694443883,1.3417246,TRUE
"r_SPCD[117,Intercept]",-0.582667,-0.8844285,-0.28301065000000003,1.0016527484614988,2221.4152043573367,0.6014178499999999,TRUE
"r_SPCD[119,Intercept]",0.4234965,0.16247804999999998,0.6902440999999999,1.0036994564173434,1394.267466842254,0.5277660499999999,TRUE
"r_SPCD[122,Intercept]",-0.254931,-0.44918145,-0.05849874500000001,1.0064965233629293,762.7276962604716,0.39068270499999996,TRUE
"r_SPCD[202,Intercept]",-0.267197,-0.39610675,-0.12581025000000007,1.0118355973063882,384.72067681669097,0.27029649999999994,TRUE
"r_SPCD[231,Intercept]",0.334981,0.09525561,0.57045965,1.0038850914698838,1274.637907977104,0.47520404,TRUE
"r_SPCD[242,Intercept]",0.3835095,0.2479569,0.5353691,1.0101355314675116,424.41315089037107,0.2874122,TRUE
"r_SPCD[263,Intercept]",0.280203,0.15136185,0.4237145999999998,1.0122632436194565,373.78266344143265,0.2723527499999998,TRUE
"r_SPCD[264,Intercept]",0.571639,0.43510045,0.71750715,1.0111779959541398,434.3055070712226,0.28240669999999995,TRUE
"r_SPCD[312,Intercept]",-0.09290405,-0.25712695,0.07299351,1.0075355482120452,579.368981268004,0.33012046,TRUE
"r_SPCD[351,Intercept]",-0.4154525,-0.5704649500000001,-0.25466390000000017,1.0077547483032339,553.5717079550443,0.3158010499999999,TRUE
"r_SPCD[352,Intercept]",-0.1468105,-0.85284805,0.5158151499999999,1.000118747463766,5302.941414586435,1.3686631999999999,TRUE
"r_SPCD[361,Intercept]",-0.5543875,-0.7656807000000001,-0.33450280000000016,1.0050302939767288,840.4058326349722,0.43117789999999995,TRUE
"r_SPCD[375,Intercept]",-0.7371785,-1.2327664999999999,-0.2885240000000002,1.0037113780116502,2907.7100585653716,0.9442424999999997,TRUE
"r_SPCD[431,Intercept]",-0.185421,-0.394894,0.022693254999999937,1.0037544706343728,1083.7096739111612,0.41758725499999994,TRUE
"r_SPCD[492,Intercept]",0.1190245,-0.25515489999999996,0.49309104999999986,1.0004092722488966,3393.5114891151393,0.7482459499999998,TRUE
"r_SPCD[542,Intercept]",0.0042048450000000005,-0.44900114999999996,0.4645108999999999,1.0003968062747528,2981.5715920044663,0.9135120499999998,TRUE
"r_SPCD[631,Intercept]",-0.0329029,-0.7012127499999999,0.6573587999999998,1.0027962002568276,5412.9408972883175,1.3585715499999997,TRUE
"r_SPCD[747,Intercept]",-0.5219985,-0.84809175,-0.18839285,1.0034757732389477,2599.650612696858,0.6596989,TRUE
"r_SPCD[763,Intercept]",-0.049411449999999996,-0.6782211999999999,0.5731867,1.0025727606216028,5059.183445197032,1.2514078999999998,TRUE
"r_SPCD[768,Intercept]",-0.5222765,-0.87305825,-0.17520449999999999,1.0014500759557152,2358.9168147756,0.69785375,TRUE
"r_SPCD[771,Intercept]",0.011674549999999999,-0.6709298999999999,0.7054277999999989,1.0001481584615828,5657.264604704693,1.376357699999999,TRUE
"r_SPCD[805,Intercept]",-0.2242825,-0.8026291499999999,0.32100004999999965,1.0002192355088686,4689.672101769615,1.1236291999999994,TRUE
"r_SPCD[815,Intercept]",0.30308,0.0524368,0.5709472999999999,1.0020652570222248,1555.513901997869,0.5185105,TRUE
"r_SPCD[818,Intercept]",-0.337912,-0.6984262999999999,0.020192379999999663,1.0000585279115606,2891.875971908252,0.7186186799999996,TRUE
lprior,-4.57934,-4.6020200000000004,-4.565548499999999,1.0074834226661333,638.1074478678024,0.0364715000000011,TRUE
lp__,-50106.4,-50117.305,-50096.5,1.004360935266387,696.0145064519588,20.80500000000029,TRUE
