variable,estimate
lp__,-6140.75
mu_b0,1.48219
sigma_b0,0.816027
z_b0[1],0.106179
z_b0[2],0.548111
z_b0[3],0.408026
z_b0[4],-0.578009
z_b0[5],-0.03464
z_b0[6],0.39799
z_b0[7],0.461508
z_b0[8],-0.23572
z_b0[9],0.00923163
z_b0[10],0.221778
z_b0[11],-0.256071
z_b0[12],0.0442351
z_b0[13],-0.245506
z_b0[14],-0.0192275
z_b0[15],0.22951
z_b0[16],0.0323786
z_b0[17],0.168498
z_b0[18],0.280526
z_b0[19],-1.08781
z_b0[20],0.343774
z_b0[21],0.157638
z_b0[22],-0.313586
z_b0[23],0.232079
z_b0[24],0.167515
z_b0[25],-0.0470978
z_b0[26],-0.320611
z_b0[27],0.192348
z_b0[28],-0.443348
z_b0[29],-0.121129
z_b0[30],-0.147328
z_b0[31],0.0419642
z_b0[32],0.403303
z_b0[33],0.00853621
z_b0[34],0.186628
z_b0[35],0.0372142
z_b0[36],-0.141341
z_b0[37],-0.588776
z_b0[38],-0.219301
b1,1.09549
b2,-0.336435
b3,0.13661
b4,-0.0145155
b5,-0.0164991
b6,-0.0017866
b7,-0.00708968
b8,-0.115002
b9,0.0187548
b10,0.0273002
b11,-6.0338e-5
b12,-0.291907
b13,0.0352492
sigma,0.744145
b0[1],1.56884
b0[2],1.92946
b0[3],1.81515
b0[4],1.01052
b0[5],1.45392
b0[6],1.80696
b0[7],1.85879
b0[8],1.28984
b0[9],1.48972
b0[10],1.66317
b0[11],1.27323
b0[12],1.51829
b0[13],1.28185
b0[14],1.4665
b0[15],1.66948
b0[16],1.50861
b0[17],1.61969
b0[18],1.71111
b0[19],0.594509
b0[20],1.76272
b0[21],1.61083
b0[22],1.2263
b0[23],1.67157
b0[24],1.61889
b0[25],1.44376
b0[26],1.22056
b0[27],1.63915
b0[28],1.12041
b0[29],1.38335
b0[30],1.36197
b0[31],1.51643
b0[32],1.8113
b0[33],1.48916
b0[34],1.63448
b0[35],1.51256
b0[36],1.36685
b0[37],1.00173
b0[38],1.30324
ln_DDS_rep[1],1.69907
ln_DDS_rep[2],5.46182
ln_DDS_rep[3],2.35228
ln_DDS_rep[4],4.69625
ln_DDS_rep[5],3.99906
ln_DDS_rep[6],3.53259
ln_DDS_rep[7],4.26587
ln_DDS_rep[8],3.5888
ln_DDS_rep[9],3.7056
ln_DDS_rep[10],4.55316
ln_DDS_rep[11],3.88715
ln_DDS_rep[12],3.572
ln_DDS_rep[13],3.00366
ln_DDS_rep[14],1.98056
ln_DDS_rep[15],5.47446
ln_DDS_rep[16],-0.894973
ln_DDS_rep[17],1.68513
ln_DDS_rep[18],4.18731
ln_DDS_rep[19],2.46659
ln_DDS_rep[20],1.97245
ln_DDS_rep[21],2.87485
ln_DDS_rep[22],3.49216
ln_DDS_rep[23],-0.470898
ln_DDS_rep[24],3.29114
ln_DDS_rep[25],3.72791
ln_DDS_rep[26],4.73881
ln_DDS_rep[27],2.95646
ln_DDS_rep[28],3.08947
ln_DDS_rep[29],-0.248362
ln_DDS_rep[30],2.04561
ln_DDS_rep[31],2.9703
ln_DDS_rep[32],5.54767
ln_DDS_rep[33],2.90426
ln_DDS_rep[34],4.39446
ln_DDS_rep[35],4.3425
ln_DDS_rep[36],3.86564
ln_DDS_rep[37],4.24569
ln_DDS_rep[38],3.11453
