variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,60.349099825,10.45727149973033,41.6695975,80.72282750000001,NA,NA,NA,NA
b_b_Intercept,0.0612018422325,0.019937286171330386,0.022635547500000002,0.10120555,NA,NA,NA,NA
b_c_Intercept,1.2232617825,0.010753389637452346,1.2025595000000002,1.245225,NA,NA,NA,NA
sd_SPCD__a_Intercept,101.744779425,15.377194522672568,73.78178500000001,134.2122,NA,NA,NA,NA
sd_SPCD__b_Intercept,1.4991114255,0.21606996739334527,1.09597575,1.979443,NA,NA,NA,NA
sigma,15.831377325,0.06356727851708686,15.7067925,15.9539025,NA,NA,NA,NA
"r_SPCD__a[11,Intercept]",128.590522725,10.990925351287784,107.10227499999999,148.817325,NA,NA,NA,NA
"r_SPCD__a[15,Intercept]",136.402598625,12.279146306792933,112.82164999999999,160.469125,NA,NA,NA,NA
"r_SPCD__a[17,Intercept]",115.250503775,13.849313253966056,87.50148999999999,141.74135,NA,NA,NA,NA
"r_SPCD__a[19,Intercept]",91.94831345,26.86677160380387,47.8400725,152.558,NA,NA,NA,NA
"r_SPCD__a[20,Intercept]",80.661573425,24.57499947113871,40.7802275,131.730625,NA,NA,NA,NA
"r_SPCD__a[21,Intercept]",123.720956575,13.240593065102887,97.37075250000001,148.283275,NA,NA,NA,NA
"r_SPCD__a[22,Intercept]",141.704707525,11.857173957258283,118.184175,163.637325,NA,NA,NA,NA
"r_SPCD__a[42,Intercept]",67.653854175,12.536418455664936,41.8422775,90.1017875,NA,NA,NA,NA
"r_SPCD__a[64,Intercept]",21.3744146440925,58.27694016338144,-61.45947,156.74925,NA,NA,NA,NA
"r_SPCD__a[73,Intercept]",97.1225262,25.17550817670077,58.79197500000001,158.9195,NA,NA,NA,NA
"r_SPCD__a[81,Intercept]",107.7576483,11.884002413249151,83.31713500000001,130.3493,NA,NA,NA,NA
"r_SPCD__a[93,Intercept]",222.5079755,49.780684260968854,141.63385,340.6787,NA,NA,NA,NA
"r_SPCD__a[98,Intercept]",146.79246955,37.23982124057291,89.804895,234.39430000000002,NA,NA,NA,NA
"r_SPCD__a[101,Intercept]",86.061234435,36.207739080782446,34.7833225,184.69475000000003,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",72.6389656,21.084768887126973,37.118140000000004,119.84042500000001,NA,NA,NA,NA
"r_SPCD__a[116,Intercept]",97.430783321925,55.487190638517504,15.761847500000002,234.51800000000003,NA,NA,NA,NA
"r_SPCD__a[117,Intercept]",163.951965,21.321748848658412,127.86189999999999,211.38150000000002,NA,NA,NA,NA
"r_SPCD__a[119,Intercept]",156.82892875,16.81795501642239,124.74797500000001,191.18702500000003,NA,NA,NA,NA
"r_SPCD__a[122,Intercept]",163.3662,18.989825241038194,130.77425,205.29037499999998,NA,NA,NA,NA
"r_SPCD__a[202,Intercept]",137.331289225,10.534131861616357,116.24397499999999,156.474625,NA,NA,NA,NA
"r_SPCD__a[231,Intercept]",-1.0706163236750001,31.199397506163702,-38.9130275,77.69841000000005,NA,NA,NA,NA
"r_SPCD__a[242,Intercept]",104.426174875,10.657600756754722,83.60605249999999,124.07270000000001,NA,NA,NA,NA
"r_SPCD__a[263,Intercept]",111.408249675,10.650831117757415,90.666465,130.693125,NA,NA,NA,NA
"r_SPCD__a[264,Intercept]",83.690024325,11.069715577851104,62.3804875,103.77865,NA,NA,NA,NA
"r_SPCD__a[312,Intercept]",32.48171811275,10.945408701852092,10.1671075,52.9942525,NA,NA,NA,NA
"r_SPCD__a[321,Intercept]",39.549109342525,58.34781597211865,-38.9945,182.33990000000003,NA,NA,NA,NA
