variable,estimate
b_Intercept,2.5787649999999998
b_DBH_std,-0.35950550000000003
b_IDBH_stdE2,-0.0030072650000000003
b_BAL_std,-0.9754255000000001
b_CR_std,0.594193
b_SI_std,0.043159
b_BA_std,0.8788195
sd_SPCD__Intercept,0.629443
Intercept,2.585635
"r_SPCD[11,Intercept]",0.191123
"r_SPCD[15,Intercept]",-0.253045
"r_SPCD[17,Intercept]",-0.706673
"r_SPCD[19,Intercept]",-0.469144
"r_SPCD[20,Intercept]",-0.0881702
"r_SPCD[21,Intercept]",-0.774902
"r_SPCD[22,Intercept]",-0.02574995
"r_SPCD[42,Intercept]",1.00221
"r_SPCD[73,Intercept]",-0.424386
"r_SPCD[81,Intercept]",0.6985859999999999
"r_SPCD[93,Intercept]",-0.1002045
"r_SPCD[98,Intercept]",0.1833265
"r_SPCD[108,Intercept]",-0.8151325
"r_SPCD[116,Intercept]",0.1781775
"r_SPCD[117,Intercept]",-0.4427955
"r_SPCD[119,Intercept]",-0.9718735000000001
"r_SPCD[122,Intercept]",-0.193211
"r_SPCD[202,Intercept]",0.2698195
"r_SPCD[231,Intercept]",0.301558
"r_SPCD[242,Intercept]",1.1032
"r_SPCD[263,Intercept]",0.41771800000000003
"r_SPCD[264,Intercept]",0.0943464
"r_SPCD[312,Intercept]",0.587879
"r_SPCD[351,Intercept]",0.139731
"r_SPCD[352,Intercept]",-0.307381
"r_SPCD[361,Intercept]",-0.04507565
"r_SPCD[375,Intercept]",0.07388410000000001
"r_SPCD[431,Intercept]",-0.2359655
"r_SPCD[492,Intercept]",0.5612824999999999
"r_SPCD[542,Intercept]",0.2896995
"r_SPCD[661,Intercept]",0.036023
"r_SPCD[747,Intercept]",0.24381049999999999
"r_SPCD[763,Intercept]",0.14524399999999998
"r_SPCD[768,Intercept]",-0.842142
"r_SPCD[771,Intercept]",0.0755363
"r_SPCD[805,Intercept]",-0.40983800000000004
"r_SPCD[815,Intercept]",0.3565025
"r_SPCD[818,Intercept]",0.199285
lprior,-3.795135
lp__,-7359.485
