variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.82483041625,0.05360983238343745,5.71527425,5.92673425
b_ln_qmd_centered,-1.59867026,0.01981809210997012,-1.6346802499999997,-1.5577095
sd_SPCD__Intercept,0.3515835575,0.04005149207412708,0.283515575,0.43895959999999995
sd_SPCD__ln_qmd_centered,0.0840433182,0.02398284382991522,0.046073949999999995,0.13897844999999998
cor_SPCD__Intercept__ln_qmd_centered,-0.0630710094759875,0.20799425780616176,-0.45665619999999996,0.353072025
sigma,0.2140258605,0.0014005571734453618,0.211314875,0.21682012500000003
Intercept,5.86620493375,0.05357290633293317,5.75710675,5.967706
"r_SPCD[11,Intercept]",0.51678405375,0.05438982335124268,0.41382240000000003,0.6264858
"r_SPCD[15,Intercept]",0.165578850374375,0.05494108473956279,0.06171580000000001,0.27527607499999995
"r_SPCD[17,Intercept]",0.05043095545708625,0.0541445553552701,-0.053741647499999996,0.16155175
"r_SPCD[19,Intercept]",0.140815879358875,0.057539820261604945,0.02903505,0.25822402499999997
"r_SPCD[20,Intercept]",0.4481288702,0.10767869522379438,0.23765592500000002,0.6586501749999998
"r_SPCD[21,Intercept]",0.464979609625,0.059999900044340894,0.350344975,0.5869255250000001
"r_SPCD[22,Intercept]",0.42865632325,0.05979688293600359,0.31342002500000005,0.5490758749999998
"r_SPCD[41,Intercept]",0.301184259998625,0.10268897006010129,0.0981695125,0.5038044499999998
"r_SPCD[42,Intercept]",0.461151125625,0.07391155247172251,0.31848610000000005,0.6088467249999999
"r_SPCD[64,Intercept]",-0.7863910515,0.05609917454445893,-0.89454885,-0.6744558500000001
"r_SPCD[72,Intercept]",-0.36822620854125,0.09393888224971739,-0.5502264,-0.18452565000000004
"r_SPCD[73,Intercept]",-0.0082764360287375,0.05717127051788295,-0.119534,0.10854732499999999
"r_SPCD[81,Intercept]",0.09382716758418749,0.06340571999349154,-0.028637202499999993,0.22115524999999994
"r_SPCD[93,Intercept]",0.03886840680072875,0.05670833070863745,-0.07062481500000001,0.1534377249999999
"r_SPCD[98,Intercept]",0.2293034609,0.06594917698475104,0.0957271225,0.36048769999999997
"r_SPCD[101,Intercept]",-0.312412584375,0.07664343326374588,-0.462397375,-0.16114100000000003
"r_SPCD[103,Intercept]",0.2487424034534875,0.14986192380649246,-0.040799825,0.5409001250000001
"r_SPCD[108,Intercept]",-0.1284707769671375,0.05628712919260034,-0.236634,-0.014952742500000001
"r_SPCD[116,Intercept]",-0.473805657375,0.08654129234106538,-0.6436826,-0.305432525
"r_SPCD[117,Intercept]",0.0046133220253175,0.07594756500917564,-0.14446945,0.15420144999999996
"r_SPCD[119,Intercept]",-0.211132072083875,0.08613509420139759,-0.37628209999999995,-0.03575461250000011
"r_SPCD[122,Intercept]",-0.33814856125,0.05398297906123549,-0.4425336,-0.22820545
"r_SPCD[202,Intercept]",0.2265901322,0.05373825452769871,0.124346875,0.3365231249999999
"r_SPCD[211,Intercept]",-0.04105599728813875,0.1471534668165138,-0.32437,0.24816094999999996
"r_SPCD[231,Intercept]",-0.766833755275,0.1956872584298499,-1.152005,-0.39347002500000017
"r_SPCD[242,Intercept]",0.428018009375,0.05514138043396998,0.32186765,0.541184325
"r_SPCD[263,Intercept]",0.433999828375,0.05409752700725522,0.331830025,0.5447806499999999
"r_SPCD[264,Intercept]",0.39303636575,0.05536005890556594,0.287555825,0.5046525999999999
"r_SPCD[312,Intercept]",-0.024242354628025,0.05866481745616184,-0.13617057500000002,0.09777601
"r_SPCD[351,Intercept]",-0.150763621076,0.05495465509331481,-0.25747760000000003,-0.03952458500000004
"r_SPCD[361,Intercept]",0.1408319903227125,0.06539397958724555,0.013578867500000008,0.268736125
"r_SPCD[374,Intercept]",-0.583118198186625,0.19584645689871005,-0.9686142499999999,-0.2084658750000001
"r_SPCD[375,Intercept]",0.0207853302699,0.09505886251776088,-0.1679635,0.20798847499999978
