variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.31070949999999997,-0.4146283,-0.20391150000000005,1.0117449479658815,391.68558778132433,0.21071679999999995,TRUE
b_DBH_std,0.106017,0.08017270000000001,0.1309808,1.0001874755021452,1862.927840824179,0.050808099999999995,TRUE
b_IDBH_stdE2,-0.026578650000000002,-0.037721,-0.015873130000000003,0.9998845247456094,4133.510111956988,0.021847869999999995,TRUE
b_BA_std,-0.183844,-0.20824824999999997,-0.15737650000000003,1.0001397164468504,2168.138257235447,0.05087174999999994,TRUE
b_BAL_std,0.004249859999999999,-0.02307824,0.029880914999999997,1.0013685751655523,1928.333868763859,0.052959154999999994,TRUE
b_CR_std,-0.606587,-0.6211122,-0.5922743500000001,1.0003609700143763,6253.001594067506,0.028837849999999943,TRUE
b_SI_std,-0.0592755,-0.074676995,-0.04356573500000001,1.0006145551610817,5565.196280383902,0.031111259999999988,TRUE
sd_SPCD__Intercept,0.4152045,0.33670859999999997,0.5191218499999999,1.00208183423425,588.8144094829039,0.18241324999999992,TRUE
sigma,1.38327,1.37356,1.39326,1.0008039810578568,10513.830668246404,0.01970000000000005,TRUE
Intercept,-0.336528,-0.43968895,-0.22950310000000004,1.01186599921635,387.27461801318583,0.21018584999999998,TRUE
"r_SPCD[15,Intercept]",0.054054149999999995,-0.05638268,0.16249265,1.0109943006675715,419.06191393921694,0.21887532999999998,TRUE
"r_SPCD[20,Intercept]",0.0181442,-0.098568465,0.13162734999999984,1.0097975448417347,439.50104849096925,0.23019581499999983,TRUE
"r_SPCD[62,Intercept]",0.05629365,-0.16276045,0.2780212999999999,1.0012580899411812,1504.067989698387,0.4407817499999999,TRUE
"r_SPCD[64,Intercept]",0.504176,0.3393971,0.6721496499999999,1.004602777546482,821.8340866945271,0.3327525499999999,TRUE
"r_SPCD[65,Intercept]",0.34896400000000005,0.11027405000000001,0.5920214999999999,1.0013579407252822,1889.3384061237707,0.48174744999999985,TRUE
"r_SPCD[81,Intercept]",-0.115769,-0.23152704999999996,5.520632999999602e-4,1.0102374048279283,441.68988780231314,0.23207911329999992,TRUE
"r_SPCD[101,Intercept]",0.0953816,-0.047756375,0.2327658,1.0053435231670957,664.6127901509243,0.280522175,TRUE
"r_SPCD[103,Intercept]",-0.030815099999999998,-0.4104892,0.33636165,1.0002767493964837,3620.1836142732595,0.74685085,TRUE
"r_SPCD[104,Intercept]",0.6735169999999999,0.4890703,0.86105695,1.0029340893012604,1046.7761610619684,0.37198665000000003,TRUE
"r_SPCD[108,Intercept]",0.3920205,0.27934440000000005,0.50859975,1.0101729795340915,448.56441488113944,0.22925534999999997,TRUE
"r_SPCD[109,Intercept]",0.08236774999999999,-0.35502685,0.5209480499999994,1.0014937025559274,4023.5901002564424,0.8759748999999994,TRUE
"r_SPCD[113,Intercept]",0.4710565,0.19857704999999998,0.7432492999999997,1.0029321966165552,2023.1005719270076,0.5446722499999996,TRUE
"r_SPCD[116,Intercept]",0.19709100000000002,0.07923642500000001,0.3109917499999999,1.0101009501185885,418.67053315366473,0.2317553249999999,TRUE
"r_SPCD[117,Intercept]",0.0406829,-0.09385896999999999,0.1757966,1.008636649891692,575.7712504817488,0.26965556999999996,TRUE
"r_SPCD[119,Intercept]",0.4681415,0.31817125,0.6095482,1.005975670963792,682.2565409411346,0.29137694999999997,TRUE
"r_SPCD[122,Intercept]",-0.001059143,-0.12133795,0.11722584999999996,1.0089026204301461,473.2040574250393,0.23856379999999996,TRUE
"r_SPCD[127,Intercept]",-0.3658205,-0.64405415,-0.10405780000000002,1.0017164124910356,2086.765867962471,0.53999635,TRUE
"r_SPCD[133,Intercept]",0.4007765,0.2711772,0.5288309499999998,1.0107847923014524,506.6442020782356,0.2576537499999998,TRUE
"r_SPCD[137,Intercept]",0.216818,-0.21683845000000002,0.6485126499999999,1.0009389235482091,4036.2724332366074,0.8653510999999999,TRUE
"r_SPCD[142,Intercept]",0.6926845,0.37375735,1.0184334999999998,1.0013677342287413,2349.232087132037,0.6446761499999998,TRUE
"r_SPCD[201,Intercept]",0.2907,-0.13770125,0.7401969999999995,1.002334187189832,3744.553170362343,0.8778982499999995,TRUE
"r_SPCD[202,Intercept]",-0.111492,-0.23002685,0.005356979999999979,1.0109124386640813,457.7993162425927,0.23538383,TRUE
"r_SPCD[212,Intercept]",0.0069751,-0.4997611,0.5183806000000001,1.0004890470676386,4560.119869934951,1.0181417000000001,TRUE
"r_SPCD[231,Intercept]",-0.28303849999999997,-0.78753265,0.18329339999999986,1.0002158865952455,4281.410917577477,0.9708260499999998,TRUE
"r_SPCD[251,Intercept]",0.1002245,-0.27514264999999993,0.47930639999999974,1.0005108448312097,3763.1535651994377,0.7544490499999996,TRUE
"r_SPCD[264,Intercept]",0.6803165,0.5379568,0.82351765,1.0065483817392429,659.9738830499624,0.28556085,TRUE
"r_SPCD[312,Intercept]",-0.14711249999999998,-0.39644875,0.11485494999999975,1.000979089796952,2038.6421844452,0.5113036999999998,TRUE
"r_SPCD[333,Intercept]",-0.5235065,-0.85814645,-0.1908065000000001,1.0002276814570246,2955.8837374920554,0.6673399499999999,TRUE
"r_SPCD[351,Intercept]",0.03549035,-0.581553,0.66964435,1.000756370714142,4391.291811401155,1.25119735,TRUE
"r_SPCD[352,Intercept]",-0.440899,-0.8177985999999999,-0.08024710500000004,1.0011730734933098,3291.4976448874654,0.737551495,TRUE
"r_SPCD[361,Intercept]",-0.613471,-0.8939069500000001,-0.356032,1.0017845643333863,2494.5869504948428,0.5378749500000001,TRUE
"r_SPCD[431,Intercept]",-0.329204,-0.9718872,0.2800054999999999,1.0001378203962739,4218.153112048311,1.2518927,TRUE
"r_SPCD[492,Intercept]",0.263822,-0.033860175,0.5637955499999999,1.0011530930451775,2631.629241362304,0.597655725,TRUE
"r_SPCD[604,Intercept]",-0.17937,-0.7666075,0.40601444999999936,1.0018963668951393,5700.109288282814,1.1726219499999995,TRUE
"r_SPCD[631,Intercept]",-0.29090950000000004,-0.47604420000000003,-0.10711305000000004,1.0039556109416359,1071.8803109120274,0.36893115,TRUE
