variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,0.0644508,0.01068452,0.11088279999999999,1.0118155618550004,580.2446737227982
b_CR_t1_std,0.593283,0.5870447000000001,0.59960945,1.00134431892597,7462.706715530034
b_DBH_std,0.06376175,0.040003765000000004,0.088657925,1.0060160532091007,1111.4877323171777
b_IDBH_stdE2,-0.012150149999999998,-0.01683579,-0.0073698340000000005,0.9993369027324811,5920.292698410329
b_BA_std,-0.0647359,-0.07565965,-0.053623210000000004,1.0014126083059713,5231.590355256195
b_BAL_std,-0.01974615,-0.032305679999999996,-0.007452414000000005,1.000337139590132,4898.125232802846
b_SI_std,-0.02285235,-0.029785905,-0.016161225000000008,1.001063042496211,7730.410131272598
b_relDBH_std,-0.033230899999999994,-0.043720795,-0.022631045000000002,1.0003840795190755,5475.156722182447
sd_SPCD_grouped__Intercept,0.1731075,0.14126224999999998,0.21850044999999996,1.003810615266703,936.7760702820477
sd_SPCD_grouped__DBH_std,0.06410135,0.047067445,0.08685960499999999,1.0010611699446303,1536.927316433467
cor_SPCD_grouped__Intercept__DBH_std,-0.85053,-0.9576465500000001,-0.5811261500000001,1.0013637414075782,1094.1738574259678
phi,12.4481,12.2831,12.608305,1.0012287808492968,8654.006046962177
Intercept,0.0509434,-0.0021247319999999994,0.09748151999999999,1.0120478762370555,574.990795684355
"r_SPCD_grouped[OTHER,Intercept]",0.023197750000000003,-0.074664855,0.12199449999999998,1.0025729534266299,1964.4831535211226
"r_SPCD_grouped[15,Intercept]",-0.00250871,-0.05118534,0.05216819999999999,1.0110848429219343,592.9490637739157
"r_SPCD_grouped[20,Intercept]",0.004012145,-0.047048629999999994,0.060281799999999996,1.0106717970847137,626.3321755474598
"r_SPCD_grouped[62,Intercept]",0.126121,0.029492675000000003,0.22659959999999996,1.001513840886741,2132.4570291709183
"r_SPCD_grouped[64,Intercept]",0.21746,0.14743775,0.29055339999999996,1.0057973077504487,1103.0092500422315
"r_SPCD_grouped[65,Intercept]",0.28316850000000005,0.1727568,0.39620424999999987,1.0017521205171196,2177.0870964234477
"r_SPCD_grouped[81,Intercept]",-0.06555174999999999,-0.11692614999999999,-0.010051877000000022,1.0115778466788168,633.466536561869
"r_SPCD_grouped[101,Intercept]",0.008393874999999999,-0.053282924999999995,0.07574668999999998,1.0061700718703626,927.2531663772241
"r_SPCD_grouped[103,Intercept]",-0.0046397999999999995,-0.13729685,0.12398154999999979,1.0005120021512337,3501.162721288825
"r_SPCD_grouped[104,Intercept]",0.32693,0.23615375,0.42594719999999997,1.0013949729350942,1829.8514914679608
"r_SPCD_grouped[108,Intercept]",0.1248185,0.0747506,0.17985089999999998,1.0098016525296978,617.6910790778375
"r_SPCD_grouped[113,Intercept]",0.130355,0.009377038,0.25769155,1.000867532929093,3312.7974123991476
"r_SPCD_grouped[116,Intercept]",0.06649469999999999,0.015158915000000002,0.12215389999999997,1.009781035878376,645.8304478572117
"r_SPCD_grouped[117,Intercept]",-0.00639129,-0.06909531,0.057128749999999964,1.0100975399117293,758.551308827745
"r_SPCD_grouped[119,Intercept]",0.159794,0.093039065,0.23185164999999994,1.0044883505708837,1031.1683626545926
"r_SPCD_grouped[122,Intercept]",-0.03493195,-0.08717646000000001,0.02270421499999993,1.009492056786084,666.09923225047
"r_SPCD_grouped[127,Intercept]",-0.19302350000000001,-0.3088424,-0.07872267500000003,1.002015810486359,2393.7608375478103
"r_SPCD_grouped[133,Intercept]",0.187584,0.1323815,0.25024205,1.0073258380891306,799.7013233178308
"r_SPCD_grouped[142,Intercept]",0.26144,0.10390895,0.4211637,1.0013903759877443,3445.737182484528
"r_SPCD_grouped[202,Intercept]",-0.062420550000000005,-0.11364505,-0.005098273000000053,1.0107113154956453,660.5021361183198
"r_SPCD_grouped[251,Intercept]",0.04320465,-0.10081835,0.18532164999999987,1.0026245095391986,3532.3576387524868
"r_SPCD_grouped[264,Intercept]",0.27847999999999995,0.2155324,0.34426914999999997,1.0070710503480322,873.2376715112217
"r_SPCD_grouped[312,Intercept]",-0.0907738,-0.19115959999999999,0.010978939999999935,1.0022729943476953,1897.4290062142516
"r_SPCD_grouped[333,Intercept]",-0.21584799999999998,-0.34156715,-0.09449397500000004,1.000141942363854,2829.4790518516543
"r_SPCD_grouped[352,Intercept]",-0.1913735,-0.3305394,-0.05738462500000005,1.0043721466404925,3521.091722324229
"r_SPCD_grouped[361,Intercept]",-0.272069,-0.37872825000000004,-0.16957865000000003,1.0012546133278106,2511.5300528405514
"r_SPCD_grouped[492,Intercept]",0.04217675,-0.06479043,0.14920699999999995,1.0023580373080143,2208.737508088636
"r_SPCD_grouped[631,Intercept]",-0.12127,-0.2004976,-0.042706220000000045,1.0058701907508294,1289.2382219003268
"r_SPCD_grouped[746,Intercept]",-0.133134,-0.22195410000000002,-0.044614525000000085,1.001977275544675,1685.4231450002108
"r_SPCD_grouped[747,Intercept]",-0.140828,-0.28049365,0.0022248014999999,1.0028039064478325,3576.387685978986
"r_SPCD_grouped[801,Intercept]",-0.144997,-0.22999935,-0.058528385000000016,1.0025864921133294,1732.9651499675767
"r_SPCD_grouped[805,Intercept]",-0.0884695,-0.14474815000000002,-0.02874827000000003,1.008098502522936,765.273347268406
"r_SPCD_grouped[807,Intercept]",-0.3023945,-0.3764509,-0.23064815,1.004088786312105,1238.6557423528905
"r_SPCD_grouped[815,Intercept]",-0.186344,-0.3048054,-0.07608496000000005,1.0012454691656878,2543.3531900212806
"r_SPCD_grouped[818,Intercept]",-0.107623,-0.1629958,-0.05018387500000001,1.0095629938547128,741.2660855278624
"r_SPCD_grouped[839,Intercept]",-0.1582895,-0.23432015,-0.08512413,1.0063490573037996,1150.0452206258665
"r_SPCD_grouped[981,Intercept]",0.1466825,0.036318525000000004,0.25625359999999997,1.0026114071812886,1995.85554849165
"r_SPCD_grouped[OTHER,DBH_std]",0.009675985000000002,-0.037946995000000004,0.05954334999999998,1.0011776937131174,3539.4292857268947
"r_SPCD_grouped[15,DBH_std]",0.002230705,-0.02336308,0.025634039999999973,1.0055938945241454,1210.4529486301626
"r_SPCD_grouped[20,DBH_std]",-0.031099099999999998,-0.057786795,-0.006042690500000002,1.0054878875474371,1268.467440902874
"r_SPCD_grouped[62,DBH_std]",-0.06777965,-0.13985560000000002,-0.011745240000000014,1.0004899868166264,3102.803952063994
"r_SPCD_grouped[64,DBH_std]",-0.07253124999999999,-0.1137171,-0.031779310000000005,1.0021852887654654,2675.0481575975477
"r_SPCD_grouped[65,DBH_std]",-0.12450349999999999,-0.20335620000000001,-0.06006490000000001,1.0011575161085293,3280.6808035389
"r_SPCD_grouped[81,DBH_std]",0.035167199999999996,0.007879746500000001,0.061949435000000004,1.0056596824224304,1346.2571000162461
"r_SPCD_grouped[101,DBH_std]",0.00713957,-0.032243395,0.055678614999999994,1.0015795697724859,2643.902788713627
"r_SPCD_grouped[103,DBH_std]",0.0049907449999999996,-0.0566276,0.06916013499999994,1.00079544650897,5144.526393286123
"r_SPCD_grouped[104,DBH_std]",-0.09835775,-0.15574395,-0.04440040500000004,0.9999142279135388,3446.0452116490383
"r_SPCD_grouped[108,DBH_std]",-0.044569250000000005,-0.07356092,-0.01746210500000001,1.0042178430411397,1465.5493007500017
"r_SPCD_grouped[113,DBH_std]",-0.019836899999999998,-0.08568068499999999,0.05324234499999998,1.0001188167713315,3988.181633591382
"r_SPCD_grouped[116,DBH_std]",-0.035882899999999995,-0.063459705,-0.010828840000000006,1.0036210702471329,1395.1913484516238
"r_SPCD_grouped[117,DBH_std]",0.014242600000000001,-0.01904679,0.047250284999999975,1.0033659531394374,1713.5795654883289
"r_SPCD_grouped[119,DBH_std]",-0.023161300000000003,-0.06030128,0.014819994999999997,1.0006237810206564,2045.6303014340044
"r_SPCD_grouped[122,DBH_std]",0.04645415,0.016954235,0.07587625499999999,1.004571749156614,1464.3917295128053
